"Relative Intensity Alessio_0.02_1.5_lampadina_old","Position (m) Alessio_0.02_1.5_lampadina_old","Relative Intensity Alessandra_0.02_1.5_lampadina_old","Position (m) Alessandra_0.02_1.5_lampadina_old","Relative Intensity Antonio_0.02_1.5_lampadina","Position (m) Antonio_0.02_1.5_lampadina","Relative Intensity Alessio_0.04_1.5_lampadina","Position (m) Alessio_0.04_1.5_lampadina","Relative Intensity Alessandra_0.04_1.5_lampadina","Position (m) Alessandra_0.04_1.5_lampadina","Relative Intensity Antonio_0.04_1.5_lampadina","Position (m) Antonio_0.04_1.5_lampadina","Relative Intensity Alessio_0.08_1.5_lampadina","Position (m) Alessio_0.08_1.5_lampadina","Relative Intensity Alessandra_0.08_1.5_lampadina","Position (m) Alessandra_0.08_1.5_lampadina","Relative Intensity Antonio_0.08_1.5_lampadina","Position (m) Antonio_0.08_1.5_lampadina","Relative Intensity Alessio_0.16_1.5_lampadina","Position (m) Alessio_0.16_1.5_lampadina","Relative Intensity Alessandra_0.16_1.5_lampadina","Position (m) Alessandra_0.16_1.5_lampadina","Relative Intensity Antonio_0.16_1.5_lampadina","Position (m) Antonio_0.16_1.5_lampadina","Relative Intensity Alessio_0.02_1.0_candela","Position (m) Alessio_0.02_1.0_candela","Relative Intensity Alessio_0.04_1.0_lampada","Position (m) Alessio_0.04_1.0_lampada","Relative Intensity Antonio_0.08_0.5_lampadina","Position (m) Antonio_0.08_0.5_lampadina","Relative Intensity Alessio_0.16_0.5_lampadina","Position (m) Alessio_0.16_0.5_lampadina","Time (s) rumore_di_fondo_candela","Relative Intensity rumore_di_fondo_candela","Time (s) rumore_ambientale_candela","Relative Intensity rumore_ambientale_candela","Time (s) laser_candela","Relative Intensity laser_candela","Time (s) intensità_laser_sole","Relative Intensity intensità_laser_sole","Time (s) rumore_di_fondo_lampadina","Relative Intensity rumore_di_fondo_lampadina","Relative Intensity Alessio_doubleslit_0.08_0.5_1.5_lampadina","Position (m) Alessio_doubleslit_0.08_0.5_1.5_lampadina","Relative Intensity Alessio_doubleslit_0.04_0.25_1.5_lampadina","Position (m) Alessio_doubleslit_0.04_0.25_1.5_lampadina","Time (s) intensità_laser_sole","Relative Intensity intensità_laser_sole","Time (s) rumore_abientale_1.5_candela","Relative Intensity rumore_abientale_1.5_candela","Relative Intensity Alessio_0.02_1.5_lampadina","Position (m) Alessio_0.02_1.5_lampadina","Relative Intensity Alessandra_0.02_1.5_lampadina","Position (m) Alessandra_0.02_1.5_lampadina","Relative Intensity Antonio_0.02_1.5_lampadina_2","Position (m) Antonio_0.02_1.5_lampadina_2"
0.185532,0.00000,0.184311,0.00000,0.119232,1.97250E-5,0.0350342,0.00000,0.0348816,-1.97250E-5,0.0339813,0.00000,0.0361633,0.00000,0.0352325,0.00000,0.0345001,0.00000,0.0374603,0.00000,0.0368500,0.00000,0.0356445,-9.86250E-5,0.00971985,0.00000,0.0322876,-1.97250E-5,0.0276031,0.00000,0.0277863,0.00000,0.400000,0.0253906,0.400000,0.0368042,0.400000,0.999741,0.400000,3533.96,0.400000,0.0430756,0.0371857,0.00000,0.0372009,-3.94500E-5,0.400000,2416.85,0.400000,0.0128937,0.0379791,0.00000,0.0375977,0.00000,0.0390778,0.00000
0.185181,0.00000,0.184433,0.00000,0.119263,3.94500E-5,0.0351868,0.00000,0.0347900,-1.97250E-5,0.0337830,0.00000,0.0359497,0.00000,0.0354767,0.00000,0.0347595,0.00000,0.0374146,0.00000,0.0366974,0.00000,0.0357361,-9.86250E-5,0.0100708,0.00000,0.0324554,-3.94500E-5,0.0270996,0.00000,0.0279846,0.00000,0.440000,0.0255585,0.440000,0.0360718,0.440000,1.00000,0.440000,3533.72,0.440000,0.0432434,0.0370331,0.00000,0.0369873,-3.94500E-5,0.440000,2416.47,0.440000,0.0125427,0.0385132,0.00000,0.0380249,0.00000,0.0390015,0.00000
0.185028,0.00000,0.184692,0.00000,0.118805,3.94500E-5,0.0356750,0.00000,0.0346985,-3.94500E-5,0.0341187,0.00000,0.0360718,0.00000,0.0351105,0.00000,0.0346375,0.00000,0.0374298,0.00000,0.0363464,0.00000,0.0357971,-9.86250E-5,0.0104065,0.00000,0.0320740,-3.94500E-5,0.0277710,0.00000,0.0279846,0.00000,0.480000,0.0257721,0.480000,0.0358276,0.480000,0.999741,0.480000,3533.40,0.480000,0.0435486,0.0375366,0.00000,0.0372162,-5.91750E-5,0.480000,2416.41,0.480000,0.0124817,0.0381165,0.00000,0.0372925,0.00000,0.0393066,0.00000
0.185425,0.00000,0.185211,0.00000,0.119095,3.94500E-5,0.0352173,0.00000,0.0350037,-1.57800E-4,0.0339508,0.00000,0.0359955,0.00000,0.0354767,0.00000,0.0349579,0.00000,0.0378571,0.00000,0.0366821,0.00000,0.0355072,-9.86250E-5,0.0109863,0.00000,0.0317841,-3.94500E-5,0.0275726,0.00000,0.0278778,0.00000,0.520000,0.0260925,0.520000,0.0362091,0.520000,1.00000,0.520000,3533.53,0.520000,0.0426941,0.0372925,-1.97250E-5,0.0369415,-5.91750E-5,0.520000,2416.89,0.520000,0.0126190,0.0379486,0.00000,0.0372772,0.00000,0.0393524,0.00000
0.185806,0.00000,0.184555,0.00000,0.119064,3.94500E-5,0.0353241,0.00000,0.0347900,-2.76150E-4,0.0338287,0.00000,0.0359344,0.00000,0.0354919,0.00000,0.0344849,0.00000,0.0376129,0.00000,0.0365295,0.00000,0.0358124,-9.86250E-5,0.0108032,0.00000,0.0317993,-3.94500E-5,0.0273590,-1.97250E-5,0.0274963,0.00000,0.560000,0.0262909,0.560000,0.0367432,0.560000,1.00000,0.560000,3533.52,0.560000,0.0431213,0.0365143,-1.97250E-5,0.0370178,-5.91750E-5,0.560000,2416.24,0.560000,0.0128021,0.0376282,0.00000,0.0375214,0.00000,0.0386810,0.00000
0.185257,0.00000,0.184738,0.00000,0.119095,3.94500E-5,0.0356750,0.00000,0.0349121,-3.35325E-4,0.0337677,0.00000,0.0359650,0.00000,0.0351257,0.00000,0.0347290,0.00000,0.0375824,0.00000,0.0368958,0.00000,0.0357361,-9.86250E-5,0.0103302,0.00000,0.0317535,-3.94500E-5,0.0276947,-1.97250E-5,0.0278015,0.00000,0.600000,0.0261993,0.600000,0.0369263,0.600000,1.00000,0.600000,3533.99,0.600000,0.0428619,0.0371857,-1.97250E-5,0.0369110,-5.91750E-5,0.600000,2415.44,0.600000,0.0130310,0.0377655,-1.97250E-5,0.0376434,0.00000,0.0390930,0.00000
0.185272,0.00000,0.184464,0.00000,0.118576,3.94500E-5,0.0356598,0.00000,0.0347137,-4.73400E-4,0.0337372,0.00000,0.0360413,0.00000,0.0352325,0.00000,0.0345917,0.00000,0.0374298,-1.97250E-5,0.0364532,0.00000,0.0359192,-9.86250E-5,0.00999451,0.00000,0.0321045,-3.94500E-5,0.0273437,-1.97250E-5,0.0281525,0.00000,0.640000,0.0257721,0.640000,0.0362549,0.640000,0.999741,0.640000,3533.29,0.640000,0.0432892,0.0371399,-1.97250E-5,0.0372314,-5.91750E-5,0.640000,2416.15,0.640000,0.0133057,0.0375824,-1.97250E-5,0.0375061,0.00000,0.0393219,0.00000
0.185211,0.00000,0.184814,0.00000,0.119431,3.94500E-5,0.0356140,0.00000,0.0347595,-6.31200E-4,0.0340576,0.00000,0.0357361,0.00000,0.0354919,0.00000,0.0346832,0.00000,0.0375366,-1.97250E-5,0.0367737,0.00000,0.0355835,-9.86250E-5,0.00970459,0.00000,0.0317535,-3.94500E-5,0.0272827,-1.97250E-5,0.0280304,-1.97250E-5,0.680000,0.0254822,0.680000,0.0358429,0.680000,0.999741,0.680000,3533.22,0.680000,0.0430756,0.0368500,-3.94500E-5,0.0371246,-1.97250E-4,0.680000,2416.20,0.680000,0.0131378,0.0375671,-1.97250E-5,0.0378113,0.00000,0.0394745,0.00000
0.184906,0.00000,0.184647,0.00000,0.119034,3.94500E-5,0.0353546,0.00000,0.0351105,-6.70650E-4,0.0341187,0.00000,0.0356750,0.00000,0.0352631,0.00000,0.0348206,0.00000,0.0371246,-1.97250E-5,0.0368805,0.00000,0.0357513,-1.18350E-4,0.00976562,0.00000,0.0321655,-3.94500E-5,0.0276337,-1.97250E-5,0.0275574,-1.97250E-5,0.720000,0.0255127,0.720000,0.0362244,0.720000,1.00000,0.720000,3533.27,0.720000,0.0431671,0.0373535,-3.94500E-5,0.0363617,-5.52300E-4,0.720000,2416.00,0.720000,0.0129089,0.0371704,-1.97250E-5,0.0375519,0.00000,0.0395050,0.00000
0.185104,0.00000,0.185104,0.00000,0.119232,3.94500E-5,0.0352631,0.00000,0.0347748,-7.10100E-4,0.0340576,0.00000,0.0360260,0.00000,0.0350647,0.00000,0.0345001,0.00000,0.0372620,-1.97250E-5,0.0367279,0.00000,0.0356445,-1.18350E-4,0.0101013,0.00000,0.0319366,-2.16975E-4,0.0275574,-1.97250E-5,0.0275574,-1.97250E-5,0.760000,0.0256653,0.760000,0.0367126,0.760000,0.999741,0.760000,3533.20,0.760000,0.0430145,0.0370483,-3.94500E-5,0.0363007,-6.90375E-4,0.760000,2415.64,0.760000,0.0125885,0.0370941,-1.97250E-5,0.0376740,0.00000,0.0392151,0.00000
0.185226,0.00000,0.185059,0.00000,0.119598,3.94500E-5,0.0355225,0.00000,0.0346680,-8.28450E-4,0.0345001,0.00000,0.0357361,0.00000,0.0350342,0.00000,0.0345764,0.00000,0.0372925,-3.94500E-5,0.0365601,-1.97250E-5,0.0355988,-1.18350E-4,0.0104675,0.00000,0.0319672,-3.35325E-4,0.0273132,-1.97250E-5,0.0277252,-1.97250E-5,0.800000,0.0259857,0.800000,0.0371552,0.800000,1.00000,0.800000,3533.57,0.800000,0.0427856,0.0370178,-3.94500E-5,0.0362244,-7.89000E-4,0.800000,2416.26,0.800000,0.0124664,0.0367126,-1.97250E-5,0.0375519,0.00000,0.0396118,0.00000
0.184769,0.00000,0.185059,0.00000,0.120773,1.97250E-5,0.0356750,0.00000,0.0345306,-9.27075E-4,0.0339355,0.00000,0.0361328,0.00000,0.0355377,0.00000,0.0346680,0.00000,0.0371246,-3.94500E-5,0.0364685,-1.97250E-5,0.0358582,-9.86250E-5,0.0110779,0.00000,0.0319824,-3.55050E-4,0.0272522,-1.97250E-5,0.0277100,-1.97250E-5,0.840000,0.0262299,0.840000,0.0365601,0.840000,1.00000,0.840000,3533.43,0.840000,0.0429535,0.0370941,-2.56425E-4,0.0367279,-0.00112432,0.840000,2415.11,0.840000,0.0126038,0.0369568,-1.97250E-5,0.0378723,0.00000,0.0390930,0.00000
0.184586,0.00000,0.185333,0.00000,0.122162,1.97250E-5,0.0353241,0.00000,0.0347748,-0.00102570,0.0342407,0.00000,0.0361786,0.00000,0.0348816,0.00000,0.0341949,0.00000,0.0374146,-3.94500E-5,0.0361481,-1.97250E-5,0.0359192,-9.86250E-5,0.0108337,0.00000,0.0317688,-6.11475E-4,0.0273895,-1.97250E-5,0.0272675,-3.94500E-5,0.880000,0.0262604,0.880000,0.0361023,0.880000,1.00000,0.880000,3533.71,0.880000,0.0430603,0.0366669,-6.11475E-4,0.0380402,-0.00159772,0.880000,2415.26,0.880000,0.0128021,0.0368347,-1.97250E-5,0.0374756,0.00000,0.0391846,0.00000
0.184601,0.00000,0.185333,0.00000,0.122681,1.97250E-5,0.0354919,0.00000,0.0344391,-0.00120323,0.0341644,0.00000,0.0358887,0.00000,0.0354156,0.00000,0.0344543,0.00000,0.0371094,-3.94500E-5,0.0362701,-1.97250E-5,0.0353546,-9.86250E-5,0.0103302,0.00000,0.0318909,-9.07350E-4,0.0268097,-3.94500E-5,0.0276337,-3.94500E-5,0.920000,0.0258331,0.920000,0.0362854,0.920000,0.999741,0.920000,3533.04,0.920000,0.0430603,0.0364380,-8.87625E-4,0.0407867,-0.00222892,0.920000,2416.01,0.920000,0.0130157,0.0364838,-3.94500E-5,0.0377502,0.00000,0.0393982,0.00000
0.184814,0.00000,0.185120,0.00000,0.124283,1.97250E-5,0.0354614,0.00000,0.0344849,-0.00147938,0.0345001,0.00000,0.0359497,0.00000,0.0351257,0.00000,0.0345917,0.00000,0.0370789,-3.94500E-5,0.0365601,-3.94500E-5,0.0355377,-9.86250E-5,0.0100708,0.00000,0.0319214,-0.00108487,0.0273285,-3.94500E-5,0.0277557,-3.94500E-5,0.960000,0.0255280,0.960000,0.0367432,0.960000,0.999741,0.960000,3533.49,0.960000,0.0423737,0.0366821,-0.00114405,0.0392761,-0.00252480,0.960000,2415.59,0.960000,0.0133057,0.0366669,-3.94500E-5,0.0375061,0.00000,0.0391846,0.00000
