Relative Intensity Alessandra_0.04_1.5_lampadina	Position (m) Alessandra_0.04_1.5_lampadina
0.03479	0.0
0.0344238	0.0
0.0346527	0.0
0.0349731	0.0
0.0350342	0.0
0.0348511	0.0
0.0352936	-1.9725e-05
0.0346832	-1.9725e-05
0.0348206	-1.9725e-05
0.0349884	-1.9725e-05
0.0348816	-1.9725e-05
0.03479	-1.9725e-05
0.0346985	-3.945e-05
0.0350037	-0.0001578
0.03479	-0.00027615
0.0349121	-0.000335325
0.0347137	-0.0004734
0.0347595	-0.0006312
0.0351105	-0.00067065
0.0347748	-0.0007101
0.034668	-0.00082845
0.0345306	-0.000927075
0.0347748	-0.0010257
0.0344391	-0.00120323
0.0344849	-0.00147937
0.0342712	-0.0018147
0.0340271	-0.00226838
0.0338745	-0.00250507
0.0340424	-0.0026826
0.0339813	-0.0028404
0.0341034	-0.00295875
0.0341034	-0.003156
0.0343628	-0.00337297
0.0340271	-0.00366885
0.0344238	-0.0041028
0.0343933	-0.0044973
0.0344849	-0.00485235
0.0345764	-0.00514822
0.0348053	-0.00548355
0.0350494	-0.00595695
0.0353088	-0.00609502
0.0354004	-0.00629227
0.0353241	-0.00672622
0.0354004	-0.00688402
0.0354004	-0.00716017
0.0357208	-0.00767302
0.0362701	-0.00806753
0.0361481	-0.00834368
0.0366516	-0.00842257
0.036438	-0.00842257
0.0364838	-0.00842257
0.0363007	-0.00842257
0.0366364	-0.00842257
0.0366669	-0.00842257
0.0368652	-0.00842257
0.0365448	-0.00842257
0.0363922	-0.00842257
0.0366821	-0.00842257
0.036377	-0.00842257
0.0366516	-0.00842257
0.0365906	-0.00863955
0.0372772	-0.0090735
0.0370941	-0.00917213
0.0369263	-0.0093102
0.0367737	-0.00932993
0.0371704	-0.00934965
0.0370026	-0.00934965
0.0365753	-0.00934965
0.036499	-0.00950745
0.0366364	-0.0097047
0.0369568	-0.01007948
0.0370941	-0.01055288
0.0374451	-0.01090792
0.0370331	-0.0112827
0.0374146	-0.01146023
0.0372772	-0.0115194
0.037323	-0.01157858
0.0378265	-0.01161802
0.0375061	-0.01161802
0.0375061	-0.01161802
0.0377808	-0.01161802
0.0372314	-0.01169692
0.0373535	-0.01185472
0.0370483	-0.0121506
0.0371246	-0.01232812
0.0363312	-0.01252537
0.0363617	-0.01282125
0.036499	-0.01313685
0.0361938	-0.01337355
0.0362854	-0.01382722
0.0355682	-0.01439925
0.0356598	-0.01455705
0.0358124	-0.01457677
0.0356598	-0.01457677
0.0357819	-0.01455705
0.0361938	-0.01455705
0.0355072	-0.01455705
0.035965	-0.01455705
0.0356598	-0.01455705
0.0357056	-0.01455705
0.0357208	-0.01455705
0.0360413	-0.01455705
0.0361938	-0.01455705
0.0359039	-0.01455705
0.0359192	-0.01457677
0.0359802	-0.0145965
0.0362244	-0.01487265
0.0355072	-0.01510935
0.0359344	-0.01526715
0.0353088	-0.01566165
0.034668	-0.01581945
0.0351868	-0.01603642
0.034729	-0.0164112
