Light Intensity (% of scale max) Alessandra_0.16_1.5_lampadina	Position (m) Alessandra_0.16_1.5_lampadina
0.03926	-0.032822
0.03938	-0.032822
0.03896	-0.032862
0.03816	-0.033138
0.03716	-0.033335
0.0361	-0.033493
0.03554	-0.033651
0.03479	-0.033828
0.03522	-0.034026
0.03485	-0.034065
0.03485	-0.034322
0.0354	-0.03444
0.0356	-0.034499
0.03642	-0.034657
0.03754	-0.034815
0.03876	-0.034992
0.04022	-0.035229
0.04147	-0.035426
0.04166	-0.035564
0.04228	-0.035643
0.04303	-0.035821
0.04309	-0.035919
0.04266	-0.036018
0.04242	-0.036176
0.04182	-0.036274
0.04211	-0.036353
0.04099	-0.036491
0.03964	-0.036728
0.03867	-0.037063
0.03662	-0.037399
0.03502	-0.037833
0.03517	-0.038069
0.03467	-0.038128
0.03519	-0.038267
0.03551	-0.038267
0.03493	-0.038227
0.03534	-0.038227
0.03506	-0.038227
0.03526	-0.038227
0.03545	-0.038227
0.03528	-0.038227
0.03526	-0.038227
0.03497	-0.038227
0.03535	-0.038227
0.03526	-0.038227
0.03485	-0.038227
0.0354	-0.038247
0.03519	-0.038267
0.03511	-0.038267
0.03542	-0.038267
0.03514	-0.038267
0.03511	-0.038267
0.03517	-0.038286
0.03503	-0.038306
0.03531	-0.038365
0.03639	-0.038543
0.03676	-0.038681
0.03793	-0.038799
0.0387	-0.038977
0.03957	-0.039115
0.04008	-0.039194
0.04108	-0.039332
0.04211	-0.03947
0.04308	-0.039608
0.04327	-0.039687
0.04315	-0.039687
0.04372	-0.039766
0.04382	-0.039943
0.04349	-0.040121
0.04269	-0.040298
0.0419	-0.040495
0.03976	-0.040831
0.03755	-0.041087
0.03674	-0.041265
0.03632	-0.041363
0.03612	-0.041363
0.03664	-0.041363
0.03592	-0.041423
0.03595	-0.041462
0.0359	-0.04158
0.03554	-0.041679
0.03534	-0.041758
0.03529	-0.041876
0.03514	-0.041955
0.03535	-0.042054
0.03568	-0.042192
0.03571	-0.04229
0.03697	-0.042488
0.03806	-0.042626
0.03888	-0.042764
0.04025	-0.042922
0.04144	-0.043079
0.04231	-0.043217
0.0432	-0.043336
0.0435	-0.043533
0.04427	-0.043651
0.04468	-0.043868
0.0441	-0.044046
0.04395	-0.044184
0.04298	-0.044322
0.04236	-0.044401
0.04108	-0.044559
0.0401	-0.044677
0.0388	-0.044795
0.03862	-0.044835
0.0376	-0.044914
0.03745	-0.045012
0.03696	-0.045072
0.03693	-0.045111
0.0365	-0.04517
0.03583	-0.045328
0.03537	-0.045407
0.03543	-0.045427
0.0349	-0.045545
0.03557	-0.045624
0.03537	-0.045703
0.0354	-0.045801
0.03528	-0.04588
0.03575	-0.045959
0.03613	-0.046078
0.03627	-0.046157
0.03667	-0.046196
0.03619	-0.046275
0.03734	-0.046314
0.03743	-0.046373
0.03734	-0.046433
0.03821	-0.046512
0.03886	-0.04661
0.03951	-0.046669
0.04041	-0.046709
0.04012	-0.046748
0.04065	-0.046768
0.0412	-0.046807
0.04123	-0.046886
0.04184	-0.046926
0.04251	-0.046985
0.04402	-0.047143
0.04471	-0.047261
0.04549	-0.047379
0.04611	-0.047518
0.04666	-0.047675
0.04691	-0.047754
0.04716	-0.047794
0.04687	-0.047794
0.04727	-0.047794
0.04715	-0.047794
0.04698	-0.047715
0.0471	-0.047715
0.04716	-0.047715
0.04698	-0.047715
0.04713	-0.047715
0.04713	-0.047715
0.04681	-0.047715
0.04732	-0.047715
0.04695	-0.047715
0.04741	-0.047715
0.04758	-0.047715
0.04732	-0.047715
0.04739	-0.047715
0.04721	-0.047715
0.04739	-0.047735
0.04721	-0.047794
0.04758	-0.047794
