Light Intensity (% of scale max) Alessio_0.02_1.0_candela	Position (m) Alessio_0.02_1.0_candela
2.1000000000	-0.0554000000
2.0000000000	-0.0554000000
2.0000000000	-0.0554000000
2.1000000000	-0.0553000000
2.1000000000	-0.0553000000
2.1000000000	-0.0553000000
2.1000000000	-0.0553000000
2.1000000000	-0.0553000000
2.0000000000	-0.0553000000
2.0000000000	-0.0554000000
2.1000000000	-0.0554000000
2.1000000000	-0.0554000000
2.2000000000	-0.0554000000
2.2000000000	-0.0557000000
2.2000000000	-0.0561000000
2.2000000000	-0.0562000000
2.2000000000	-0.0564000000
2.3000000000	-0.0566000000
2.3000000000	-0.0567000000
2.3000000000	-0.0572000000
2.3000000000	-0.0577000000
2.1000000000	-0.0582000000
2.0000000000	-0.0584000000
2.0000000000	-0.0585000000
1.9000000000	-0.0588000000
1.9000000000	-0.0589000000
2.0000000000	-0.0589000000
2.0000000000	-0.0589000000
1.9000000000	-0.0589000000
1.9000000000	-0.0588000000
1.8000000000	-0.0588000000
1.9000000000	-0.0588000000
1.9000000000	-0.0588000000
2.0000000000	-0.0588000000
2.0000000000	-0.0588000000
1.9000000000	-0.0588000000
1.9000000000	-0.0589000000
1.8000000000	-0.0589000000
1.9000000000	-0.0589000000
1.8000000000	-0.0591000000
1.7000000000	-0.0596000000
1.7000000000	-0.0598000000
1.7000000000	-0.0598000000
1.6000000000	-0.0598000000
1.5000000000	-0.0602000000
1.4000000000	-0.0606000000
1.3000000000	-0.0608000000
1.3000000000	-0.0613000000
1.3000000000	-0.0616000000
1.3000000000	-0.0618000000
1.2000000000	-0.0620000000
1.2000000000	-0.0620000000
1.2000000000	-0.0620000000
1.1000000000	-0.0620000000
1.2000000000	-0.0620000000
1.2000000000	-0.0620000000
1.2000000000	-0.0620000000
1.3000000000	-0.0620000000
1.2000000000	-0.0620000000
1.2000000000	-0.0620000000
1.1000000000	-0.0620000000
1.1000000000	-0.0620000000
1.1000000000	-0.0620000000
1.2000000000	-0.0620000000
1.2000000000	-0.0620000000
1.3000000000	-0.0620000000
1.2000000000	-0.0621000000
1.1000000000	-0.0624000000
1.1000000000	-0.0629000000
1.1000000000	-0.0631000000
1.1000000000	-0.0634000000
1.1000000000	-0.0635000000
1.1000000000	-0.0638000000
1.1000000000	-0.0643000000
1.1000000000	-0.0644000000
1.0000000000	-0.0647000000
1.0000000000	-0.0648000000
1.0000000000	-0.0649000000
1.1000000000	-0.0652000000
1.1000000000	-0.0653000000
1.2000000000	-0.0653000000
1.2000000000	-0.0653000000
1.2000000000	-0.0653000000
1.1000000000	-0.0653000000
1.1000000000	-0.0653000000
1.1000000000	-0.0653000000
1.1000000000	-0.0653000000
1.1000000000	-0.0653000000
1.2000000000	-0.0653000000
1.2000000000	-0.0653000000
1.2000000000	-0.0653000000
1.1000000000	-0.0653000000
1.1000000000	-0.0653000000
1.1000000000	-0.0653000000
1.2000000000	-0.0657000000
1.3000000000	-0.0662000000
1.4000000000	-0.0663000000
1.4000000000	-0.0667000000
1.5000000000	-0.0670000000
1.4000000000	-0.0671000000
1.5000000000	-0.0675000000
1.6000000000	-0.0676000000
1.7000000000	-0.0678000000
1.8000000000	-0.0681000000
1.9000000000	-0.0682000000
1.9000000000	-0.0683000000
1.8000000000	-0.0683000000
1.8000000000	-0.0683000000
1.8000000000	-0.0683000000
1.8000000000	-0.0683000000
1.9000000000	-0.0683000000
1.9000000000	-0.0683000000
1.9000000000	-0.0683000000
1.9000000000	-0.0683000000
1.8000000000	-0.0683000000
1.8000000000	-0.0683000000
