Relative Intensity Alessio_0.04_1.5_lampadina	Position (m) Alessio_0.04_1.5_lampadina
0.0350952	0.0
0.0349884	0.0
0.035553	0.0
0.0352173	0.0
0.0353546	0.0
0.0351715	0.0
0.0348053	0.0
0.0349274	0.0
0.0350189	0.0
0.0351563	0.0
0.0350342	0.0
0.0351868	0.0
0.035675	0.0
0.0352173	0.0
0.0353241	0.0
0.035675	0.0
0.0356598	0.0
0.035614	0.0
0.0353546	0.0
0.0352631	0.0
0.0355225	0.0
0.035675	0.0
0.0353241	0.0
0.0354919	0.0
0.0354614	0.0
0.0355225	0.0
0.0353088	0.0
0.0357208	0.0
0.0355988	0.0
0.0353241	0.0
0.0353851	0.0
0.0353699	-1.9725e-05
0.0355225	-1.9725e-05
0.035614	-1.9725e-05
0.0352631	-3.945e-05
0.0354919	-3.945e-05
0.0349579	-3.945e-05
0.0357361	-3.945e-05
0.0356903	-3.945e-05
0.0355682	-3.945e-05
0.0356903	-5.9175e-05
0.0354614	-5.9175e-05
0.0350342	-0.00011835
0.0355072	-0.0003945
0.0353546	-0.000532575
0.0352325	-0.000650925
0.0353394	-0.000808725
0.0355988	-0.000808725
0.0355225	-0.000927075
0.0357666	-0.0010257
0.0354919	-0.0010257
0.0356903	-0.00112433
0.0353851	-0.00147937
0.0352783	-0.00175553
0.0348969	-0.00193305
0.0351257	-0.00232755
0.0348969	-0.0025248
0.0352325	-0.00266287
0.0350494	-0.00325462
0.0346527	-0.00388582
0.0354309	-0.0041817
0.0352173	-0.00428032
0.0349121	-0.00428032
0.0351868	-0.00428032
0.0349274	-0.0042606
0.0349884	-0.0042606
0.0348969	-0.0042606
0.0348816	-0.0042606
0.0350494	-0.0042606
0.0351105	-0.0042606
0.0347595	-0.0042606
0.0352325	-0.0042606
0.035202	-0.00428032
0.0349121	-0.00428032
0.0348358	-0.00439867
0.0355377	-0.0049707
0.0355072	-0.00540465
0.0355835	-0.00572025
0.0360718	-0.00601612
0.0361328	-0.0060753
0.0361328	-0.00629227
0.036026	-0.00680513
0.0364075	-0.0074166
0.0368195	-0.00755468
0.0370178	-0.00783083
0.036972	-0.0081267
0.037323	-0.00832395
0.0375824	-0.0087579
0.0375519	-0.00889597
0.0376434	-0.00887625
0.0375061	-0.00887625
0.0372925	-0.00887625
0.0372009	-0.00887625
0.0371094	-0.00887625
0.0372925	-0.00887625
0.0374908	-0.00887625
0.0375671	-0.00887625
0.0374451	-0.00887625
0.0372314	-0.00887625
0.0374756	-0.00889597
0.0373383	-0.00897487
0.0370789	-0.00944828
0.0370178	-0.0096258
0.0370026	-0.0096258
0.036972	-0.00980332
0.0376892	-0.01067122
0.037796	-0.0111249
0.0380249	-0.01116435
0.0380707	-0.01138132
0.037735	-0.01165747
0.0376129	-0.01189417
0.0371857	-0.01226895
0.0371094	-0.01234785
0.0365601	-0.01250565
0.0373535	-0.0131763
0.0369415	-0.01394557
0.0368195	-0.0144387
0.0366516	-0.01461622
0.0364075	-0.01461622
0.0363007	-0.01461622
0.0363617	-0.01461622
0.0363312	-0.01461622
0.0361633	-0.01461622
0.0367889	-0.01461622
0.0362701	-0.01461622
0.0363312	-0.01461622
0.0362396	-0.01461622
0.0363922	-0.01461622
0.036377	-0.01465567
0.0361176	-0.01512907
0.0352478	-0.01589835
0.0353088	-0.01589835
0.0352631	-0.01599698
0.0348206	-0.01623368
0.0347595	-0.01654927
0.0343475	-0.0172791
0.0341492	-0.01741718
0.0343781	-0.01763415
0.0349731	-0.0182259
0.0343323	-0.01842315
0.0343781	-0.01913325
0.0351257	-0.0194883
0.0348511	-0.0194883
0.0346222	-0.0194883
0.0348969	-0.0194883
0.0346527	-0.0194883
0.0348358	-0.0194883
0.0351868	-0.0194883
0.0345459	-0.0194883
0.0350494	-0.0194883
0.0345764	-0.0194883
0.0349579	-0.0194883
0.0346985	-0.0194883
0.0348969	-0.0195672
0.0354004	-0.02057317
0.0355835	-0.02140162
0.0359039	-0.02140162
0.0361176	-0.02155942
0.0368347	-0.02191447
0.0373535	-0.0223287
0.037735	-0.0224865
0.0381622	-0.02254567
0.0390472	-0.02307825
0.0393982	-0.02386725
0.0391541	-0.02404478
0.0393829	-0.02416313
0.0393677	-0.02434065
0.0392609	-0.02434065
0.0390625	-0.02432093
0.0389862	-0.02432093
0.0391998	-0.02432093
0.0388336	-0.02432093
0.0390778	-0.02432093
0.0390472	-0.02432093
0.0393372	-0.02432093
0.0389557	-0.02434065
0.0395966	-0.02434065
0.0392609	-0.02463653
0.0391541	-0.02538608
0.0399017	-0.0255636
0.0396271	-0.02566223
0.041153	-0.02625398
0.0418701	-0.02649068
0.0416107	-0.02694435
0.0404663	-0.02759528
0.0400848	-0.02779253
0.0393982	-0.02820675
0.0387573	-0.02860125
0.0390015	-0.02875905
0.0386047	-0.02897603
0.0387115	-0.0289563
0.0387573	-0.02893658
0.038559	-0.02893658
0.0386047	-0.02893658
0.0386658	-0.02893658
0.0379639	-0.02893658
0.0388336	-0.02893658
0.0383911	-0.02893658
0.0382233	-0.02893658
0.0386047	-0.02893658
0.0387268	-0.0289563
0.0389099	-0.02897603
0.0389557	-0.02917328
0.03862	-0.02968613
0.0389099	-0.03008063
0.0383759	-0.03008063
0.0385284	-0.03015953
0.0381165	-0.03065265
0.0367737	-0.03114578
0.0358734	-0.03142193
0.0357819	-0.0319545
0.0352936	-0.03240817
0.0348053	-0.03286185
0.0347443	-0.03341415
0.0348358	-0.03359167
0.0349884	-0.03365085
0.0348816	-0.03378893
0.0348358	-0.03378893
0.0351868	-0.03374947
0.0348816	-0.03374947
0.0352478	-0.03374947
0.0351257	-0.03374947
0.0351868	-0.03374947
0.0355377	-0.03374947
0.0349274	-0.03374947
0.0350494	-0.0337692
0.034729	-0.03378892
0.0348969	-0.0338481
0.0351715	-0.03449902
0.035675	-0.03528802
0.0359039	-0.03536692
0.0358582	-0.0355839
0.0362396	-0.03591922
0.0364838	-0.03631372
0.0369568	-0.03641235
0.0374298	-0.0365307
0.0386658	-0.03702382
0.0392609	-0.03720135
0.0397034	-0.0372408
0.0419312	-0.03773392
0.0429687	-0.0379509
0.0440369	-0.0379509
0.0435944	-0.0379509
0.0436096	-0.03793117
0.0438995	-0.03791145
0.0437164	-0.03791145
0.043396	-0.03791145
0.0435638	-0.03791145
0.043457	-0.03791145
0.0435181	-0.03793117
0.0432281	-0.0379509
0.0436096	-0.0379509
0.043869	-0.03804952
0.0457764	-0.03879907
0.0452118	-0.03966697
0.0450439	-0.03982477
0.0450897	-0.04017982
0.0465546	-0.04100827
0.0480194	-0.04152112
0.0487213	-0.04160002
0.051178	-0.04207342
0.0539856	-0.04272435
0.0533447	-0.04286242
0.0531158	-0.04288215
0.0531311	-0.04288215
0.0531158	-0.04282297
0.0531006	-0.04282297
0.0529175	-0.04282297
0.0532532	-0.04282297
0.0532227	-0.04282297
0.0532074	-0.04282297
0.0532227	-0.04282297
0.0532684	-0.04286242
0.0532837	-0.04288215
0.0532074	-0.04290187
0.0497284	-0.04365142
0.0452881	-0.04438125
0.0445862	-0.04455877
0.0440521	-0.0446574
0.0417023	-0.04526887
0.0400391	-0.045762
0.0400696	-0.04593952
0.0397034	-0.04633402
0.0383911	-0.04676797
0.039032	-0.0467877
0.0382996	-0.04698495
0.0384674	-0.04704412
0.0381775	-0.04704412
0.0382538	-0.04696522
0.0381775	-0.04696522
0.0379028	-0.04696522
0.0381927	-0.04696522
0.0378876	-0.04696522
0.0376892	-0.04696522
0.0381775	-0.04696522
0.0384521	-0.04696522
0.0381622	-0.0470244
0.0379639	-0.04704412
0.0380859	-0.04704412
0.0377045	-0.0474189
0.0352478	-0.0483657
0.0347595	-0.0486813
0.0348816	-0.04909552
0.0342712	-0.04974645
0.0350037	-0.05016067
0.0361786	-0.05067352
0.037384	-0.0510483
0.0387268	-0.05140335
0.0421906	-0.05195565
0.0437164	-0.05213317
0.043808	-0.05213317
0.0438232	-0.05213317
0.0435944	-0.05209372
0.043869	-0.05209372
0.0440063	-0.05209372
0.0436707	-0.05209372
0.0440216	-0.05209372
0.0440674	-0.05209372
0.0441589	-0.05213317
0.043808	-0.05213317
0.0444794	-0.05217262
0.0523529	-0.05292217
0.0601349	-0.0538098
0.062149	-0.05410567
0.0634918	-0.05489467
0.0641174	-0.05544697
0.0642548	-0.05580202
0.0643311	-0.0565713
0.0647583	-0.05666992
0.0652618	-0.05674882
0.0669556	-0.05724195
0.0670776	-0.05732085
0.0673218	-0.05730112
0.0669861	-0.05724195
0.0669708	-0.05724195
0.0669098	-0.05724195
0.0671692	-0.05724195
0.0670319	-0.05724195
0.0670319	-0.05724195
0.0674591	-0.05724195
0.0674591	-0.05730112
0.0673065	-0.05732085
0.0680389	-0.0573603
0.0720978	-0.05810985
0.0795593	-0.05923417
0.0816498	-0.05962867
0.0805206	-0.06010207
0.0777588	-0.06049657
0.076416	-0.06065437
0.072052	-0.06095025
0.0666962	-0.06128557
0.0643616	-0.06142365
0.0601349	-0.0616998
0.0587616	-0.0617787
0.0585785	-0.06175897
0.0578003	-0.06175897
0.0583954	-0.06175897
0.0586395	-0.06175897
0.0583496	-0.06175897
0.0586548	-0.06175897
0.0582581	-0.06175897
0.0582123	-0.06175897
0.0582428	-0.06175897
0.0589752	-0.0617787
0.0530548	-0.0622521
0.0428314	-0.06317917
0.0406342	-0.06339615
0.0383453	-0.06379065
0.0365143	-0.0642246
0.0359497	-0.0644613
0.0353699	-0.064698
0.035675	-0.06499387
0.0369873	-0.0655659
0.0404358	-0.06615765
0.042572	-0.06637462
0.042923	-0.06639435
0.0430908	-0.06639435
0.0431061	-0.06637462
0.0433807	-0.06637462
0.0436401	-0.06637462
0.0431976	-0.06637462
0.0432739	-0.06637462
0.0428162	-0.06637462
0.0432129	-0.06637462
0.0433807	-0.06637462
0.0430908	-0.06639435
0.0432892	-0.06639435
0.0439606	-0.06655215
0.0534821	-0.0673017
0.0662994	-0.06771592
0.0722656	-0.06795263
0.0838623	-0.06836685
0.0984497	-0.06874162
0.108963	-0.0690375
0.1198578	-0.06939255
0.1311646	-0.06964897
0.1330109	-0.0696687
0.140152	-0.06986595
0.1519165	-0.07039852
0.1556549	-0.07063522
0.1589813	-0.07083247
0.1589203	-0.0708522
0.159317	-0.07083247
0.1594849	-0.07083247
0.1596527	-0.07083247
0.1590424	-0.07083247
0.1586151	-0.07083247
0.1593475	-0.07083247
0.1588745	-0.07083247
0.1590424	-0.07083247
0.1591644	-0.07083247
0.1591034	-0.0708522
0.1595764	-0.07087192
0.1642914	-0.0713256
0.1650696	-0.07146367
0.1651459	-0.0714834
0.1663361	-0.07173982
0.1666107	-0.07183845
0.1672974	-0.0720357
0.1675568	-0.07270635
0.166687	-0.0731403
0.1661377	-0.07339672
0.1641541	-0.0737715
0.1624603	-0.07404765
0.1591034	-0.0744816
0.1534576	-0.07509307
0.153183	-0.0751128
0.1529236	-0.0751128
0.1521301	-0.0751128
0.1526184	-0.0751128
0.1520538	-0.0751128
0.1526794	-0.0751128
0.1524353	-0.0751128
0.1531677	-0.0751128
0.1524048	-0.0751128
0.1528473	-0.0751128
0.1533051	-0.07513252
0.1493988	-0.07560592
0.1399536	-0.0760596
0.1395569	-0.0760596
0.1364441	-0.0762963
0.132843	-0.0764541
0.1287689	-0.07673025
0.1179504	-0.0772431
0.1070099	-0.0776376
0.0981293	-0.07785457
0.0742645	-0.07862385
0.0635529	-0.07919587
0.0632629	-0.07919587
0.0628967	-0.07919587
0.062439	-0.07917615
0.0626221	-0.07917615
0.0623322	-0.07917615
0.0626068	-0.07917615
0.0628052	-0.07917615
0.0619812	-0.07917615
0.0634918	-0.07917615
0.0628052	-0.07917615
0.0625	-0.07917615
0.0628204	-0.07917615
0.0616455	-0.07919587
0.0475159	-0.079689
0.0410767	-0.08020185
0.0402985	-0.08026102
0.0392609	-0.08053717
0.0384064	-0.0810303
0.0422821	-0.08124727
0.045929	-0.08144452
0.0675659	-0.08207572
0.1250458	-0.08278582
0.178894	-0.08312115
0.1842804	-0.08312115
0.1848297	-0.08314087
0.1959381	-0.0832395
0.2087708	-0.08325922
0.2078857	-0.08325922
0.208313	-0.08325922
0.2059326	-0.08325922
0.2062073	-0.08325922
0.2057953	-0.08325922
0.2038727	-0.08325922
0.2038116	-0.08325922
0.2035065	-0.08325922
0.2040863	-0.08325922
0.2067719	-0.08329867
0.2186279	-0.08345647
0.2981567	-0.08392987
0.3331451	-0.08400877
0.3482513	-0.0841863
0.5153351	-0.08477805
0.5287933	-0.08487667
0.5915527	-0.08511337
0.7250519	-0.08556705
0.9377594	-0.08627715
1.1240387	-0.08675055
1.1413879	-0.08677027
1.1430969	-0.08677027
1.1467133	-0.08677027
1.1552734	-0.08677027
1.1590118	-0.08677027
1.1580811	-0.08675055
1.1549377	-0.08675055
1.1544189	-0.08675055
1.1526947	-0.08675055
1.1507111	-0.08675055
1.1470184	-0.08675055
1.1463318	-0.08677027
1.1539764	-0.08677027
1.2129517	-0.0868689
1.4299316	-0.08736202
1.6323547	-0.08787487
1.7312012	-0.08815102
1.7572327	-0.0882102
1.7772369	-0.0882891
1.8721619	-0.08858497
2.2277069	-0.08911755
2.5021057	-0.08972902
2.608078	-0.08996572
2.7410278	-0.0902616
2.8928375	-0.09059692
2.9975433	-0.0908139
3.0123444	-0.0908139
3.0253296	-0.0908139
3.0312958	-0.09079417
3.0231171	-0.09079417
3.0239563	-0.09079417
3.0237427	-0.09079417
3.0223694	-0.09079417
3.0203857	-0.09079417
3.0198822	-0.0908139
3.0286865	-0.0908139
3.0414886	-0.09083362
3.1859436	-0.09116895
3.567627	-0.09213547
3.8641815	-0.0930231
3.9955597	-0.09345705
4.097168	-0.09367402
4.1468201	-0.09395017
4.2549133	-0.0944433
4.308075	-0.09469972
