Time (s) intensità_laser_sole.1	Light Intensity (% of scale max) intensità_laser_sole.1
12.24	23.93492
12.28	23.93776
12.32	23.94659
12.36	23.94038
12.4	23.93597
12.44	23.93741
12.48	23.9276
12.52	23.92287
12.56	23.9285
12.6	23.91884
12.64	23.93913
12.68	23.93773
12.72	23.93658
12.76	23.93974
12.8	23.94084
12.84	23.93561
12.88	23.94077
12.92	23.94035
12.96	23.9369
13.0	23.93904
13.04	23.93822
13.08	23.92943
13.12	23.93427
13.16	23.93198
13.2	23.93433
13.24	23.93407
13.28	23.93208
13.32	23.9344
13.36	23.93459
13.4	23.93138
13.44	23.93372
13.48	23.93242
13.52	23.93742
13.56	23.93698
13.6	23.93628
13.64	23.94704
13.68	23.944
13.72	23.93889
13.76	23.94135
13.8	23.94141
13.84	23.94026
13.88	23.94237
13.92	23.93648
13.96	23.93826
14.0	23.93851
14.04	23.93814
14.08	23.94316
14.12	23.93889
14.16	23.94078
14.2	23.94122
14.24	23.93979
14.28	23.92723
14.32	23.93326
14.36	23.92737
14.4	23.93257
14.44	23.94681
14.48	23.94073
14.52	23.93884
14.56	23.93849
14.6	23.93977
14.64	23.94135
14.68	23.92799
14.72	23.93086
14.76	23.92726
14.8	23.93268
14.84	23.93834
14.88	23.9375
14.92	23.93605
14.96	23.93068
15.0	23.94281
15.04	23.93419
15.08	23.92844
15.12	23.9205
15.16	23.90784
15.2	23.91539
15.24	23.91301
15.28	23.91391
15.32	23.91649
15.36	23.92155
15.4	23.92737
15.44	23.92543
15.48	23.92348
15.52	23.9223
15.56	23.93224
15.6	23.9379
15.64	23.94618
15.68	23.94144
15.72	23.94017
15.76	23.93785
15.8	23.92377
15.84	23.91731
15.88	23.9285
15.92	23.93863
15.96	23.939
16.0	23.93723
16.04	23.93666
16.08	23.93542
16.12	23.93082
16.16	23.92841
16.2	23.92972
16.24	23.92729
16.28	23.93048
16.32	23.9288
16.36	23.92699
16.4	23.9294
16.44	23.91998
16.48	23.92125
16.52	23.92529
16.56	23.92986
16.6	23.93686
16.64	23.93242
16.68	23.93625
16.72	23.9399
16.76	23.93285
16.8	23.93686
16.84	23.93729
16.88	23.9333
16.92	23.93576
16.96	23.93341
17.0	23.93297
17.04	23.93419
17.08	23.92694
17.12	23.92415
17.16	23.92174
17.2	23.91525
17.24	23.91963
17.28	23.9149
17.32	23.9187
17.36	23.91571
17.4	23.9149
17.44	23.91603
17.48	23.91684
17.52	23.91838
17.56	23.91675
17.6	23.9127
17.64	23.91516
17.68	23.90508
17.72	23.90269
17.76	23.90656
17.8	23.89937
17.84	23.90794
17.88	23.91098
17.92	23.90891
17.96	23.91707
18.0	23.91682
18.04	23.91798
18.08	23.92291
18.12	23.91907
18.16	23.91859
18.2	23.92303
18.24	23.91983
18.28	23.916
18.32	23.91635
18.36	23.91748
18.4	23.91519
18.44	23.91209
18.48	23.91496
18.52	23.91795
18.56	23.91357
18.6	23.91811
18.64	23.91788
18.68	23.91031
18.72	23.91968
18.76	23.91646
18.8	23.91519
18.84	23.91811
18.88	23.90976
18.92	23.9167
18.96	23.91302
19.0	23.90584
19.04	23.91312
19.08	23.90729
19.12	23.90245
19.16	23.90065
19.2	23.90253
19.24	23.90111
19.28	23.8972
19.32	23.90179
19.36	23.90019
19.4	23.89574
19.44	23.90346
19.48	23.90073
19.52	23.89857
19.56	23.90276
19.6	23.89709
19.64	23.90421
19.68	23.90813
19.72	23.90045
19.76	23.90465
19.8	23.90533
19.84	23.90088
19.88	23.90335
19.92	23.90996
19.96	23.90456
20.0	23.91306
20.04	23.90633
20.08	23.90547
20.12	23.90906
20.16	23.90662
20.2	23.9024
20.24	23.90225
20.28	23.90134
20.32	23.90067
20.36	23.89964
20.4	23.9021
20.44	23.90114
20.48	23.89732
20.52	23.90282
20.56	23.9043
20.6	23.89914
20.64	23.89671
20.68	23.89653
20.72	23.89569
20.76	23.89389
20.8	23.89537
20.84	23.89207
20.88	23.88687
20.92	23.89223
20.96	23.89365
21.0	23.89397
21.04	23.89027
21.08	23.89052
21.12	23.89012
21.16	23.88483
21.2	23.88918
21.24	23.88568
21.28	23.88747
21.32	23.88898
21.36	23.88715
21.4	23.88945
21.44	23.88905
21.48	23.88718
21.52	23.88722
21.56	23.88826
21.6	23.88576
21.64	23.88596
21.68	23.88947
21.72	23.88364
21.76	23.88507
21.8	23.88626
21.84	23.88371
21.88	23.88667
21.92	23.8844
21.96	23.88771
22.0	23.88324
22.04	23.8847
22.08	23.88451
22.12	23.88611
22.16	23.88641
22.2	23.88176
22.24	23.88258
22.28	23.88335
22.32	23.88199
22.36	23.8837
22.4	23.88341
22.44	23.88348
22.48	23.88475
22.52	23.88286
22.56	23.87946
22.6	23.88165
22.64	23.87666
22.68	23.88162
22.72	23.88435
22.76	23.88132
22.8	23.88405
22.84	23.85599
22.88	23.8813
22.92	23.89313
22.96	23.88902
23.0	23.89236
23.04	23.89395
23.08	23.89064
23.12	23.89247
23.16	23.89153
23.2	23.89319
23.24	23.89081
23.28	23.88721
23.32	23.88788
23.36	23.8909
23.4	23.88805
23.44	23.88393
23.48	23.88849
23.52	23.89252
23.56	23.88979
23.6	23.88977
23.64	23.89537
23.68	23.89153
23.72	23.89844
23.76	23.88718
23.8	23.88885
23.84	23.89679
23.88	23.88721
23.92	23.89757
23.96	23.89337
24.0	23.89043
24.04	23.8943
24.08	23.88942
24.12	23.8885
24.16	23.89439
24.2	23.88802
24.24	23.89351
24.28	23.89227
24.32	23.88591
24.36	23.88736
24.4	23.88849
24.44	23.88789
24.48	23.88913
24.52	23.88593
24.56	23.8911
24.6	23.89012
24.64	23.89188
24.68	23.89294
24.72	23.89153
24.76	23.89307
24.8	23.89525
24.84	23.89636
24.88	23.89131
24.92	23.89453
24.96	23.89201
25.0	23.89621
25.04	23.89194
25.08	23.8929
25.12	23.89429
25.16	23.89328
25.2	23.88457
25.24	23.89249
25.28	23.88826
25.32	23.89146
25.36	23.88699
25.4	23.8853
25.44	23.88789
25.48	23.88509
25.52	23.89355
25.56	23.89311
25.6	23.88631
25.64	23.89253
25.68	23.88739
25.72	23.88461
25.76	23.89352
25.8	23.88623
25.84	23.88278
25.88	23.89333
25.92	23.89459
25.96	23.8878
26.0	23.888
26.04	23.89082
26.08	23.88672
26.12	23.88725
26.16	23.8934
26.2	23.8886
26.24	23.88872
26.28	23.88995
26.32	23.88693
26.36	23.88797
26.4	23.89096
26.44	23.88182
26.48	23.88667
26.52	23.88863
26.56	23.88541
26.6	23.89449
26.64	23.89365
26.68	23.88721
26.72	23.89229
26.76	23.89247
26.8	23.8898
26.84	23.89505
26.88	23.88904
26.92	23.88953
26.96	23.88928
27.0	23.89015
27.04	23.88797
27.08	23.89247
27.12	23.89699
27.16	23.8912
27.2	23.89317
27.24	23.89204
27.28	23.88582
27.32	23.89101
27.36	23.88774
27.4	23.88503
27.44	23.88445
27.48	23.8833
27.52	23.88312
27.56	23.88756
27.6	23.88666
27.64	23.8871
27.68	23.88849
27.72	23.89137
27.76	23.88522
27.8	23.88901
27.84	23.8882
27.88	23.89276
27.92	23.89845
27.96	23.89206
28.0	23.89476
28.04	23.89937
28.08	23.89888
28.12	23.89619
28.16	23.8967
28.2	23.87642
28.24	23.89821
28.28	23.89262
28.32	23.89923
28.36	23.89029
28.4	23.89354
28.44	23.90088
28.48	23.89255
28.52	23.88983
28.56	23.89305
28.6	23.8943
28.64	23.89378
28.68	23.89513
28.72	23.89261
28.76	23.89076
28.8	23.89536
28.84	23.89069
28.88	23.89157
28.92	23.89034
28.96	23.88889
29.0	23.89297
29.04	23.89226
