Time (s) rumore_di_fondo_candela	Light Intensity (% of scale max) rumore_di_fondo_candela
12.24	2.58414
12.28	2.62421
12.32	2.62016
12.36	2.59637
12.4	2.5661
12.44	2.53357
12.48	2.54666
12.52	2.57466
12.56	2.60524
12.6	2.62729
12.64	2.60863
12.68	2.5802
12.72	2.54478
12.76	2.5244
12.8	2.55394
12.84	2.58417
12.88	2.61322
12.92	2.60657
12.96	2.57791
13.0	2.54576
13.04	2.5201
13.08	2.54993
13.12	2.57309
13.16	2.60959
13.2	2.61409
13.24	2.592
13.28	2.5638
13.32	2.53381
13.36	2.52968
13.4	2.56468
13.44	2.59669
13.48	2.62639
13.52	2.6125
13.56	2.59207
13.6	2.56424
13.64	2.53882
13.68	2.57965
13.72	2.61613
13.76	2.65118
13.8	2.65797
13.84	2.63606
13.88	2.60812
13.92	2.57817
13.96	2.57703
14.0	2.61937
14.04	2.65479
14.08	2.67349
14.12	2.66052
14.16	2.63007
14.2	2.59906
14.24	2.58273
14.28	2.61522
14.32	2.63567
14.36	2.66461
14.4	2.66118
14.44	2.63412
14.48	2.60107
14.52	2.56662
14.56	2.57368
14.6	2.61108
14.64	2.63547
14.68	2.65907
14.72	2.64061
14.76	2.61183
14.8	2.58157
14.84	2.56104
14.88	2.58801
14.92	2.60872
14.96	2.64549
15.0	2.63943
15.04	2.61533
15.08	2.58353
15.12	2.55223
15.16	2.56201
15.2	2.60025
15.24	2.62718
15.28	2.64156
15.32	2.62131
15.36	2.58562
15.4	2.55367
15.44	2.54449
15.48	2.57883
15.52	2.61111
15.56	2.63423
15.6	2.62473
15.64	2.59329
15.68	2.56429
15.72	2.53769
15.76	2.55048
15.8	2.59178
15.84	2.62717
15.88	2.62903
15.92	2.60608
15.96	2.57393
16.0	2.54247
16.04	2.54202
16.08	2.57935
16.12	2.61453
16.16	2.63234
16.2	2.62012
16.24	2.58836
16.28	2.5547
16.32	2.53484
16.36	2.55264
16.4	2.59416
16.44	2.63048
16.48	2.62038
16.52	2.59839
16.56	2.57147
16.6	2.54163
16.64	2.54507
16.68	2.58345
16.72	2.62224
16.76	2.63866
16.8	2.62372
16.84	2.59489
16.88	2.56389
16.92	2.54926
16.96	2.57129
17.0	2.61014
17.04	2.64227
17.08	2.63483
17.12	2.6071
17.16	2.57346
17.2	2.54218
17.24	2.55206
17.28	2.58136
17.32	2.60104
17.36	2.60251
17.4	2.57162
17.44	2.52872
17.48	2.49527
17.52	2.48953
17.56	2.50388
17.6	2.55331
17.64	2.59009
17.68	2.58441
17.72	2.56029
17.76	2.53224
17.8	2.51253
17.84	2.53044
17.88	2.56621
17.92	2.59354
17.96	2.59192
18.0	2.57018
18.04	2.5426
18.08	2.505
18.12	2.51085
18.16	2.53033
18.2	2.57745
18.24	2.59296
18.28	2.57675
18.32	2.55109
18.36	2.52249
18.4	2.50722
18.44	2.52475
18.48	2.56464
18.52	2.59819
18.56	2.59225
18.6	2.5623
18.64	2.53543
18.68	2.5042
18.72	2.51413
18.76	2.5433
18.8	2.59367
18.84	2.60172
18.88	2.58331
18.92	2.5463
18.96	2.51535
19.0	2.51051
19.04	2.53195
19.08	2.57857
19.12	2.60617
19.16	2.58818
19.2	2.56445
19.24	2.52586
19.28	2.50479
19.32	2.52486
19.36	2.54652
19.4	2.59862
19.44	2.59657
19.48	2.5726
19.52	2.54593
19.56	2.51173
19.6	2.52008
19.64	2.53934
19.68	2.59174
19.72	2.60252
19.76	2.58592
19.8	2.55771
19.84	2.52869
19.88	2.51674
19.92	2.53433
19.96	2.5797
20.0	2.60762
20.04	2.59888
20.08	2.5668
20.12	2.5424
20.16	2.51657
20.2	2.52878
20.24	2.55104
20.28	2.60675
20.32	2.6192
20.36	2.60431
20.4	2.57732
20.44	2.54533
20.48	2.54677
20.52	2.57112
20.56	2.61812
20.6	2.6376
20.64	2.62331
20.68	2.59335
20.72	2.56335
20.76	2.53923
20.8	2.55531
20.84	2.58388
20.88	2.63181
20.92	2.62463
20.96	2.60135
21.0	2.57587
21.04	2.54459
21.08	2.54219
21.12	2.5616
21.16	2.60855
21.2	2.62898
21.24	2.61232
21.28	2.57811
21.32	2.54338
21.36	2.52681
21.4	2.55022
21.44	2.57127
21.48	2.62248
21.52	2.62419
21.56	2.60295
21.6	2.57307
21.64	2.54308
21.68	2.55508
21.72	2.58252
21.76	2.63596
21.8	2.65204
21.84	2.63661
21.88	2.60886
21.92	2.5791
21.96	2.56483
22.0	2.59071
22.04	2.61359
22.08	2.66656
22.12	2.66699
22.16	2.64359
22.2	2.61066
22.24	2.58415
22.28	2.59122
22.32	2.60851
22.36	2.65776
22.4	2.67218
22.44	2.659
22.48	2.6272
22.52	2.59903
22.56	2.58278
22.6	2.60562
22.64	2.62805
22.68	2.68193
22.72	2.67932
22.76	2.66173
22.8	2.63071
22.84	2.60214
22.88	2.6068
22.92	2.62335
22.96	2.64917
23.0	2.69478
23.04	2.6826
23.08	2.65877
23.12	2.63268
23.16	2.61215
23.2	2.62646
23.24	2.6506
23.28	2.69325
23.32	2.68025
23.36	2.64861
23.4	2.62579
23.44	2.58047
23.48	2.55051
23.52	2.55573
23.56	2.57529
23.6	2.60567
23.64	2.58725
23.68	2.55676
23.72	2.51913
23.76	2.49336
23.8	2.51045
23.84	2.53276
23.88	2.57968
23.92	2.56992
23.96	2.54735
24.0	2.51233
24.04	2.47691
24.08	2.48218
24.12	2.50786
24.16	2.55223
