Light Intensity (% of scale max) Alessio_doubleslit_0.08_0.5_1.5_lampadina	Position (m) Alessio_doubleslit_0.08_0.5_1.5_lampadina
0.1000000000	-0.0258000000
0.1000000000	-0.0258000000
0.1000000000	-0.0258000000
0.1000000000	-0.0258000000
0.1000000000	-0.0258000000
0.1000000000	-0.0258000000
0.1000000000	-0.0261000000
0.1000000000	-0.0266000000
0.1000000000	-0.0267000000
0.1000000000	-0.0268000000
0.1000000000	-0.0273000000
0.1000000000	-0.0275000000
0.1000000000	-0.0279000000
0.1000000000	-0.0280000000
0.1000000000	-0.0280000000
0.1000000000	-0.0280000000
0.1000000000	-0.0280000000
0.1000000000	-0.0280000000
0.1000000000	-0.0280000000
0.1000000000	-0.0280000000
0.1000000000	-0.0280000000
0.1000000000	-0.0280000000
0.1000000000	-0.0280000000
0.1000000000	-0.0280000000
0.1000000000	-0.0280000000
0.1000000000	-0.0280000000
0.1000000000	-0.0280000000
0.1000000000	-0.0281000000
0.1000000000	-0.0286000000
0.1000000000	-0.0290000000
0.1000000000	-0.0293000000
0.1000000000	-0.0298000000
0.1000000000	-0.0301000000
0.1000000000	-0.0303000000
0.1000000000	-0.0303000000
0.1000000000	-0.0303000000
0.1000000000	-0.0303000000
0.1000000000	-0.0303000000
0.1000000000	-0.0303000000
0.1000000000	-0.0303000000
0.1000000000	-0.0303000000
0.1000000000	-0.0303000000
0.1000000000	-0.0303000000
0.1000000000	-0.0303000000
0.1000000000	-0.0303000000
0.0000000000	-0.0310000000
0.0000000000	-0.0313000000
0.0000000000	-0.0317000000
0.0000000000	-0.0322000000
0.0000000000	-0.0324000000
0.0000000000	-0.0329000000
0.0000000000	-0.0331000000
0.1000000000	-0.0332000000
0.1000000000	-0.0332000000
0.1000000000	-0.0332000000
0.1000000000	-0.0331000000
0.1000000000	-0.0331000000
0.1000000000	-0.0331000000
0.1000000000	-0.0331000000
0.1000000000	-0.0331000000
0.1000000000	-0.0331000000
0.1000000000	-0.0332000000
0.1000000000	-0.0332000000
0.1000000000	-0.0332000000
0.1000000000	-0.0332000000
0.1000000000	-0.0336000000
0.1000000000	-0.0341000000
0.1000000000	-0.0343000000
0.1000000000	-0.0347000000
0.1000000000	-0.0350000000
0.1000000000	-0.0355000000
0.1000000000	-0.0359000000
0.1000000000	-0.0361000000
0.1000000000	-0.0361000000
0.1000000000	-0.0361000000
0.1000000000	-0.0360000000
0.1000000000	-0.0360000000
0.1000000000	-0.0360000000
0.1000000000	-0.0360000000
0.1000000000	-0.0360000000
0.1000000000	-0.0360000000
0.1000000000	-0.0360000000
0.1000000000	-0.0361000000
0.1000000000	-0.0361000000
0.1000000000	-0.0363000000
0.1000000000	-0.0370000000
0.1000000000	-0.0373000000
0.1000000000	-0.0378000000
0.1000000000	-0.0379000000
0.1000000000	-0.0380000000
0.1000000000	-0.0385000000
0.0000000000	-0.0388000000
0.0000000000	-0.0392000000
0.0000000000	-0.0394000000
0.0000000000	-0.0394000000
0.0000000000	-0.0394000000
0.0000000000	-0.0394000000
0.0000000000	-0.0394000000
0.0000000000	-0.0394000000
0.0000000000	-0.0394000000
0.0000000000	-0.0394000000
0.0000000000	-0.0394000000
0.0000000000	-0.0394000000
0.0000000000	-0.0394000000
0.0000000000	-0.0394000000
0.0000000000	-0.0394000000
0.0000000000	-0.0398000000
0.0000000000	-0.0405000000
0.1000000000	-0.0408000000
0.1000000000	-0.0411000000
0.1000000000	-0.0413000000
0.1000000000	-0.0417000000
0.1000000000	-0.0421000000
0.1000000000	-0.0422000000
0.1000000000	-0.0423000000
0.1000000000	-0.0423000000
0.1000000000	-0.0422000000
0.1000000000	-0.0422000000
0.1000000000	-0.0422000000
0.1000000000	-0.0422000000
0.1000000000	-0.0422000000
0.1000000000	-0.0422000000
0.1000000000	-0.0422000000
0.1000000000	-0.0423000000
0.1000000000	-0.0423000000
0.1000000000	-0.0423000000
0.1000000000	-0.0426000000
0.1000000000	-0.0431000000
0.1000000000	-0.0435000000
0.1000000000	-0.0438000000
0.1000000000	-0.0441000000
0.1000000000	-0.0445000000
0.1000000000	-0.0449000000
0.1000000000	-0.0453000000
0.1000000000	-0.0455000000
0.1000000000	-0.0455000000
0.1000000000	-0.0455000000
0.1000000000	-0.0454000000
0.1000000000	-0.0454000000
0.1000000000	-0.0454000000
0.1000000000	-0.0454000000
0.1000000000	-0.0454000000
0.1000000000	-0.0454000000
0.1000000000	-0.0455000000
0.1000000000	-0.0455000000
0.1000000000	-0.0456000000
0.1000000000	-0.0462000000
0.0000000000	-0.0464000000
0.0000000000	-0.0468000000
0.0000000000	-0.0472000000
0.0000000000	-0.0476000000
0.0000000000	-0.0481000000
0.1000000000	-0.0485000000
0.1000000000	-0.0486000000
0.1000000000	-0.0486000000
0.1000000000	-0.0485000000
0.1000000000	-0.0485000000
0.1000000000	-0.0485000000
0.1000000000	-0.0485000000
