Light Intensity (% of scale max) Alessandra_0.08_1.5_lampadina	Position (m) Alessandra_0.08_1.5_lampadina
0.03499	0.0
0.03479	0.0
0.03525	0.0
0.03491	0.0
0.03522	0.0
0.03499	0.0
0.03497	0.0
0.03516	0.0
0.03519	0.0
0.03481	0.0
0.03523	0.0
0.03548	0.0
0.03511	0.0
0.03548	0.0
0.03549	0.0
0.03513	0.0
0.03523	0.0
0.03549	0.0
0.03526	0.0
0.03506	0.0
0.03503	0.0
0.03554	0.0
0.03488	0.0
0.03542	0.0
0.03513	0.0
0.03539	0.0
0.0349	0.0
0.03519	0.0
0.03542	0.0
0.03502	-1.9725e-05
0.03545	-1.9725e-05
0.03493	-1.9725e-05
0.0349	-1.9725e-05
0.0351	-1.9725e-05
0.03468	-1.9725e-05
0.03519	-1.9725e-05
0.03517	-1.9725e-05
0.03522	-3.945e-05
0.03543	-3.945e-05
0.03543	-3.945e-05
0.0351	-3.945e-05
0.03552	-3.945e-05
0.03513	-5.9175e-05
0.03496	-9.8625e-05
0.03543	-0.00011835
0.03505	-0.0001578
0.03473	-0.00019725
0.03497	-0.0002367
0.03523	-0.0002367
0.0352	-0.000295875
0.03531	-0.000374775
0.03481	-0.00051285
0.03474	-0.000690375
0.03447	-0.00082845
0.03444	-0.00098625
0.03447	-0.001105
0.03439	-0.001262
0.03442	-0.00146
0.03424	-0.001657
0.03401	-0.001874
0.03404	-0.00215
0.03416	-0.002367
0.03392	-0.002505
0.03461	-0.002584
0.03467	-0.002683
0.03484	-0.002781
0.03462	-0.002919
0.03476	-0.003077
0.0349	-0.003314
0.03552	-0.00359
0.03545	-0.003906
0.03622	-0.004399
0.03662	-0.00499
0.03703	-0.00505
0.03734	-0.00505
0.0368	-0.00505
0.03738	-0.00505
0.03706	-0.00505
0.03709	-0.00505
0.03751	-0.00505
0.03677	-0.00505
0.03725	-0.00505
0.03722	-0.00505
0.03696	-0.00505
0.03778	-0.00505
0.03757	-0.00505
0.03743	-0.00505
0.03731	-0.00505
0.03734	-0.00505
0.0372	-0.00505
0.03717	-0.00505
0.03734	-0.00505
0.03717	-0.00505
0.03729	-0.005148
0.03777	-0.005523
0.03725	-0.005858
0.03723	-0.006056
0.03708	-0.006253
0.0369	-0.006568
0.03563	-0.006923
0.03532	-0.007219
0.03528	-0.007673
0.03458	-0.008028
0.03435	-0.008304
0.03407	-0.008718
0.034	-0.009034
0.0341	-0.009192
0.03416	-0.00931
0.03374	-0.009448
0.03421	-0.009586
0.03389	-0.009705
0.03441	-0.01006
0.03464	-0.010257
0.03526	-0.010336
0.03494	-0.010573
0.03546	-0.010809
0.03561	-0.011007
0.03574	-0.011224
0.03622	-0.011519
0.03653	-0.011657
0.03632	-0.011657
0.03607	-0.011657
0.03607	-0.011657
0.03618	-0.011657
0.03596	-0.011657
0.0361	-0.011657
0.03595	-0.011657
0.03624	-0.011657
0.03632	-0.011657
0.03592	-0.011657
0.03596	-0.011657
0.03603	-0.011657
0.03618	-0.011657
0.03601	-0.011657
0.03571	-0.011657
0.03571	-0.011657
0.03641	-0.011736
0.03616	-0.012091
0.03699	-0.012308
0.0374	-0.012545
0.03783	-0.01292
0.03821	-0.013255
0.03838	-0.013591
0.03783	-0.014005
0.03735	-0.01436
0.03604	-0.014754
0.03589	-0.01505
0.03545	-0.015326
0.03482	-0.015583
0.035	-0.015741
0.03452	-0.015879
0.03441	-0.016017
0.03427	-0.016214
0.0343	-0.016411
0.03427	-0.016786
0.03371	-0.017141
0.03377	-0.017457
0.03497	-0.018108
0.03531	-0.018463
0.03595	-0.018758
0.03682	-0.018995
0.03723	-0.019074
0.03702	-0.019074
0.037	-0.019074
0.03682	-0.019074
0.03685	-0.019074
0.03687	-0.019074
0.03714	-0.019074
0.03708	-0.019074
0.03699	-0.019074
0.03714	-0.019074
0.03688	-0.019074
0.03708	-0.019074
0.0367	-0.019074
0.037	-0.019074
0.03687	-0.019074
0.0374	-0.019074
0.03752	-0.019074
0.03748	-0.019074
0.03699	-0.019074
0.03729	-0.019074
0.03725	-0.019133
0.03773	-0.01939
0.03796	-0.019646
0.0385	-0.019883
0.03856	-0.020159
0.03862	-0.020435
0.03827	-0.02081
0.03836	-0.021264
0.0383	-0.021619
0.03804	-0.022033
0.03841	-0.022348
0.03763	-0.022565
0.03699	-0.022822
0.03674	-0.02294
0.03619	-0.023137
0.03568	-0.023335
0.03528	-0.023473
0.03523	-0.02367
0.03435	-0.023887
0.03413	-0.024005
0.03383	-0.024242
0.03391	-0.0244
0.03342	-0.024538
0.03391	-0.024755
0.03404	-0.025051
0.03403	-0.025248
0.03491	-0.025524
0.03548	-0.025702
0.03593	-0.025899
0.03659	-0.026175
0.03709	-0.02651
0.03757	-0.026806
0.03835	-0.027043
0.03838	-0.02726
0.03908	-0.027457
0.03925	-0.027615
0.03908	-0.027674
0.03899	-0.027674
0.03918	-0.027654
0.0387	-0.027654
0.03864	-0.027654
0.03879	-0.027654
0.03925	-0.027654
0.03877	-0.027654
0.03917	-0.027654
0.0386	-0.027654
0.03857	-0.027654
0.03932	-0.027654
0.03911	-0.027654
0.03888	-0.027654
0.03929	-0.027654
0.03897	-0.027654
0.03922	-0.027674
0.0394	-0.027674
0.039	-0.027733
0.04031	-0.028148
0.04199	-0.028404
0.04265	-0.028542
0.04333	-0.0287
0.04443	-0.028917
0.04501	-0.029134
0.04497	-0.02941
0.04376	-0.029804
0.04225	-0.030061
0.04057	-0.030317
0.0392	-0.030593
0.0387	-0.030771
0.03766	-0.030968
0.03693	-0.031166
0.0359	-0.031442
0.03525	-0.031757
0.03456	-0.032132
0.0336	-0.032487
0.03442	-0.032803
0.0343	-0.032921
0.03467	-0.033079
0.03506	-0.033217
0.03534	-0.033296
0.03545	-0.033335
0.03598	-0.033414
0.03593	-0.033434
0.03592	-0.033454
0.03613	-0.033454
0.03575	-0.033414
0.03621	-0.033394
0.03577	-0.033394
0.03593	-0.033394
0.03586	-0.033394
0.03563	-0.033394
0.03615	-0.033394
0.03621	-0.033394
0.03606	-0.033394
0.03601	-0.033394
0.03621	-0.033394
0.03606	-0.033434
0.03619	-0.033434
0.03616	-0.033434
0.03656	-0.033493
0.03778	-0.033986
0.03899	-0.034243
0.03946	-0.0344
0.03975	-0.034538
0.04041	-0.034736
0.04152	-0.034992
0.04265	-0.035229
0.04266	-0.035347
0.04401	-0.035643
0.04587	-0.03586
0.04662	-0.036077
0.04865	-0.036333
0.05023	-0.036511
0.0515	-0.036807
0.05138	-0.037182
0.05095	-0.037339
0.05013	-0.037497
0.04741	-0.037793
0.04634	-0.037971
0.04498	-0.038128
0.04318	-0.038345
0.04114	-0.038562
0.03931	-0.038779
0.03688	-0.039174
0.03516	-0.039628
0.03436	-0.039904
0.03375	-0.039923
0.03418	-0.039904
0.03455	-0.039884
0.03397	-0.039884
0.03423	-0.039884
0.0345	-0.039884
0.03448	-0.039884
0.03452	-0.039884
0.03473	-0.039884
0.03467	-0.039884
0.03424	-0.039864
0.03448	-0.039864
0.03465	-0.039864
0.03424	-0.039864
0.03436	-0.039864
0.03438	-0.039864
0.03462	-0.039864
0.03435	-0.039884
0.03426	-0.039923
0.03479	-0.039923
0.03415	-0.039923
0.03441	-0.039983
0.03421	-0.040338
0.03406	-0.040594
0.0343	-0.04091
0.03664	-0.041206
0.03798	-0.041383
0.03993	-0.041659
0.04335	-0.041955
0.04465	-0.042192
0.0468	-0.042488
0.04703	-0.042547
0.04836	-0.042744
0.04788	-0.042882
0.04907	-0.04304
0.04936	-0.043099
0.04936	-0.043099
0.04988	-0.043158
0.05055	-0.043296
0.05072	-0.043454
0.05106	-0.043651
0.05173	-0.04379
0.05206	-0.043987
0.05283	-0.044105
0.05356	-0.044223
0.05431	-0.04448
0.05542	-0.044618
0.05598	-0.044815
0.05661	-0.044973
0.05713	-0.04521
0.05707	-0.045545
0.05733	-0.045584
0.05693	-0.045584
0.05727	-0.045525
0.05724	-0.045525
0.05716	-0.045525
0.05702	-0.045525
0.05699	-0.045525
0.05687	-0.045525
0.05731	-0.045525
0.05731	-0.045525
0.05701	-0.045525
0.05714	-0.045525
0.05722	-0.045525
0.05708	-0.045525
0.05742	-0.045584
0.05756	-0.045584
0.05713	-0.045604
0.0571	-0.045663
0.05635	-0.045861
0.05611	-0.0459
0.05484	-0.046058
0.05136	-0.046373
0.04823	-0.04665
0.04431	-0.046906
0.04074	-0.047182
0.03725	-0.047478
0.03568	-0.047715
0.03459	-0.047912
0.03377	-0.048149
0.03407	-0.048405
0.03465	-0.048681
0.03546	-0.048997
0.03709	-0.049273
0.03972	-0.049549
0.04376	-0.049845
0.04886	-0.050121
0.05254	-0.050318
0.05627	-0.050476
0.06094	-0.050693
