Relative Intensity Antonio_0.08_0.5_lampadina	Position (m) Antonio_0.08_0.5_lampadina
0.0273132	0.0
0.0274353	0.0
0.0274353	0.0
0.0276031	0.0
0.0271301	0.0
0.0271149	0.0
0.0271759	0.0
0.0272675	0.0
0.0276794	0.0
0.0277405	0.0
0.0276031	0.0
0.0270996	0.0
0.027771	0.0
0.0275726	0.0
0.027359	-1.9725e-05
0.0276947	-1.9725e-05
0.0273438	-1.9725e-05
0.0272827	-1.9725e-05
0.0276337	-1.9725e-05
0.0275574	-1.9725e-05
0.0273132	-1.9725e-05
0.0272522	-1.9725e-05
0.0273895	-1.9725e-05
0.0268097	-3.945e-05
0.0273285	-3.945e-05
0.0276031	-3.945e-05
0.0274048	-3.945e-05
0.02742	-3.945e-05
0.0275421	-3.945e-05
0.0272827	-3.945e-05
0.0274353	-3.945e-05
0.0270996	-5.9175e-05
0.0273438	-9.8625e-05
0.0271149	-0.00108487
0.0270538	-0.00195277
0.0266418	-0.00272205
0.0270844	-0.00301792
0.0267944	-0.00368857
0.0270691	-0.00516795
0.0271149	-0.00595695
0.02742	-0.00643035
0.0271912	-0.00708127
0.0275726	-0.00785055
0.0273132	-0.00856065
0.0271759	-0.0095469
0.026947	-0.0101781
0.0271454	-0.01126298
0.0268707	-0.01181528
0.0267029	-0.0120717
0.0271759	-0.01211115
0.026947	-0.01211115
0.0265808	-0.01209143
0.026947	-0.01209143
0.0267181	-0.01209143
0.0268402	-0.01209143
0.0267029	-0.01209143
0.0267334	-0.01209143
0.0265808	-0.01209143
0.0268707	-0.01209143
0.0265656	-0.01209143
0.0265198	-0.01209143
0.0268707	-0.01219005
0.0268402	-0.01240702
0.0267181	-0.0133341
0.0271301	-0.0151488
0.0272217	-0.01576027
0.0273743	-0.01623367
0.0274048	-0.01700295
0.0269318	-0.0172002
0.0266113	-0.01794975
0.0267029	-0.01873875
0.0270844	-0.01931077
0.0267181	-0.020514
0.0272827	-0.02134245
0.0278168	-0.02219062
0.0278168	-0.02274292
0.0279236	-0.02363055
0.0273743	-0.02479432
0.0272369	-0.02591865
0.0270081	-0.02686545
0.0267487	-0.02755582
0.0270538	-0.0280884
0.0272217	-0.02826592
0.0268707	-0.0282462
0.027359	-0.0282462
0.0270996	-0.02822647
0.0269318	-0.02822647
0.0266724	-0.02822647
0.0271759	-0.02822647
0.0270233	-0.02822647
0.026886	-0.02822647
0.0270691	-0.02822647
0.0268402	-0.02822647
0.0269623	-0.0282462
0.026413	-0.02828565
0.0268402	-0.02836455
0.027359	-0.02899575
0.0283508	-0.02962695
0.0281525	-0.02988337
0.0286255	-0.03008062
0.0281525	-0.03086962
0.0279083	-0.03189532
0.0280457	-0.03252652
0.0280914	-0.0330591
0.0281677	-0.03349305
0.0275574	-0.03402562
0.0269318	-0.03459765
0.0269775	-0.03530775
0.0272675	-0.03609675
0.0279846	-0.03666877
0.029953	-0.03722107
0.0308228	-0.03775365
0.0313721	-0.03838485
0.0315247	-0.03907522
0.0309753	-0.03972615
0.0303345	-0.0403968
0.0294495	-0.04112662
0.0281677	-0.04185645
0.0270538	-0.0424482
0.0269775	-0.04294132
0.0270691	-0.04325692
0.027359	-0.04337527
0.0272522	-0.04337527
0.0269318	-0.04337527
0.0270538	-0.04333582
0.0270081	-0.0433161
0.0272064	-0.04325692
0.0270691	-0.04325692
0.026886	-0.04325692
0.02742	-0.04325692
0.0274048	-0.04325692
0.0267487	-0.04325692
0.0272522	-0.04325692
0.0269318	-0.04327665
0.0268402	-0.04329637
0.0270081	-0.04335555
0.0271149	-0.04337527
0.0271912	-0.04345417
0.0276184	-0.0437895
0.0288849	-0.04444042
0.0301056	-0.04483492
0.0306091	-0.044973
0.0316315	-0.0452097
0.0341644	-0.04562392
0.035553	-0.04593952
0.0381927	-0.04633402
0.0395508	-0.04674825
0.0391998	-0.04708357
0.0388489	-0.04730055
0.0373383	-0.0475767
0.0355835	-0.04793175
0.0337372	-0.0482868
0.0320129	-0.04864185
0.0306091	-0.04901662
0.0299377	-0.04933222
0.029068	-0.04958865
0.0282745	-0.0497859
0.0277252	-0.04998315
0.0278931	-0.05006205
0.0275116	-0.05020012
0.0272827	-0.050496
0.0271149	-0.05077215
0.0273743	-0.0510483
0.02771	-0.0512061
0.0288086	-0.0515217
0.0303802	-0.05181757
0.0334778	-0.0523107
0.0370026	-0.05284327
0.039093	-0.05319832
0.0402679	-0.05353365
0.0408936	-0.05375062
0.0406799	-0.05418457
0.0406036	-0.05442127
0.0401459	-0.05471715
0.0393677	-0.05511165
0.0387573	-0.05528917
0.0386047	-0.05542725
0.0377502	-0.05558505
0.0377808	-0.0556245
0.0374756	-0.0556245
0.0375671	-0.05556532
0.0374451	-0.05556532
0.037674	-0.05556532
0.0373535	-0.05556532
0.0373077	-0.05556532
0.0374908	-0.05556532
0.0371857	-0.05556532
0.0375061	-0.05556532
0.0380249	-0.05556532
0.0375061	-0.05556532
0.037323	-0.05556532
0.0377808	-0.05560477
0.0378723	-0.0556245
0.0372925	-0.05572312
0.0359344	-0.05623597
0.0345459	-0.05659102
0.0336151	-0.05684745
0.0319519	-0.05718277
0.0302582	-0.057597
0.0280609	-0.05818875
0.0272522	-0.05864242
0.0278015	-0.05911582
0.0292511	-0.05943142
0.0307465	-0.05974702
0.0328979	-0.06002317
0.0341797	-0.06022042
0.0365448	-0.06057547
0.0371094	-0.060753
0.0392761	-0.06112777
0.040863	-0.0614631
0.041748	-0.06164062
0.0418549	-0.06175897
0.0428467	-0.06195622
0.0431366	-0.06244935
0.0431366	-0.0628044
0.0427856	-0.0631989
0.0422974	-0.06345533
0.0410767	-0.06371175
0.040741	-0.06384983
0.0396881	-0.06408653
0.0379181	-0.06442185
0.0361938	-0.064698
0.0330658	-0.0651714
0.0302429	-0.06574343
0.0293732	-0.06590123
0.0297546	-0.06590123
0.0296631	-0.06590123
0.0291138	-0.0658815
0.0296478	-0.0658815
0.0293427	-0.0658815
0.0292511	-0.0658815
0.0295105	-0.0658815
0.0294342	-0.0658815
0.0291443	-0.0658815
0.0296173	-0.0658815
0.0290833	-0.0658815
0.0292206	-0.0658815
0.0293579	-0.06590123
0.0298462	-0.06590123
0.0296936	-0.06590123
0.0291748	-0.06594068
0.0293579	-0.0659604
0.0286407	-0.06605903
0.0279694	-0.06645353
0.0283051	-0.06696638
0.0285187	-0.06708473
0.0294189	-0.0672228
0.0307617	-0.06740033
0.031189	-0.0675384
0.0353699	-0.0679329
0.0387726	-0.06820905
0.0424042	-0.06850493
0.0448456	-0.06870218
0.0475769	-0.06889943
0.0487518	-0.06905723
0.0487366	-0.06907695
0.0503845	-0.06921503
0.0524902	-0.06953063
0.0535278	-0.0696687
0.0539703	-0.06968843
0.0540009	-0.06970815
0.0552673	-0.06994485
0.0553894	-0.07028018
0.0559235	-0.0706944
0.0542145	-0.07120725
0.0529938	-0.07138478
0.0531158	-0.0714045
0.0507812	-0.0716412
0.0487518	-0.0718779
0.0461578	-0.0721935
0.0414429	-0.07260773
0.036499	-0.07302195
0.0309448	-0.07367288
0.0301971	-0.0738504
0.0299835	-0.0738504
0.030014	-0.07390958
0.0290527	-0.07402793
0.0274811	-0.07430408
0.0271759	-0.07458023
0.0293121	-0.07507335
0.0349121	-0.07568483
0.0351257	-0.07578345
0.0354919	-0.07580318
0.0383911	-0.0760596
0.0440979	-0.07623713
0.0448608	-0.07625685
0.0463867	-0.07643438
0.0556335	-0.07671053
0.0588837	-0.07678943
0.0607147	-0.07686833
0.0717621	-0.07751925
0.0828857	-0.07775595
0.0827637	-0.07775595
0.0831299	-0.07775595
