Relative Intensity Alessio_0.08_1.5_lampadina	Position (m) Alessio_0.08_1.5_lampadina
0.0361786	0.0
0.035675	0.0
0.0359955	0.0
0.0361023	0.0
0.0359039	0.0
0.0357513	0.0
0.0361176	0.0
0.0355682	0.0
0.0360565	0.0
0.0356445	0.0
0.0361633	0.0
0.0359497	0.0
0.0360718	0.0
0.0359955	0.0
0.0359344	0.0
0.035965	0.0
0.0360413	0.0
0.0357361	0.0
0.035675	0.0
0.036026	0.0
0.0357361	0.0
0.0361328	0.0
0.0361786	0.0
0.0358887	0.0
0.0359497	0.0
0.0357971	0.0
0.0361633	0.0
0.0358276	0.0
0.0358276	0.0
0.035965	0.0
0.0360413	0.0
0.0362701	0.0
0.0363007	0.0
0.0365753	0.0
0.0362701	0.0
0.0363617	0.0
0.0365753	0.0
0.0367126	0.0
0.0364532	0.0
0.0363312	0.0
0.0365448	0.0
0.0366364	0.0
0.036499	0.0
0.0366211	0.0
0.0363922	0.0
0.0364075	0.0
0.0368347	0.0
0.0366516	0.0
0.0366669	0.0
0.0367584	0.0
0.0367737	0.0
0.0368652	0.0
0.0369568	0.0
0.0365906	0.0
0.0366821	0.0
0.0363617	0.0
0.0364075	-1.9725e-05
0.0365601	-1.9725e-05
0.0364838	-1.9725e-05
0.0364227	-1.9725e-05
0.0364227	-3.945e-05
0.036377	-3.945e-05
0.0363922	-3.945e-05
0.0363464	-3.945e-05
0.036438	-0.0003156
0.0358887	-0.000572025
0.0359344	-0.000729825
0.0353241	-0.00090735
0.0355225	-0.00098625
0.0354614	-0.00106515
0.0352631	-0.00124268
0.0355835	-0.00145965
0.0354462	-0.00193305
0.0351715	-0.0022092
0.0359192	-0.00258398
0.0358734	-0.00270233
0.0360565	-0.00272205
0.0358124	-0.00272205
0.0358582	-0.00272205
0.0360413	-0.00270233
0.0360413	-0.00270233
0.0359497	-0.00270233
0.0362549	-0.00270233
0.0354462	-0.00270233
0.0356293	-0.00270233
0.0359039	-0.00270233
0.0357513	-0.00270233
0.0356293	-0.00270233
0.0357361	-0.00270233
0.035553	-0.00272205
0.035553	-0.00274178
0.036087	-0.00321518
0.0363617	-0.0037083
0.0365753	-0.00372803
0.0365448	-0.00380693
0.0368347	-0.00408307
0.0370636	-0.00437895
0.0381927	-0.00455648
0.037735	-0.0048129
0.0384674	-0.00510878
0.0385284	-0.00532575
0.0386353	-0.00558218
0.0384674	-0.00579915
0.0384827	-0.00597668
0.0383453	-0.00609503
0.0384216	-0.00611475
0.0386047	-0.00611475
0.0382233	-0.00611475
0.0384979	-0.00611475
0.0387726	-0.00611475
0.0387726	-0.00611475
0.0386963	-0.00611475
0.0384979	-0.00611475
0.0381927	-0.00611475
0.0383911	-0.00611475
0.0383759	-0.00611475
0.0386353	-0.00619365
0.0379944	-0.00674595
0.0362549	-0.0075744
0.0361481	-0.00763358
0.0362244	-0.00775193
0.0364227	-0.00783083
0.0362701	-0.00800835
0.0355225	-0.00822533
0.0358582	-0.0083634
0.0357513	-0.00858037
0.0352173	-0.00893543
0.035202	-0.00919185
0.035202	-0.00934965
0.0352631	-0.00952717
0.0351105	-0.00958635
0.0351105	-0.0097047
0.0354767	-0.0100992
0.0357208	-0.010257
0.0357056	-0.010257
0.0357056	-0.010257
0.0357208	-0.010257
0.0357361	-0.010257
0.0359955	-0.010257
0.0354919	-0.010257
0.0358582	-0.010257
0.0357971	-0.010257
0.0359039	-0.010257
0.036026	-0.010257
0.0358124	-0.010257
0.0359497	-0.01031617
0.0365295	-0.01090792
0.0366974	-0.01122352
0.0362854	-0.01126297
0.0363617	-0.0114405
0.0370941	-0.0115983
0.0368958	-0.01165747
0.0367584	-0.011835
0.0375824	-0.01219005
0.0379486	-0.01226895
0.037674	-0.01240702
0.0384369	-0.01266345
0.0384979	-0.0127818
0.0390015	-0.0130185
0.0390778	-0.01305795
0.0388641	-0.01337355
0.0387421	-0.0137286
0.0389404	-0.0139653
0.0386353	-0.0140442
0.0388641	-0.0140442
0.0384064	-0.0140442
0.038559	-0.01402447
0.0383301	-0.01402447
0.0386963	-0.01402447
0.0387878	-0.01402447
0.0384674	-0.01402447
0.03862	-0.01402447
0.0386963	-0.01402447
0.0382233	-0.0140442
0.0385132	-0.0140442
0.0378418	-0.01449787
0.0368195	-0.01503045
0.0367126	-0.0151488
0.0366516	-0.01526715
0.0362396	-0.01548412
0.0357361	-0.0157011
0.0355835	-0.01578
0.035675	-0.0160167
0.0350952	-0.01619422
0.0350342	-0.0164901
0.0347137	-0.01692405
0.0348511	-0.0169635
0.0346069	-0.01702267
0.0342255	-0.01723965
0.0345612	-0.01747635
0.0348663	-0.01777222
0.0349884	-0.01787085
0.0349426	-0.01787085
0.034668	-0.01787085
0.0345306	-0.01787085
0.0347443	-0.01787085
0.0347595	-0.01787085
0.0349426	-0.01787085
0.0354919	-0.01787085
0.0348969	-0.01787085
0.0354156	-0.01787085
0.0350494	-0.01787085
0.0354309	-0.01787085
0.0349731	-0.01787085
0.0362701	-0.01832452
0.0376129	-0.0186993
0.0379944	-0.01889655
0.0382996	-0.01891628
0.0390472	-0.01907408
0.0393829	-0.01938968
0.0395355	-0.01968555
0.0398865	-0.0199617
0.0401154	-0.02017867
0.0400085	-0.0201984
0.0399475	-0.02049428
0.0396729	-0.02080988
0.0401001	-0.02104658
0.0398407	-0.02128328
0.0404053	-0.02134245
0.0397339	-0.02134245
0.0401001	-0.02134245
0.0399628	-0.02134245
0.0401154	-0.02134245
0.0401154	-0.02134245
0.0401306	-0.02134245
0.0398102	-0.02134245
0.039978	-0.02134245
0.0401611	-0.02134245
0.0400848	-0.02134245
0.0401306	-0.02134245
0.0402069	-0.0215397
0.0402527	-0.02221035
0.0400391	-0.02226953
0.0405273	-0.02230898
0.0399475	-0.02250623
0.0392303	-0.02282183
0.0380096	-0.0232755
0.0371094	-0.02353193
0.0370789	-0.02367
0.0367737	-0.02378835
0.0361938	-0.0240645
0.0358124	-0.02426175
0.035553	-0.0245379
0.0355835	-0.02473515
0.0355682	-0.02481405
0.0355835	-0.02503103
0.0354919	-0.02522828
0.0352631	-0.02522828
0.0354614	-0.02522828
0.0354614	-0.02522828
0.0352936	-0.02522828
0.0353546	-0.02522828
0.0352783	-0.02522828
0.0355835	-0.02522828
0.0350342	-0.02520855
0.0350647	-0.02522828
0.0349884	-0.02522828
0.0351105	-0.02522828
0.0351563	-0.02550443
0.0372009	-0.0261159
0.0369873	-0.02639205
0.0379639	-0.02686545
0.0383606	-0.02710215
0.0387268	-0.02739803
0.0398712	-0.0277728
0.0402222	-0.02781225
0.0409546	-0.02804895
0.0408783	-0.02814758
0.0410919	-0.02818703
0.0426788	-0.02842373
0.0436096	-0.02858153
0.0445404	-0.02881822
0.0452271	-0.02899575
0.0456238	-0.02905493
0.0451508	-0.02905493
0.0452271	-0.02905493
0.0455933	-0.02901548
0.0458527	-0.02901548
0.0456085	-0.02901548
0.0454865	-0.02901548
0.045929	-0.02901548
0.0456085	-0.02901548
0.0458984	-0.02905493
0.0454102	-0.02905493
0.0457458	-0.0291141
0.0451813	-0.02962695
0.0443573	-0.02988338
0.0437927	-0.03000173
0.0413208	-0.0303765
0.0409851	-0.03059348
0.0391998	-0.0310077
0.0383148	-0.0312444
0.037323	-0.0314022
0.036499	-0.03175725
0.0360107	-0.03191505
0.036087	-0.0319545
0.0352936	-0.0322701
0.0354309	-0.03238845
0.0352783	-0.03238845
0.0352325	-0.03238845
0.0350494	-0.032349
0.0353546	-0.032349
0.0348053	-0.032349
0.0352936	-0.032349
0.0349121	-0.032349
0.0352478	-0.032349
0.0352173	-0.032349
0.0351715	-0.03238845
0.0354004	-0.03238845
0.035202	-0.03240818
0.0353394	-0.0325857
0.0358124	-0.03296048
0.035675	-0.03311828
0.0361481	-0.03311828
0.0365601	-0.0333747
0.0374908	-0.0336114
0.037735	-0.0336903
0.0388641	-0.03398618
0.0399628	-0.03422288
0.0404968	-0.03442013
0.0405731	-0.0346371
0.0416107	-0.0347949
0.041687	-0.0349527
0.0421448	-0.0350316
0.0426178	-0.03520913
0.043396	-0.0353472
0.0448608	-0.03554445
0.0453796	-0.03568253
0.0457153	-0.03570225
0.0460358	-0.03570225
0.0458984	-0.03564308
0.0457153	-0.03564308
0.0456238	-0.03564308
0.045639	-0.03564308
0.046051	-0.03564308
0.0456543	-0.03564308
0.0458832	-0.03564308
0.0457764	-0.03568253
0.045578	-0.03570225
0.0453796	-0.03570225
0.0467834	-0.03591923
0.0506897	-0.03641235
0.0507355	-0.0364518
0.0513916	-0.03651098
0.0523682	-0.0367674
0.0531616	-0.0370041
0.0522614	-0.0372408
0.0506744	-0.0374775
0.0479736	-0.0377931
0.0460815	-0.03806925
0.0446472	-0.03824678
0.0419769	-0.03854265
0.0409088	-0.0387399
0.0397797	-0.03893715
