Relative Intensity Antonio_0.02_1.5_lampadina_2	Position (m) Antonio_0.02_1.5_lampadina_2
0.0817871	-0.05179785
0.0760345	-0.05221207
0.0728912	-0.05248822
0.0706329	-0.05268547
0.0674896	-0.05292217
0.0640411	-0.05337585
0.0630646	-0.05359282
0.0626068	-0.05369145
0.0617676	-0.0538887
0.0610504	-0.05426347
0.0606537	-0.05457907
0.0605774	-0.0548355
0.0607452	-0.0550722
0.0607758	-0.05540752
0.0608063	-0.0557034
0.0606232	-0.05603872
0.0600128	-0.05619652
0.0593109	-0.05653185
0.0591431	-0.05659102
0.0592804	-0.0565713
0.0597839	-0.0564924
0.0592346	-0.0564924
0.0592651	-0.0564924
0.0594788	-0.0564924
0.0597534	-0.0564924
0.0597534	-0.0564924
0.0597076	-0.0564924
0.0600433	-0.0564924
0.0589142	-0.0564924
0.0594482	-0.0564924
0.0592041	-0.05651212
0.0592194	-0.05651212
0.0593567	-0.0565713
0.0592346	-0.0565713
0.059021	-0.05659102
0.0592346	-0.05659102
0.0589294	-0.05663047
0.0570374	-0.05686717
0.0492706	-0.05785342
0.0449219	-0.05848462
0.0447083	-0.0585438
0.0428009	-0.05883967
0.0405273	-0.05939197
0.0397491	-0.05968785
0.0391235	-0.0598851
0.0379944	-0.06022042
0.0376129	-0.0605952
0.0371552	-0.0609108
0.0367737	-0.0612264
0.0371246	-0.06142365
0.0370636	-0.0614631
0.0370331	-0.061542
0.0374146	-0.06173925
0.0371246	-0.06197595
0.0374146	-0.0620943
0.0376129	-0.0621732
0.0375366	-0.0622521
0.0379944	-0.06229155
0.0378723	-0.06231127
0.0379486	-0.06239017
0.038559	-0.06254797
0.0391846	-0.06278467
0.0401917	-0.06294247
0.0405273	-0.06298192
0.0418854	-0.06317917
0.0423431	-0.06325807
0.0421295	-0.06325807
0.042511	-0.06325807
0.0427399	-0.06323835
0.040863	-0.0630411
0.0406189	-0.06294247
0.0405884	-0.0629622
0.0402985	-0.0629622
0.0409393	-0.0629622
0.0404968	-0.0629622
0.0407257	-0.06294247
0.0406494	-0.06294247
0.0407104	-0.06294247
0.0407257	-0.06294247
0.0400696	-0.06294247
0.0407715	-0.06294247
0.0406799	-0.0629622
0.0409088	-0.0629622
0.0409393	-0.06298192
0.0418396	-0.06312
0.0425873	-0.06321862
0.043045	-0.06329753
0.0471802	-0.06371175
0.0529633	-0.0643035
0.0545349	-0.0645402
0.0557556	-0.06459938
0.0584259	-0.06487553
0.0619659	-0.0652503
0.0639648	-0.06550673
0.0664062	-0.06578288
0.0675659	-0.06592095
0.068512	-0.06605903
0.0699158	-0.06617738
0.0708771	-0.066276
0.0709229	-0.06633518
0.0725403	-0.06645353
0.0746613	-0.0666705
0.0761719	-0.0668283
0.0773315	-0.06694665
0.0808716	-0.0672228
0.0839539	-0.06747923
0.084549	-0.0675384
0.0843353	-0.06755813
0.0841675	-0.06755813
0.084259	-0.06755813
0.0844879	-0.06759758
0.0864868	-0.06775538
0.0894318	-0.06789345
0.0900269	-0.0679329
0.0912628	-0.06803153
0.0932465	-0.0681696
0.0987396	-0.06852465
0.1052551	-0.06876135
0.1066284	-0.06878108
0.1060944	-0.06878108
0.1053619	-0.06876135
0.1041412	-0.06866273
0.1036987	-0.06866273
0.1033783	-0.06866273
0.1040192	-0.06866273
0.1039886	-0.06866273
0.103241	-0.06866273
0.1034546	-0.06866273
0.1031952	-0.06866273
0.1034393	-0.06866273
0.1033478	-0.06866273
0.1032562	-0.06866273
0.1035614	-0.06868245
0.1039581	-0.0687219
0.1051331	-0.06876135
0.1061707	-0.0688008
0.1105957	-0.06905723
0.1261444	-0.06962925
0.1326141	-0.06976733
0.133194	-0.06976733
0.1338348	-0.06978705
0.1350555	-0.0698265
0.1437531	-0.07012238
0.1637421	-0.07059578
0.1793365	-0.07081275
0.1808624	-0.07083248
0.1830139	-0.07091138
0.2002716	-0.0711678
0.2057953	-0.07122698
0.2085266	-0.0712467
0.2115936	-0.07128615
0.2198486	-0.0714045
0.2237701	-0.0714834
0.2245178	-0.0714834
0.2242279	-0.07150313
0.2339478	-0.07162148
0.238266	-0.07170038
0.2402496	-0.0717201
0.2429199	-0.07173983
0.2519073	-0.0718779
0.2752991	-0.07217378
0.2968292	-0.07239075
0.3104401	-0.07252883
0.324585	-0.07272608
0.3472595	-0.07296278
0.3643188	-0.07319948
0.3878479	-0.0734559
0.4037476	-0.07357425
0.4157257	-0.07375178
0.430191	-0.0739293
0.4353638	-0.0740082
0.4360504	-0.0740082
0.4407501	-0.07410683
0.4591675	-0.0744027
0.4766998	-0.0747183
0.4948883	-0.07517198
0.5124512	-0.07556648
0.516449	-0.07562565
0.5162811	-0.07562565
0.5164795	-0.07562565
0.5141144	-0.07560593
0.5084534	-0.0754284
0.508194	-0.0754284
0.5081329	-0.0754284
0.508194	-0.0754284
0.5087433	-0.0754284
0.5095062	-0.0754284
0.5093231	-0.0754284
0.5109558	-0.0754284
0.5100555	-0.0754284
0.5104065	-0.0754284
0.5109253	-0.0754284
0.5107269	-0.0754284
0.5098572	-0.07544813
0.5102234	-0.07548758
0.5156403	-0.0755862
0.5172882	-0.07564538
0.5213013	-0.07584263
0.5312653	-0.07635548
0.539505	-0.07655273
0.5385132	-0.07655273
0.5388947	-0.07657245
0.5402374	-0.0766119
0.539856	-0.07663163
0.5399933	-0.07665135
0.5415039	-0.07671053
0.542984	-0.07682888
0.5467834	-0.07734173
0.5510406	-0.07797293
0.551712	-0.07801238
0.5517426	-0.07801238
0.5541534	-0.07805183
0.5562897	-0.0782688
0.5615692	-0.07872247
