Light Intensity (% of scale max) Alessio_doubleslit_0.04_0.25_1.5_lampadina	Position (m) Alessio_doubleslit_0.04_0.25_1.5_lampadina
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	-0.0000197000
0.0000000000	-0.0000197000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000395000
0.0000000000	-0.0000592000
0.0000000000	-0.0000592000
0.0000000000	-0.0000592000
0.0000000000	-0.0000592000
0.0000000000	-0.0000592000
0.0000000000	-0.0001970000
0.0000000000	-0.0005520000
0.0000000000	-0.0006900000
0.0000000000	-0.0007890000
0.0000000000	-0.0011000000
0.0000000000	-0.0016000000
0.0000000000	-0.0022000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0025000000
0.0000000000	-0.0027000000
0.0000000000	-0.0031000000
0.0000000000	-0.0033000000
0.0000000000	-0.0036000000
0.0000000000	-0.0039000000
0.0000000000	-0.0042000000
0.0000000000	-0.0046000000
0.0000000000	-0.0049000000
0.0000000000	-0.0052000000
0.0000000000	-0.0056000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0059000000
0.0000000000	-0.0061000000
0.0000000000	-0.0063000000
0.0000000000	-0.0068000000
0.0000000000	-0.0070000000
0.0000000000	-0.0073000000
0.0000000000	-0.0079000000
0.0000000000	-0.0080000000
0.0000000000	-0.0083000000
0.0000000000	-0.0084000000
0.0000000000	-0.0085000000
0.0000000000	-0.0090000000
0.0000000000	-0.0091000000
0.0000000000	-0.0091000000
0.0000000000	-0.0090000000
0.0000000000	-0.0090000000
0.0000000000	-0.0090000000
0.0000000000	-0.0090000000
0.0000000000	-0.0090000000
0.0000000000	-0.0090000000
0.0000000000	-0.0090000000
0.0000000000	-0.0090000000
0.0000000000	-0.0091000000
0.0000000000	-0.0093000000
0.0000000000	-0.0096000000
0.0000000000	-0.0097000000
0.0000000000	-0.0102000000
0.0000000000	-0.0107000000
0.0000000000	-0.0109000000
0.0000000000	-0.0112000000
0.0000000000	-0.0115000000
