Light Intensity (% of scale max) Antonio_0.04_1.5_lampadina	Position (m) Antonio_0.04_1.5_lampadina
0.07011	-0.058544
0.06836	-0.058879
0.06793	-0.059037
0.0677	-0.059214
0.06668	-0.05957
0.06631	-0.059668
0.06554	-0.059905
0.06567	-0.060003
0.06531	-0.060082
0.06438	-0.060477
0.06317	-0.060891
0.06256	-0.061029
0.0614	-0.061325
0.05838	-0.061739
0.0573	-0.061877
0.0564	-0.062035
0.05202	-0.06241
0.05005	-0.062528
0.04907	-0.062647
0.04936	-0.062647
0.04947	-0.062627
0.04979	-0.062607
0.04947	-0.062607
0.04999	-0.062607
0.04965	-0.062607
0.04987	-0.062607
0.04984	-0.062607
0.04907	-0.062607
0.04965	-0.062607
0.04951	-0.062607
0.04904	-0.062607
0.04907	-0.062627
0.04857	-0.062627
0.04855	-0.062647
0.04861	-0.062686
0.04103	-0.063317
0.03885	-0.063554
0.03741	-0.06383
0.03519	-0.064442
0.03528	-0.064639
0.03554	-0.064954
0.03644	-0.065191
0.03653	-0.065231
0.03841	-0.065526
0.04013	-0.065803
0.04027	-0.065862
0.04105	-0.065921
0.04091	-0.06598
0.04166	-0.066039
0.04276	-0.066177
0.04436	-0.066335
0.04533	-0.066394
0.04755	-0.066631
0.05022	-0.066809
0.05154	-0.066887
0.05377	-0.067124
0.05685	-0.067243
0.05962	-0.06744
0.06277	-0.067538
0.06329	-0.067598
0.06932	-0.067972
0.0777	-0.068249
0.07907	-0.068268
0.07916	-0.068268
0.07999	-0.068308
0.08186	-0.068367
0.0816	-0.068367
0.08189	-0.068367
0.08182	-0.068367
0.08047	-0.068367
0.08101	-0.068347
0.08116	-0.068347
0.08138	-0.068347
0.08151	-0.068347
0.08168	-0.068347
0.08121	-0.068347
0.08139	-0.068347
0.08157	-0.068367
0.08177	-0.068367
0.08182	-0.068367
0.08197	-0.068367
0.08478	-0.068485
0.10243	-0.069077
0.11337	-0.069314
0.11479	-0.069314
0.11745	-0.069432
0.12646	-0.069649
0.13268	-0.069767
0.13782	-0.069905
0.1545	-0.0703
0.16826	-0.070458
0.17677	-0.070576
0.18445	-0.070734
0.18881	-0.070793
0.20747	-0.071148
0.21136	-0.071306
0.21355	-0.071326
0.21669	-0.071385
0.22382	-0.071562
0.22554	-0.071582
0.22693	-0.071641
0.23677	-0.071898
0.23805	-0.071898
0.23933	-0.071937
0.24593	-0.072154
0.25545	-0.072588
0.25703	-0.072726
0.25716	-0.072785
0.25729	-0.073101
0.25475	-0.073357
0.25192	-0.073436
0.24756	-0.073732
0.24802	-0.073732
0.24855	-0.073732
0.24875	-0.073732
0.2489	-0.073732
0.24976	-0.073712
0.24863	-0.073712
0.24846	-0.073712
0.24886	-0.073712
0.24904	-0.073712
0.24858	-0.073712
0.24812	-0.073712
0.24866	-0.073712
0.2482	-0.073712
0.24767	-0.073712
0.24786	-0.073732
0.24814	-0.073732
0.24731	-0.073732
0.24738	-0.073732
0.24763	-0.073752
0.2455	-0.073811
0.23566	-0.074166
0.22955	-0.074344
0.22398	-0.074541
0.20531	-0.075034
0.18732	-0.075389
0.1799	-0.075547
0.17198	-0.075705
0.1678	-0.075783
0.16066	-0.075961
0.15137	-0.076138
0.14888	-0.076178
0.14871	-0.076178
0.1468	-0.076237
0.1432	-0.076296
0.14063	-0.076336
0.13641	-0.076513
0.11813	-0.076868
0.11201	-0.076927
0.10777	-0.076987
0.09221	-0.077361
0.08548	-0.077638
0.08344	-0.077677
0.07288	-0.077953
0.0585	-0.078486
0.05618	-0.078683
0.05037	-0.078861
0.04573	-0.079255
0.04559	-0.079294
0.04504	-0.079373
0.04353	-0.07959
0.04259	-0.079768
0.04257	-0.079847
0.04356	-0.080083
0.04556	-0.080202
0.04874	-0.080537
0.05695	-0.080774
0.06152	-0.080951
0.06587	-0.081011
0.06654	-0.08103
0.06721	-0.08105
0.07065	-0.081129
0.07135	-0.081129
0.07133	-0.081129
0.07053	-0.081129
0.0708	-0.081129
0.07059	-0.081129
0.07074	-0.081129
0.07092	-0.081129
0.0705	-0.081129
0.07048	-0.081129
0.07069	-0.081129
0.07051	-0.081129
0.07092	-0.081129
0.07137	-0.081129
0.07126	-0.081129
0.0719	-0.081129
0.07115	-0.081129
0.07103	-0.081129
0.07144	-0.081129
0.07346	-0.081208
0.08868	-0.081523
0.10858	-0.081701
0.10938	-0.08174
0.11848	-0.081938
0.16502	-0.08247
0.22925	-0.082786
0.24106	-0.082845
0.2997	-0.08318
0.33063	-0.083397
0.33879	-0.083437
0.37445	-0.083595
0.45442	-0.083989
0.5032	-0.084186
0.59294	-0.084541
0.65442	-0.084758
0.66411	-0.084798
0.70724	-0.084995
0.75455	-0.085113
0.76825	-0.085173
0.98022	-0.085646
1.15424	-0.086238
1.1692	-0.086277
1.29007	-0.086553
1.40439	-0.08681
1.42609	-0.086869
1.57779	-0.087244
1.78778	-0.087658
1.91608	-0.087954
2.08978	-0.08823
2.12318	-0.088309
