Light Intensity (% of scale max) Alessio_0.02_1.5_lampadina_old	Position (m) Alessio_0.02_1.5_lampadina_old
0.18094	-0.030475
0.18028	-0.030909
0.18025	-0.030949
0.18021	-0.031225
0.18039	-0.031678
0.18054	-0.032073
0.18102	-0.032388
0.1804	-0.032507
0.18076	-0.032507
0.18054	-0.032803
0.18112	-0.033138
0.18111	-0.033296
0.18048	-0.033454
0.18066	-0.033434
0.18091	-0.033414
0.18092	-0.033394
0.18059	-0.033394
0.18105	-0.033414
0.18089	-0.033414
0.18088	-0.033434
0.18092	-0.033454
0.18106	-0.033947
0.18114	-0.034716
0.18092	-0.034736
0.18102	-0.034775
0.18109	-0.034894
0.18108	-0.03515
0.18135	-0.035446
0.18134	-0.035505
0.18176	-0.035722
0.1825	-0.036116
0.18324	-0.036215
0.18321	-0.036393
0.18353	-0.036491
0.18433	-0.036689
0.18401	-0.036886
0.18527	-0.036886
0.18517	-0.036866
0.18483	-0.036846
0.18448	-0.036846
0.18495	-0.036846
0.18495	-0.036846
0.18486	-0.036846
0.18484	-0.036846
0.18434	-0.036886
0.18417	-0.036886
0.18431	-0.036886
0.18431	-0.036965
0.18484	-0.03732
0.18484	-0.037754
0.18494	-0.037971
0.18443	-0.038188
0.18515	-0.038464
0.18526	-0.039016
0.18509	-0.039391
0.18628	-0.039608
0.1873	-0.039864
0.18787	-0.040002
0.1882	-0.040101
0.18922	-0.040101
0.18883	-0.040101
0.18848	-0.040081
0.1889	-0.040081
0.18929	-0.040081
0.18912	-0.040081
0.18909	-0.040081
0.1889	-0.040081
0.18835	-0.040081
0.18872	-0.040101
0.18871	-0.040121
0.19319	-0.040693
0.19534	-0.041501
0.19513	-0.04162
0.19528	-0.041817
0.19472	-0.042152
0.1946	-0.042212
0.19373	-0.042567
0.19327	-0.042882
0.19398	-0.042902
0.19324	-0.04304
0.19356	-0.043336
0.19353	-0.043494
0.19365	-0.043928
0.19475	-0.043987
0.19426	-0.043987
0.19449	-0.043987
0.19472	-0.043947
0.19545	-0.043928
0.19504	-0.043928
0.19458	-0.043928
0.19495	-0.043928
0.19431	-0.043928
0.19415	-0.043987
0.1942	-0.043987
0.19409	-0.044046
0.19887	-0.044835
0.20459	-0.045466
0.20564	-0.045565
0.20821	-0.045782
0.21014	-0.046038
0.21103	-0.046334
0.211	-0.046689
0.21008	-0.046985
0.2081	-0.047458
0.20546	-0.047912
0.20439	-0.047991
0.20335	-0.048228
0.20251	-0.048504
0.20192	-0.048681
0.20184	-0.049036
0.20175	-0.049017
0.20103	-0.048957
0.20206	-0.048957
0.2021	-0.048957
0.202	-0.048957
0.20229	-0.048957
0.20226	-0.049017
0.20134	-0.049036
0.20268	-0.049096
0.20419	-0.049786
0.20746	-0.0502
0.21194	-0.050496
0.21677	-0.051029
0.21814	-0.051364
0.21867	-0.05166
0.21788	-0.052074
0.21649	-0.05235
0.21127	-0.052981
0.20947	-0.053218
0.20877	-0.053258
0.20854	-0.053277
0.20837	-0.053277
0.20796	-0.053218
0.20911	-0.053218
0.20906	-0.053218
0.20876	-0.053218
0.20877	-0.053218
0.20906	-0.053218
0.20889	-0.053218
0.20805	-0.053218
0.20752	-0.053258
0.20865	-0.053277
0.20703	-0.053573
0.20171	-0.05448
0.19992	-0.054776
0.19998	-0.054914
0.19949	-0.055269
0.19925	-0.055486
0.1994	-0.055703
0.20099	-0.056354
0.20152	-0.056453
0.20152	-0.056512
0.20139	-0.056591
0.20219	-0.056847
0.20239	-0.057479
0.202	-0.057696
0.20151	-0.057794
0.19939	-0.058347
0.19724	-0.058662
0.198	-0.058662
0.19739	-0.058623
0.19795	-0.058603
0.19836	-0.058603
0.19809	-0.058603
0.19841	-0.058603
0.19789	-0.058603
0.19879	-0.058662
0.19807	-0.058702
0.19261	-0.059412
0.18852	-0.060161
0.18727	-0.060319
0.18678	-0.060457
0.18456	-0.060852
0.18306	-0.061424
0.18204	-0.0617
0.18108	-0.062055
0.18037	-0.062449
0.17972	-0.062745
0.17897	-0.063061
0.17831	-0.063396
0.1785	-0.063731
0.17819	-0.064087
0.17773	-0.064087
0.1781	-0.064047
0.1783	-0.064047
0.17838	-0.064047
0.17815	-0.064047
0.17813	-0.064047
0.17813	-0.064047
0.17744	-0.064087
0.17799	-0.064087
0.17863	-0.06454
0.18155	-0.065684
0.18384	-0.066079
0.18314	-0.066118
0.18446	-0.066315
0.18602	-0.066572
0.1891	-0.067026
0.19087	-0.067243
0.19276	-0.067499
0.19441	-0.067775
0.19623	-0.068071
0.19861	-0.068387
0.19952	-0.068505
0.19832	-0.068505
0.19933	-0.068485
0.19936	-0.068485
0.19917	-0.068485
0.19969	-0.068485
0.19946	-0.068485
0.19954	-0.068485
0.19937	-0.068505
0.19926	-0.068505
0.20395	-0.069097
0.20869	-0.069827
0.20981	-0.069984
0.21188	-0.070182
0.21991	-0.070872
0.2261	-0.071266
0.22867	-0.071444
0.23439	-0.071779
0.23627	-0.071838
0.23741	-0.071957
0.24965	-0.072351
0.25208	-0.072489
0.25822	-0.072706
0.26714	-0.073042
0.26749	-0.073101
0.26668	-0.073101
0.26645	-0.073101
0.2654	-0.073081
0.2659	-0.073081
0.26631	-0.073081
0.26651	-0.073081
0.26634	-0.073081
0.26619	-0.073101
0.26649	-0.073101
0.26715	-0.073101
0.26955	-0.073259
0.28659	-0.07389
0.30064	-0.074048
0.30267	-0.074087
0.32291	-0.074442
0.36711	-0.075251
0.38634	-0.075645
0.40089	-0.075843
0.41776	-0.076099
0.41818	-0.076099
0.42386	-0.076158
0.42534	-0.076178
0.42511	-0.076178
0.42581	-0.076178
0.42357	-0.076158
0.42465	-0.076158
0.42439	-0.076158
0.42252	-0.076158
0.42226	-0.076158
0.42299	-0.076158
0.42206	-0.076178
0.42331	-0.076178
0.42709	-0.076237
0.46219	-0.076829
0.53429	-0.077874
0.58205	-0.078505
0.61801	-0.07888
0.64383	-0.079354
0.6488	-0.079472
0.66219	-0.079748
0.68158	-0.080182
0.69156	-0.080439
0.69144	-0.080439
0.69093	-0.080439
0.69102	-0.080439
0.69241	-0.080439
0.69131	-0.080439
0.69125	-0.080439
0.69127	-0.080439
0.69066	-0.080439
0.6922	-0.080439
0.69162	-0.080439
0.69189	-0.080439
0.69275	-0.080439
0.69254	-0.080458
0.70441	-0.080853
0.73203	-0.08176
0.74081	-0.081977
0.74237	-0.082056
0.7529	-0.08249
0.76576	-0.083003
0.77286	-0.08322
0.77463	-0.083397
0.793	-0.083969
0.80211	-0.084364
0.80833	-0.084699
0.80745	-0.084719
0.80777	-0.084719
0.80806	-0.084719
0.80763	-0.084719
0.80875	-0.084719
0.80957	-0.084719
0.80936	-0.084719
0.80824	-0.084719
0.8074	-0.084719
0.80873	-0.084719
0.80865	-0.084719
0.80811	-0.084758
0.82106	-0.085192
0.84059	-0.08608
0.84674	-0.086395
0.8479	-0.086435
0.86052	-0.086928
0.86789	-0.087106
0.87257	-0.087323
0.88882	-0.088052
0.90273	-0.088388
0.90608	-0.088447
0.90686	-0.088565
0.90868	-0.088605
0.9213	-0.089098
0.94469	-0.089788
0.94646	-0.089808
0.9467	-0.089828
0.94814	-0.089808
0.94806	-0.089808
0.94788	-0.089808
0.94731	-0.089808
0.94637	-0.089808
0.94617	-0.089808
0.94704	-0.089808
0.94568	-0.089808
0.94968	-0.089828
0.95998	-0.090104
0.97572	-0.090696
0.98692	-0.091149
0.98988	-0.091287
0.99904	-0.091603
1.01703	-0.092431
1.03848	-0.093201
1.04558	-0.093339
1.05826	-0.093694
1.07913	-0.094325
1.09477	-0.09468
1.09525	-0.0947
1.09592	-0.0947
1.0955	-0.0947
1.09578	-0.0947
1.09438	-0.0947
1.09627	-0.0947
1.09676	-0.0947
1.09651	-0.0947
1.09589	-0.0947
1.09802	-0.094719
1.11008	-0.095055
1.13744	-0.095785
1.1501	-0.096357
1.15462	-0.096475
1.18236	-0.097126
1.19698	-0.097658
1.2059	-0.097836
1.22749	-0.098349
1.25435	-0.099019
1.2664	-0.099296
1.27367	-0.099434
1.27628	-0.099473
1.27719	-0.099473
1.27789	-0.099473
1.27643	-0.099473
1.2784	-0.099473
1.27658	-0.099473
1.2773	-0.099473
1.27626	-0.099473
1.27689	-0.099473
1.27934	-0.099532
1.29634	-0.100242
1.31837	-0.100953
1.3224	-0.101051
1.32574	-0.101327
1.31075	-0.102156
1.28958	-0.102688
1.27736	-0.102886
1.23994	-0.103398
1.19742	-0.103793
1.18295	-0.103931
1.15492	-0.104148
1.15121	-0.104148
1.15327	-0.104128
1.15364	-0.104128
1.15141	-0.104128
1.1507	-0.104128
1.1498	-0.104128
1.15131	-0.104128
1.15193	-0.104128
1.15221	-0.104148
1.14874	-0.104148
1.04846	-0.104779
0.90919	-0.105884
0.88582	-0.106081
0.82578	-0.106554
0.73247	-0.107363
0.66275	-0.108073
0.62502	-0.108527
0.5977	-0.108902
0.57872	-0.109198
0.56633	-0.109336
0.56271	-0.109355
0.56467	-0.109355
0.56342	-0.109355
0.56416	-0.109336
0.56326	-0.109336
0.56386	-0.109336
0.56287	-0.109336
0.5643	-0.109336
0.56396	-0.109336
0.56412	-0.109336
0.56355	-0.109355
0.56314	-0.109395
0.52602	-0.110125
0.50636	-0.111269
0.50441	-0.111604
0.50244	-0.112018
0.50333	-0.112531
0.50415	-0.112827
0.50832	-0.113458
0.50824	-0.113695
0.50743	-0.113715
0.50896	-0.113715
0.50897	-0.113715
0.50941	-0.113695
0.51028	-0.113695
0.51079	-0.113695
0.51173	-0.113695
0.51118	-0.113695
0.51015	-0.113695
0.51035	-0.113715
0.50987	-0.113715
0.50998	-0.113715
0.50934	-0.113872
0.49277	-0.11476
0.46564	-0.115095
0.46574	-0.115115
0.45848	-0.115214
0.44086	-0.11545
0.38565	-0.11618
0.34286	-0.116733
0.31842	-0.117107
0.28461	-0.117758
0.25887	-0.11833
0.2581	-0.11835
0.25757	-0.118409
0.25095	-0.118606
0.24754	-0.118744
0.24248	-0.118961
0.23901	-0.11906
0.23956	-0.11906
0.23926	-0.11906
0.23981	-0.11904
0.23985	-0.11904
0.24033	-0.11904
0.24022	-0.11904
0.23921	-0.11904
0.23935	-0.11906
0.23915	-0.11906
0.23825	-0.11906
0.23746	-0.119159
0.22617	-0.119967
0.21596	-0.120835
0.21471	-0.120855
0.21536	-0.120914
0.21303	-0.121171
0.20869	-0.121703
0.20755	-0.12192
0.207	-0.12196
0.2037	-0.122275
0.20079	-0.122591
0.1971	-0.122788
0.19106	-0.123262
0.18817	-0.12336
0.18822	-0.12336
0.18874	-0.12334
0.1884	-0.123321
0.18834	-0.12334
0.18906	-0.12334
0.18871	-0.12334
0.18811	-0.12334
0.18903	-0.12334
0.18791	-0.12336
0.18826	-0.12336
0.18532	-0.123676
0.17549	-0.124563
0.17111	-0.125096
0.1707	-0.125254
0.16954	-0.125648
0.16814	-0.125944
0.16786	-0.126181
0.16747	-0.126654
0.16756	-0.127009
0.16718	-0.127305
0.16817	-0.127798
0.16869	-0.127897
0.16837	-0.127976
0.16827	-0.128114
0.16864	-0.128153
0.16907	-0.128153
0.16879	-0.128094
0.16898	-0.128094
0.16888	-0.128094
0.16893	-0.128094
0.16867	-0.128094
0.16852	-0.128094
0.16858	-0.128153
0.16914	-0.128153
0.16916	-0.128252
0.17268	-0.129021
0.17522	-0.129869
0.17618	-0.130303
0.17685	-0.13052
0.17783	-0.131033
0.17883	-0.131507
0.18007	-0.131881
0.18365	-0.132532
0.18581	-0.132789
0.18579	-0.132828
0.18597	-0.132828
0.18616	-0.132808
0.18636	-0.132749
0.18581	-0.132749
0.18602	-0.132749
0.18623	-0.132749
0.18571	-0.132749
0.18591	-0.132808
0.18576	-0.132808
0.18648	-0.132828
0.19067	-0.133203
0.20105	-0.134051
0.20526	-0.134386
0.20547	-0.134564
0.20695	-0.135037
0.20715	-0.135254
0.2066	-0.135432
0.20592	-0.135491
0.20572	-0.135688
0.202	-0.136438
0.19885	-0.136734
0.19872	-0.137069
0.19966	-0.137345
0.20078	-0.137483
0.20703	-0.137996
0.20877	-0.138213
0.20908	-0.138213
0.20926	-0.138193
0.20892	-0.138154
0.20755	-0.138154
0.20815	-0.138154
0.20808	-0.138154
0.20734	-0.138154
0.20773	-0.138154
0.20819	-0.138193
0.20831	-0.138213
0.21425	-0.13845
0.22586	-0.139475
0.22459	-0.139949
0.22205	-0.140166
0.21487	-0.140659
0.21155	-0.140876
0.20782	-0.14127
0.20497	-0.141823
0.20464	-0.142138
0.20485	-0.142217
0.20628	-0.142493
0.21182	-0.143026
0.21634	-0.143322
0.21661	-0.143322
0.21671	-0.143322
0.21654	-0.143302
0.21632	-0.143302
0.21661	-0.143302
0.21722	-0.143302
0.21715	-0.143322
0.21712	-0.143322
0.21686	-0.143322
0.21777	-0.143519
0.217	-0.144387
0.20792	-0.1449
0.20474	-0.145117
0.19917	-0.14559
0.19476	-0.146044
0.19415	-0.146281
0.19492	-0.146498
0.19534	-0.146695
0.19829	-0.14705
0.19928	-0.147287
0.19872	-0.147287
0.19925	-0.147287
0.20004	-0.147287
0.20004	-0.147287
0.19945	-0.147287
0.1998	-0.147287
0.19876	-0.147287
0.19901	-0.147287
0.19875	-0.147287
0.19861	-0.147287
0.198	-0.147287
0.19867	-0.147287
0.19891	-0.147287
0.19914	-0.147287
0.20038	-0.147346
0.19423	-0.14845
0.18672	-0.149259
0.18648	-0.149259
0.18549	-0.149318
0.18277	-0.149673
0.18129	-0.14993
0.18118	-0.149949
0.18051	-0.150226
0.18011	-0.150462
0.1804	-0.150462
