Light Intensity (% of scale max) Antonio_0.02_1.5_lampadina	Position (m) Antonio_0.02_1.5_lampadina
0.2000000000	-0.0478000000
0.1000000000	-0.0479000000
0.1000000000	-0.0481000000
0.1000000000	-0.0482000000
0.1000000000	-0.0483000000
0.1000000000	-0.0485000000
0.1000000000	-0.0491000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0492000000
0.1000000000	-0.0493000000
0.1000000000	-0.0498000000
0.1000000000	-0.0502000000
0.1000000000	-0.0504000000
0.1000000000	-0.0505000000
0.1000000000	-0.0508000000
0.2000000000	-0.0509000000
0.2000000000	-0.0512000000
0.2000000000	-0.0515000000
0.2000000000	-0.0517000000
0.2000000000	-0.0521000000
0.2000000000	-0.0522000000
0.2000000000	-0.0522000000
0.2000000000	-0.0525000000
0.2000000000	-0.0532000000
0.2000000000	-0.0535000000
0.2000000000	-0.0538000000
0.2000000000	-0.0538000000
0.2000000000	-0.0538000000
0.2000000000	-0.0538000000
0.1000000000	-0.0539000000
0.1000000000	-0.0543000000
0.1000000000	-0.0545000000
0.1000000000	-0.0546000000
0.1000000000	-0.0548000000
0.1000000000	-0.0548000000
0.1000000000	-0.0550000000
0.1000000000	-0.0551000000
0.1000000000	-0.0552000000
0.1000000000	-0.0554000000
0.1000000000	-0.0556000000
0.1000000000	-0.0557000000
0.1000000000	-0.0558000000
0.1000000000	-0.0559000000
0.1000000000	-0.0563000000
0.1000000000	-0.0564000000
0.1000000000	-0.0565000000
0.1000000000	-0.0565000000
0.1000000000	-0.0567000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0569000000
0.1000000000	-0.0570000000
0.1000000000	-0.0570000000
0.1000000000	-0.0572000000
0.1000000000	-0.0575000000
0.1000000000	-0.0575000000
0.1000000000	-0.0576000000
0.1000000000	-0.0582000000
0.1000000000	-0.0585000000
0.1000000000	-0.0585000000
0.1000000000	-0.0586000000
0.1000000000	-0.0590000000
0.1000000000	-0.0591000000
0.1000000000	-0.0592000000
0.1000000000	-0.0596000000
0.1000000000	-0.0597000000
0.1000000000	-0.0597000000
0.1000000000	-0.0598000000
0.1000000000	-0.0600000000
0.1000000000	-0.0603000000
0.1000000000	-0.0604000000
0.1000000000	-0.0608000000
0.1000000000	-0.0610000000
0.1000000000	-0.0610000000
0.1000000000	-0.0611000000
0.1000000000	-0.0613000000
0.1000000000	-0.0615000000
0.1000000000	-0.0615000000
0.1000000000	-0.0616000000
0.1000000000	-0.0618000000
0.1000000000	-0.0619000000
0.1000000000	-0.0620000000
0.1000000000	-0.0623000000
0.1000000000	-0.0623000000
0.1000000000	-0.0623000000
0.1000000000	-0.0625000000
0.1000000000	-0.0625000000
0.1000000000	-0.0625000000
0.1000000000	-0.0625000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0627000000
0.1000000000	-0.0629000000
0.1000000000	-0.0636000000
0.1000000000	-0.0637000000
0.1000000000	-0.0639000000
0.1000000000	-0.0642000000
0.1000000000	-0.0643000000
0.1000000000	-0.0646000000
0.1000000000	-0.0649000000
0.1000000000	-0.0650000000
0.1000000000	-0.0654000000
0.1000000000	-0.0657000000
0.1000000000	-0.0659000000
0.1000000000	-0.0660000000
0.1000000000	-0.0661000000
0.1000000000	-0.0662000000
0.1000000000	-0.0664000000
0.1000000000	-0.0666000000
0.1000000000	-0.0668000000
0.1000000000	-0.0669000000
0.1000000000	-0.0670000000
0.1000000000	-0.0672000000
0.1000000000	-0.0673000000
0.1000000000	-0.0673000000
0.1000000000	-0.0675000000
0.1000000000	-0.0675000000
0.1000000000	-0.0678000000
0.1000000000	-0.0678000000
0.1000000000	-0.0679000000
0.1000000000	-0.0681000000
0.1000000000	-0.0682000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0683000000
0.1000000000	-0.0689000000
0.2000000000	-0.0692000000
0.2000000000	-0.0692000000
0.2000000000	-0.0694000000
0.2000000000	-0.0696000000
0.2000000000	-0.0697000000
0.2000000000	-0.0698000000
0.2000000000	-0.0701000000
0.2000000000	-0.0703000000
0.2000000000	-0.0703000000
0.2000000000	-0.0706000000
0.2000000000	-0.0709000000
0.2000000000	-0.0710000000
0.2000000000	-0.0711000000
0.2000000000	-0.0713000000
0.2000000000	-0.0714000000
0.2000000000	-0.0715000000
0.2000000000	-0.0717000000
0.2000000000	-0.0717000000
0.2000000000	-0.0717000000
0.2000000000	-0.0718000000
0.2000000000	-0.0720000000
0.2000000000	-0.0721000000
0.2000000000	-0.0721000000
0.2000000000	-0.0722000000
0.2000000000	-0.0725000000
0.2000000000	-0.0725000000
0.2000000000	-0.0728000000
0.2000000000	-0.0731000000
0.2000000000	-0.0732000000
0.2000000000	-0.0734000000
0.2000000000	-0.0735000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0736000000
0.2000000000	-0.0739000000
0.2000000000	-0.0745000000
0.2000000000	-0.0747000000
0.2000000000	-0.0750000000
0.3000000000	-0.0753000000
0.3000000000	-0.0755000000
0.3000000000	-0.0758000000
0.3000000000	-0.0759000000
0.3000000000	-0.0761000000
0.3000000000	-0.0762000000
0.3000000000	-0.0762000000
0.3000000000	-0.0764000000
0.3000000000	-0.0767000000
0.3000000000	-0.0768000000
0.4000000000	-0.0770000000
0.4000000000	-0.0774000000
0.4000000000	-0.0774000000
0.4000000000	-0.0775000000
0.4000000000	-0.0780000000
0.5000000000	-0.0787000000
0.5000000000	-0.0791000000
0.5000000000	-0.0791000000
