Relative Intensity Antonio_0.16_1.5_lampadina	Position (m) Antonio_0.16_1.5_lampadina
0.0359039	0.0
0.0357056	0.0
0.0357513	-1.9725e-05
0.036026	-3.945e-05
0.0357666	-9.8625e-05
0.0354767	-9.8625e-05
0.0355835	-9.8625e-05
0.0355072	-9.8625e-05
0.0355988	-9.8625e-05
0.0355225	-9.8625e-05
0.0356445	-9.8625e-05
0.0357361	-9.8625e-05
0.0357971	-9.8625e-05
0.0355072	-9.8625e-05
0.0358124	-9.8625e-05
0.0357361	-9.8625e-05
0.0359192	-9.8625e-05
0.0355835	-9.8625e-05
0.0357513	-0.00011835
0.0356445	-0.00011835
0.0355988	-0.00011835
0.0358582	-9.8625e-05
0.0359192	-9.8625e-05
0.0353546	-9.8625e-05
0.0355377	-9.8625e-05
0.0354919	-0.00011835
0.0357819	-0.00011835
0.0358124	-0.00011835
0.0355225	-0.00011835
0.0354614	-0.00011835
0.0355377	-0.00011835
0.0357666	-0.00011835
0.0352631	-0.00011835
0.0357208	-0.00011835
0.0358276	-0.00011835
0.0353851	-0.00011835
0.0353241	-0.000138075
0.0357056	-0.000138075
0.0357513	-0.000138075
0.0357513	-0.000138075
0.0359192	-0.000138075
0.0357819	-0.000138075
0.0361328	-0.000256425
0.0360565	-0.00027615
0.0362244	-0.00027615
0.0361176	-0.00027615
0.0367126	-0.000611475
0.0360565	-0.00114405
0.0358124	-0.00130185
0.0353394	-0.00163718
0.0337372	-0.00240645
0.0330353	-0.00301793
0.0339508	-0.00327435
0.0367584	-0.00398445
0.0375824	-0.00495098
0.0372314	-0.00510878
0.0366821	-0.00554272
0.0331421	-0.0066276
0.0341034	-0.00735742
0.0356598	-0.00808725
0.0363312	-0.0083634
0.036499	-0.00846203
0.0358887	-0.0088368
0.0359497	-0.00942855
0.0348206	-0.00972443
0.0352783	-0.00976388
0.034729	-0.00976388
0.0353394	-0.00974415
0.0351563	-0.00974415
0.0352936	-0.00974415
0.0352478	-0.00974415
0.0352173	-0.00974415
0.0348358	-0.00974415
0.0350342	-0.00974415
0.0353241	-0.00974415
0.0351105	-0.00974415
0.0348663	-0.00974415
0.0348206	-0.00974415
0.0350952	-0.00974415
0.0351715	-0.00980333
0.0336456	-0.01092765
0.0359497	-0.01189418
0.0361023	-0.0119139
0.0365753	-0.01203225
0.0380859	-0.0123873
0.0379028	-0.0130185
0.0333557	-0.014202
0.0356293	-0.01536578
0.0373077	-0.01603643
0.0377197	-0.01647038
0.0359039	-0.01761443
0.0338135	-0.01842315
0.0338898	-0.01921215
0.0341034	-0.0194094
0.0344391	-0.0196461
0.0362244	-0.0204351
0.036087	-0.02157915
0.0331879	-0.02226953
0.0328369	-0.02244705
0.0327301	-0.02244705
0.0325775	-0.02244705
0.0329437	-0.02244705
0.0329285	-0.02244705
0.0327759	-0.02244705
0.0331879	-0.02244705
0.0329742	-0.02244705
0.0326996	-0.02244705
0.0327148	-0.02244705
0.0331268	-0.02244705
0.0326996	-0.02244705
0.0326691	-0.02244705
0.03302	-0.02244705
0.0327301	-0.02244705
0.0334167	-0.022881
0.0391541	-0.02449845
0.0378571	-0.02528745
0.0350189	-0.0257214
0.033783	-0.02597783
0.033493	-0.02613563
0.0338898	-0.02694435
0.0382538	-0.0276939
0.0401001	-0.02844345
0.0400391	-0.0287985
0.0361786	-0.02921273
0.0341644	-0.0301398
0.0331573	-0.03041595
0.0343628	-0.03114578
0.0406342	-0.03256598
0.0362854	-0.03343388
0.0330505	-0.0344793
0.0359497	-0.03516968
0.0403748	-0.0358206
0.0411224	-0.0360573
0.0407867	-0.03635317
0.0396881	-0.0366096
0.036972	-0.03702382
0.0362396	-0.03718162
0.0363922	-0.03714217
0.0362854	-0.03714217
0.0361633	-0.03714217
0.0362854	-0.03714217
0.0363617	-0.03714217
0.0363312	-0.03714217
0.0362396	-0.03714217
0.0368195	-0.03714217
