Relative Intensity Alessandra_0.02_1.5_lampadina	Position (m) Alessandra_0.02_1.5_lampadina
0.0375366	0.0
0.037674	0.0
0.037674	0.0
0.0378265	0.0
0.0375824	0.0
0.0377502	0.0
0.0376282	0.0
0.0376434	0.0
0.0375671	0.0
0.0375977	0.0
0.0375977	0.0
0.0380249	0.0
0.0372925	0.0
0.0372772	0.0
0.0375214	0.0
0.0376434	0.0
0.0375061	0.0
0.0378113	0.0
0.0375519	0.0
0.037674	0.0
0.0375519	0.0
0.0378723	0.0
0.0374756	0.0
0.0377502	0.0
0.0375061	0.0
0.0375671	0.0
0.0375519	0.0
0.037674	0.0
0.0381622	0.0
0.0374908	0.0
0.0374603	0.0
0.0378265	0.0
0.037384	0.0
0.037735	0.0
0.0378876	0.0
0.0381927	0.0
0.0377502	-1.9725e-05
0.0374603	-1.9725e-05
0.0379028	-1.9725e-05
0.037674	-1.9725e-05
0.0375214	-1.9725e-05
0.0379028	-1.9725e-05
0.0372314	-3.945e-05
0.0377808	-0.000295875
0.0379486	-0.000453675
0.0373535	-0.00059175
0.0379181	-0.00074955
0.0378113	-0.00090735
0.0378723	-0.0010257
0.0380707	-0.00112433
0.0378113	-0.00128212
0.0379639	-0.00147937
0.0380554	-0.00175553
0.0380554	-0.0021303
0.0386963	-0.0025248
0.0386353	-0.00289957
0.0385742	-0.0033927
0.0387115	-0.00382665
0.0391235	-0.00408307
0.0389709	-0.00431978
0.0391083	-0.0044973
0.0394592	-0.00459593
0.0395355	-0.004734
0.0400696	-0.00483262
0.0400085	-0.00493125
0.0404358	-0.00506932
0.0405579	-0.0052074
0.0405426	-0.00540465
0.0400543	-0.00566108
0.0400696	-0.0059175
0.0401611	-0.00617393
0.0399017	-0.00656843
0.0406494	-0.00712073
0.0407867	-0.00735743
0.0405426	-0.00737715
0.041153	-0.00735743
0.0409698	-0.00735743
0.0409393	-0.00735743
0.040863	-0.00735743
0.0409241	-0.00735743
0.0413513	-0.00735743
0.041275	-0.00735743
0.0407715	-0.00735743
0.0409241	-0.00735743
0.0410156	-0.00735743
