Light Intensity (% of scale max) Alessandra_0.16_1.5_lampadina	Position (m) Alessandra_0.16_1.5_lampadina
0.1000000000	-0.0665000000
0.1000000000	-0.0666000000
0.1000000000	-0.0668000000
0.1000000000	-0.0669000000
0.1000000000	-0.0671000000
0.1000000000	-0.0673000000
0.1000000000	-0.0675000000
0.1000000000	-0.0675000000
0.1000000000	-0.0677000000
0.1000000000	-0.0679000000
0.1000000000	-0.0681000000
0.1000000000	-0.0683000000
0.1000000000	-0.0685000000
0.0000000000	-0.0686000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0687000000
0.0000000000	-0.0688000000
0.0000000000	-0.0690000000
0.0000000000	-0.0691000000
0.0000000000	-0.0692000000
0.0000000000	-0.0693000000
0.0000000000	-0.0693000000
0.1000000000	-0.0694000000
0.1000000000	-0.0694000000
0.1000000000	-0.0695000000
0.1000000000	-0.0696000000
0.1000000000	-0.0696000000
0.1000000000	-0.0697000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0698000000
0.1000000000	-0.0700000000
0.1000000000	-0.0701000000
0.1000000000	-0.0703000000
0.1000000000	-0.0706000000
0.1000000000	-0.0708000000
0.1000000000	-0.0710000000
0.1000000000	-0.0712000000
0.1000000000	-0.0714000000
0.1000000000	-0.0716000000
0.1000000000	-0.0717000000
0.1000000000	-0.0718000000
0.1000000000	-0.0719000000
0.1000000000	-0.0720000000
0.1000000000	-0.0721000000
0.1000000000	-0.0722000000
0.1000000000	-0.0724000000
0.1000000000	-0.0726000000
0.0000000000	-0.0728000000
0.0000000000	-0.0730000000
0.0000000000	-0.0732000000
0.1000000000	-0.0733000000
0.1000000000	-0.0735000000
