Light Intensity (% of scale max) Alessandra_0.02_1.5_lampadina_old	Position (m) Alessandra_0.02_1.5_lampadina_old
0.17931	-0.009488
0.17938	-0.009488
0.17903	-0.009488
0.1792	-0.009488
0.17976	-0.009507
0.18086	-0.009527
0.18544	-0.009567
0.18634	-0.010533
0.18541	-0.012427
0.18478	-0.014518
0.18347	-0.016589
0.18274	-0.017595
0.18391	-0.017595
0.18571	-0.017614
0.18683	-0.017614
0.18839	-0.017634
0.18901	-0.017654
0.1891	-0.017654
0.18871	-0.017674
0.18828	-0.017831
0.18781	-0.017891
0.1882	-0.017891
0.18758	-0.017891
0.1882	-0.017891
0.18784	-0.017891
0.18787	-0.01795
0.18791	-0.01795
0.18781	-0.01795
0.1879	-0.017969
0.18816	-0.017969
0.18788	-0.017969
0.188	-0.017969
0.18848	-0.017969
0.18825	-0.017969
0.18852	-0.017969
0.18851	-0.017969
0.18845	-0.017969
0.18832	-0.017969
0.18832	-0.017969
0.18834	-0.018522
0.18784	-0.019567
0.18848	-0.019626
0.18834	-0.019626
0.188	-0.019646
0.18849	-0.019646
0.18871	-0.019646
0.18948	-0.019646
0.18953	-0.019646
0.18925	-0.019646
0.1895	-0.019666
0.18912	-0.019666
0.18912	-0.019666
0.18918	-0.019686
0.187	-0.020514
0.18582	-0.022585
0.18124	-0.024735
0.17955	-0.02651
0.17929	-0.027477
0.18144	-0.027615
0.1826	-0.027753
0.18224	-0.027812
0.18234	-0.027812
0.18213	-0.027871
0.18181	-0.028108
0.18169	-0.028503
0.18188	-0.029311
0.1821	-0.030041
0.18173	-0.030396
0.18217	-0.030416
0.18211	-0.030475
0.18095	-0.030475
0.18193	-0.030475
0.18214	-0.030475
0.18192	-0.030475
0.18214	-0.030475
0.18195	-0.030475
0.1819	-0.030475
0.18207	-0.030475
0.18224	-0.030475
0.18286	-0.030495
0.18245	-0.030495
0.18207	-0.030495
0.1826	-0.030495
0.18257	-0.030495
0.18201	-0.030732
0.18048	-0.032744
0.17892	-0.034677
0.17792	-0.03586
0.17862	-0.036649
0.18221	-0.037122
0.18616	-0.037497
0.18834	-0.037754
0.18974	-0.038148
0.19145	-0.038681
0.19099	-0.039115
0.19064	-0.039785
0.19054	-0.040772
0.1942	-0.041778
0.20325	-0.042724
0.20737	-0.043336
0.20769	-0.043612
0.20728	-0.043691
0.20636	-0.043691
0.20634	-0.043691
0.20604	-0.043711
0.20538	-0.043711
0.20627	-0.043711
0.20587	-0.043711
0.20691	-0.043711
0.20621	-0.04373
0.20676	-0.043947
0.20457	-0.044243
0.20319	-0.044776
0.20255	-0.045446
0.20184	-0.045841
0.20261	-0.04592
0.20222	-0.04594
0.20212	-0.045979
0.20175	-0.046038
0.20317	-0.046373
0.20923	-0.047005
0.21452	-0.047399
0.21663	-0.047616
0.21988	-0.047951
0.22148	-0.048287
0.22092	-0.048385
0.22163	-0.048405
0.22095	-0.048405
0.22159	-0.048445
0.22163	-0.048464
0.22194	-0.048464
0.22121	-0.048464
0.22128	-0.048464
0.22044	-0.048464
0.21939	-0.048464
0.21992	-0.048464
0.2193	-0.048484
0.21939	-0.048484
0.21793	-0.048504
0.21802	-0.048504
0.21712	-0.048504
0.21786	-0.048504
0.21748	-0.048504
0.21849	-0.048504
0.21837	-0.048504
0.2191	-0.048524
0.21794	-0.048543
0.21935	-0.048662
0.21495	-0.04949
0.21149	-0.049746
0.21159	-0.049806
0.21124	-0.049845
0.21065	-0.049885
0.20799	-0.050338
0.20624	-0.051029
0.20596	-0.051798
0.20773	-0.052291
0.20982	-0.052764
0.2149	-0.053455
0.21669	-0.053987
0.21536	-0.054342
0.21295	-0.054638
0.21089	-0.054875
0.20744	-0.05523
0.20219	-0.055782
0.19815	-0.056315
0.19714	-0.056414
0.19731	-0.056414
0.19681	-0.056433
0.19669	-0.056453
0.19588	-0.056473
0.19594	-0.056512
0.19632	-0.056532
0.19566	-0.056571
0.19354	-0.057341
0.19063	-0.05811
0.18912	-0.058406
0.18883	-0.058564
0.18854	-0.059017
0.18633	-0.059491
0.18642	-0.05957
0.186	-0.059648
0.1846	-0.060063
0.18289	-0.060418
0.18251	-0.060852
0.18005	-0.061483
0.17839	-0.062292
0.1779	-0.062824
0.17813	-0.063021
0.17793	-0.0631
0.17796	-0.063179
0.17813	-0.063396
0.17879	-0.063771
0.179	-0.064067
0.17995	-0.064343
0.18109	-0.064737
0.18274	-0.065231
0.18401	-0.065507
0.1853	-0.065783
0.18736	-0.066079
0.1911	-0.066572
0.19386	-0.066887
0.19577	-0.066947
0.19641	-0.067026
0.19734	-0.067065
0.19672	-0.067065
0.19693	-0.067085
0.19781	-0.067124
0.19753	-0.067144
0.19858	-0.067164
0.2003	-0.067262
0.20511	-0.067775
0.21748	-0.068209
0.22156	-0.068446
0.22357	-0.068564
0.23141	-0.068801
0.24736	-0.069393
0.2668	-0.069925
0.27811	-0.070221
0.28728	-0.070379
0.2972	-0.070576
0.31404	-0.071069
0.33583	-0.072036
0.35237	-0.072647
0.35834	-0.072884
0.35844	-0.072904
0.3586	-0.072904
0.35954	-0.072904
0.35966	-0.072923
0.36057	-0.072923
0.36197	-0.073002
0.36267	-0.073042
0.3631	-0.073042
0.36386	-0.073042
0.36302	-0.073042
0.36375	-0.073042
0.3636	-0.073061
0.36382	-0.073061
0.36368	-0.073061
0.36304	-0.073061
0.36357	-0.073061
0.3633	-0.073061
0.36336	-0.073061
0.36348	-0.073061
0.36447	-0.073061
0.3642	-0.073061
0.36461	-0.073061
0.36459	-0.073061
0.36517	-0.073061
0.36554	-0.073081
0.36562	-0.073081
0.36674	-0.073121
0.37251	-0.073693
0.38341	-0.074245
0.38965	-0.074501
0.39494	-0.074916
0.42381	-0.075922
0.43581	-0.076553
0.43446	-0.076553
0.43498	-0.076572
0.43607	-0.076592
0.43816	-0.076612
0.43753	-0.076632
0.43935	-0.076651
0.44049	-0.076711
