Time (s) rumore_abientale_1.5_candela	Light Intensity (% of scale max) rumore_abientale_1.5_candela
12.24	1.16159
12.28	1.17868
12.32	1.19212
12.36	1.23177
12.4	1.23152
12.44	1.21948
12.48	1.17874
12.52	1.16714
12.56	1.18008
12.6	1.19623
12.64	1.21346
12.68	1.25281
12.72	1.26505
12.76	1.2477
12.8	1.20889
12.84	1.18886
12.88	1.19873
12.92	1.21045
12.96	1.23145
13.0	1.26218
13.04	1.28467
13.08	1.27863
13.12	1.25401
13.16	1.21066
13.2	1.20897
13.24	1.22531
13.28	1.24623
13.32	1.27014
13.36	1.29572
13.4	1.29173
13.44	1.27191
13.48	1.22163
13.52	1.21614
13.56	1.23132
13.6	1.25058
13.64	1.27144
13.68	1.30167
13.72	1.3071
13.76	1.28951
13.8	1.24443
13.84	1.23528
13.88	1.24768
13.92	1.26869
13.96	1.29318
14.0	1.32344
14.04	1.32797
14.08	1.31194
14.12	1.26422
14.16	1.25075
14.2	1.26414
14.24	1.28247
14.28	1.30417
14.32	1.33183
14.36	1.34097
14.4	1.32555
14.44	1.27246
14.48	1.25206
14.52	1.25542
14.56	1.269
14.6	1.2886
14.64	1.31775
14.68	1.33116
14.72	1.31546
14.76	1.2917
14.8	1.24539
14.84	1.24841
14.88	1.26166
14.92	1.28088
14.96	1.30711
15.0	1.32231
15.04	1.31149
15.08	1.27876
15.12	1.23048
15.16	1.23253
15.2	1.244
15.24	1.26291
15.28	1.2858
15.32	1.30281
15.36	1.28679
15.4	1.25653
15.44	1.21002
15.48	1.20639
15.52	1.21884
15.56	1.23576
15.6	1.2598
15.64	1.28365
15.68	1.28362
15.72	1.26181
15.76	1.22707
15.8	1.22238
15.84	1.2363
15.88	1.25665
15.92	1.2776
15.96	1.30649
16.0	1.30754
16.04	1.28922
16.08	1.25124
16.12	1.23593
16.16	1.24904
16.2	1.27075
16.24	1.29579
16.28	1.32756
16.32	1.33443
16.36	1.31741
16.4	1.2872
16.44	1.2525
16.48	1.26012
16.52	1.27707
16.56	1.29788
16.6	1.32764
16.64	1.33591
16.68	1.32204
16.72	1.29437
16.76	1.25758
16.8	1.2677
16.84	1.28589
16.88	1.30878
16.92	1.34018
16.96	1.35361
17.0	1.34007
17.04	1.3168
17.08	1.2757
17.12	1.2861
17.16	1.30327
17.2	1.32652
17.24	1.35457
17.28	1.36966
17.32	1.36052
17.36	1.3293
17.4	1.28732
17.44	1.29266
17.48	1.30827
17.52	1.32939
17.56	1.35661
17.6	1.37775
17.64	1.3656
17.68	1.34296
17.72	1.29144
17.76	1.28955
17.8	1.30319
17.84	1.32312
17.88	1.34575
17.92	1.36789
17.96	1.35594
18.0	1.33211
18.04	1.27849
18.08	1.27803
18.12	1.28923
18.16	1.30913
18.2	1.33295
18.24	1.35638
18.28	1.34926
18.32	1.32428
18.36	1.27547
18.4	1.26848
18.44	1.28369
18.48	1.30313
18.52	1.32564
18.56	1.35339
18.6	1.35109
18.64	1.32814
18.68	1.29971
18.72	1.26698
18.76	1.27853
18.8	1.29485
18.84	1.31526
18.88	1.34462
18.92	1.34624
18.96	1.32866
19.0	1.2925
19.04	1.26126
19.08	1.27208
19.12	1.2894
19.16	1.30968
19.2	1.33815
19.24	1.34509
19.28	1.32953
19.32	1.29842
19.36	1.26355
19.4	1.27109
19.44	1.28822
19.48	1.31145
