Light Intensity (% of scale max) Alessio_0.16_1.5_lampadina	Position (m) Alessio_0.16_1.5_lampadina
0.0401	-0.042843
0.03949	-0.042843
0.03946	-0.042882
0.03975	-0.042902
0.04027	-0.042902
0.04021	-0.043099
0.04454	-0.043671
0.04561	-0.043908
0.04477	-0.044125
0.04286	-0.04444
0.0408	-0.044776
0.03746	-0.04519
0.03636	-0.045407
0.03523	-0.045801
0.03618	-0.046334
0.03711	-0.046413
0.0378	-0.046531
0.03943	-0.046768
0.04129	-0.046965
0.04381	-0.047182
0.04689	-0.047596
0.04697	-0.047932
0.04697	-0.048168
0.04651	-0.048287
0.04584	-0.048287
0.04602	-0.048287
0.04558	-0.048287
0.0457	-0.048208
0.04587	-0.048208
0.04616	-0.048208
0.0462	-0.048208
0.04651	-0.048208
0.04636	-0.048208
0.04626	-0.048208
0.04671	-0.048208
0.04655	-0.048228
0.04654	-0.048287
0.04628	-0.048307
0.04024	-0.048997
0.03714	-0.04951
0.03673	-0.049707
0.03767	-0.050003
0.03873	-0.05022
0.04149	-0.050476
0.04378	-0.050693
0.04562	-0.05091
0.04776	-0.051147
0.04874	-0.051324
0.04973	-0.051561
0.05031	-0.051778
0.04987	-0.051916
0.04907	-0.052173
0.04829	-0.05235
0.04636	-0.052528
0.04237	-0.053001
0.04028	-0.053277
0.03955	-0.053494
0.03934	-0.053672
0.03955	-0.053869
0.04019	-0.053987
0.04013	-0.053987
0.04044	-0.053968
0.04019	-0.053908
0.03998	-0.053908
0.04008	-0.053908
0.04034	-0.053908
0.04015	-0.053908
0.03976	-0.053908
0.03979	-0.053908
0.03983	-0.053948
0.03986	-0.053987
0.03964	-0.053987
0.04016	-0.053987
0.04021	-0.054047
0.04317	-0.054303
0.04442	-0.054461
0.04712	-0.054638
0.05087	-0.055033
0.05231	-0.055388
0.05243	-0.055782
0.05022	-0.056118
0.04625	-0.056512
0.04605	-0.056532
0.04416	-0.05669
0.04185	-0.056907
0.04134	-0.056926
0.0399	-0.057104
0.03891	-0.05738
0.03885	-0.057597
0.04134	-0.05807
0.04564	-0.058366
0.04984	-0.058603
0.05594	-0.058958
0.0576	-0.059136
0.05914	-0.059254
0.05911	-0.059254
0.05911	-0.059254
0.05841	-0.059195
0.05867	-0.059195
0.05838	-0.059195
0.05881	-0.059195
0.05858	-0.059195
0.05862	-0.059195
0.05847	-0.059195
0.05902	-0.059195
0.05856	-0.059234
0.05869	-0.059254
0.05966	-0.05957
0.05746	-0.060142
0.05267	-0.060516
0.04991	-0.060792
0.04893	-0.060891
0.04784	-0.061226
0.04915	-0.061384
0.05121	-0.061601
0.05795	-0.062055
0.06274	-0.062272
0.06633	-0.062449
0.06908	-0.062647
0.07263	-0.062844
0.07495	-0.0631
0.07542	-0.063199
0.07623	-0.063278
0.07535	-0.063455
0.07318	-0.063692
0.06932	-0.063948
0.0666	-0.064106
0.06516	-0.064146
0.06363	-0.064264
0.06335	-0.064264
0.06322	-0.064244
