Time (s) rumore_di_fondo_lampadina	Light Intensity (% of scale max) rumore_di_fondo_lampadina
12.24	0.04395
12.28	0.04433
12.32	0.04408
12.36	0.04407
12.4	0.0442
12.44	0.04416
12.48	0.0443
12.52	0.04388
12.56	0.04393
12.6	0.0439
12.64	0.04352
12.68	0.04395
12.72	0.04396
12.76	0.0444
12.8	0.04361
12.84	0.04358
12.88	0.04369
12.92	0.04366
12.96	0.04346
13.0	0.04337
13.04	0.04344
13.08	0.04343
13.12	0.04352
13.16	0.04305
13.2	0.04298
13.24	0.04327
13.28	0.04291
13.32	0.04315
13.36	0.04292
13.4	0.04358
13.44	0.04337
13.48	0.04312
13.52	0.04274
13.56	0.04263
13.6	0.04283
13.64	0.04295
13.68	0.04292
13.72	0.04312
13.76	0.04292
13.8	0.0434
13.84	0.04305
13.88	0.04297
13.92	0.04294
13.96	0.04301
14.0	0.0433
14.04	0.04305
14.08	0.043
14.12	0.04326
14.16	0.04309
14.2	0.04294
14.24	0.04305
14.28	0.04332
14.32	0.04311
14.36	0.04352
14.4	0.04289
14.44	0.04269
14.48	0.04297
14.52	0.04308
14.56	0.04356
14.6	0.04314
14.64	0.04332
14.68	0.04297
14.72	0.04315
14.76	0.04321
14.8	0.04285
14.84	0.04312
14.88	0.04338
14.92	0.04297
14.96	0.04312
15.0	0.04285
15.04	0.04321
15.08	0.04268
15.12	0.04253
15.16	0.04303
15.2	0.04326
15.24	0.04309
15.28	0.04326
15.32	0.04315
15.36	0.04294
15.4	0.04309
15.44	0.04312
15.48	0.04303
15.52	0.04306
15.56	0.04332
15.6	0.04317
15.64	0.04306
15.68	0.04332
15.72	0.04367
15.76	0.04323
15.8	0.04326
15.84	0.04306
15.88	0.04301
15.92	0.04297
15.96	0.04317
16.0	0.04337
16.04	0.0432
16.08	0.04312
16.12	0.04315
16.16	0.0433
16.2	0.04333
16.24	0.04289
16.28	0.04349
16.32	0.04305
16.36	0.04308
16.4	0.04292
16.44	0.04288
16.48	0.04282
16.52	0.04329
16.56	0.04288
16.6	0.04324
16.64	0.0433
16.68	0.04279
16.72	0.04305
16.76	0.04326
16.8	0.0434
16.84	0.0432
16.88	0.04338
16.92	0.04309
16.96	0.04366
17.0	0.04366
17.04	0.04358
17.08	0.04346
17.12	0.04353
17.16	0.04349
17.2	0.04382
17.24	0.04306
17.28	0.04349
17.32	0.04318
17.36	0.04276
17.4	0.04306
17.44	0.04333
17.48	0.04314
17.52	0.04317
17.56	0.04337
17.6	0.04306
17.64	0.04314
17.68	0.04361
17.72	0.04355
17.76	0.04364
17.8	0.04344
17.84	0.04369
17.88	0.04358
17.92	0.04314
17.96	0.04318
18.0	0.04353
18.04	0.04327
18.08	0.04318
18.12	0.04324
18.16	0.04349
18.2	0.04321
18.24	0.04329
18.28	0.04333
18.32	0.04333
18.36	0.04321
18.4	0.04346
18.44	0.0432
18.48	0.04359
18.52	0.04306
18.56	0.04344
18.6	0.04337
18.64	0.04337
18.68	0.04375
18.72	0.04378
18.76	0.04366
18.8	0.04366
18.84	0.04366
18.88	0.04402
18.92	0.04346
18.96	0.04364
19.0	0.0437
19.04	0.04375
19.08	0.04396
19.12	0.04378
19.16	0.04353
19.2	0.04352
19.24	0.04366
19.28	0.04396
19.32	0.04393
19.36	0.04388
19.4	0.04434
19.44	0.04376
19.48	0.0441
19.52	0.04434
19.56	0.04407
19.6	0.04384
19.64	0.04416
19.68	0.04384
19.72	0.04427
19.76	0.04395
19.8	0.04414
19.84	0.04387
19.88	0.04431
19.92	0.04385
19.96	0.04405
20.0	0.04373
20.04	0.04372
20.08	0.04408
20.12	0.04358
20.16	0.04362
20.2	0.04391
20.24	0.04387
20.28	0.04362
20.32	0.0437
20.36	0.04355
20.4	0.04366
20.44	0.04375
20.48	0.04301
20.52	0.04337
20.56	0.04355
20.6	0.04344
20.64	0.04349
20.68	0.0432
20.72	0.04327
20.76	0.04369
20.8	0.04344
20.84	0.04353
20.88	0.0434
20.92	0.0432
20.96	0.04366
21.0	0.04402
21.04	0.04346
21.08	0.04335
21.12	0.04355
21.16	0.04352
21.2	0.04343
21.24	0.04312
21.28	0.04327
21.32	0.04372
