Light Intensity (% of scale max) Alessio_0.04_1.0_lampada	Position (m) Alessio_0.04_1.0_lampada
0.03868	-0.04016
0.03862	-0.04018
0.03961	-0.040456
0.0397	-0.040811
0.04031	-0.040929
0.03979	-0.041245
0.03944	-0.041442
0.03931	-0.041462
0.03926	-0.041482
0.03922	-0.041482
0.03897	-0.041442
0.03877	-0.041442
0.03897	-0.041442
0.03909	-0.041442
0.03873	-0.041442
0.03912	-0.041442
0.03926	-0.041442
0.03879	-0.041442
0.03929	-0.041482
0.039	-0.041482
0.03864	-0.041699
0.03658	-0.042547
0.03551	-0.04302
0.03568	-0.043217
0.03545	-0.043513
0.03543	-0.043671
0.03558	-0.043967
0.03537	-0.044421
0.03519	-0.044717
0.03557	-0.044953
0.03534	-0.045091
0.03531	-0.045249
0.03471	-0.045565
0.03419	-0.045782
0.034	-0.045821
0.03418	-0.045821
0.03398	-0.045742
0.03453	-0.045742
0.03436	-0.045742
0.03448	-0.045742
0.03429	-0.045742
0.03438	-0.045742
0.0345	-0.045742
0.03418	-0.045742
0.03412	-0.045801
0.03398	-0.045801
0.03412	-0.045821
0.03412	-0.045841
0.03331	-0.046275
0.03284	-0.046709
0.0321	-0.046788
0.03212	-0.047044
0.03159	-0.047301
0.0313	-0.047596
0.03136	-0.047991
0.03134	-0.048129
0.03131	-0.048366
0.03111	-0.04878
0.03137	-0.048918
0.03146	-0.049155
0.03172	-0.04951
0.03235	-0.049707
0.03322	-0.050042
0.03329	-0.050161
0.0336	-0.050161
0.03358	-0.050141
0.0336	-0.050082
0.03368	-0.050082
0.03372	-0.050082
0.0336	-0.050082
0.03322	-0.050082
0.03339	-0.050082
0.03378	-0.050082
0.0336	-0.050141
0.03391	-0.050141
0.03383	-0.050161
0.03513	-0.050535
0.03729	-0.051167
0.03784	-0.051324
0.03783	-0.051443
0.03864	-0.05164
0.03932	-0.051936
0.03995	-0.052311
0.0397	-0.052429
0.03976	-0.052666
0.04034	-0.05306
0.04073	-0.053159
0.04092	-0.053553
0.04147	-0.053968
0.0426	-0.054283
0.0442	-0.054619
0.04517	-0.054717
0.04463	-0.054717
0.04457	-0.054638
0.04434	-0.054638
0.0442	-0.054638
0.0444	-0.054638
0.04436	-0.054638
0.04445	-0.054638
0.04462	-0.054638
0.04486	-0.054697
0.04483	-0.054697
0.04419	-0.054717
0.04572	-0.054914
0.04936	-0.055684
0.05231	-0.05598
0.05428	-0.056078
0.05678	-0.056414
0.05716	-0.056532
0.05803	-0.056788
0.05856	-0.057005
0.05943	-0.057222
0.05841	-0.057538
0.05719	-0.057932
0.05569	-0.058208
0.05409	-0.058445
0.05348	-0.058564
0.05324	-0.058583
0.05214	-0.058741
0.05127	-0.058859
0.04996	-0.058997
0.04773	-0.059313
0.04726	-0.059431
0.04694	-0.059431
0.04628	-0.059372
0.04604	-0.059372
0.04628	-0.059372
0.04626	-0.059372
0.04625	-0.059372
0.04686	-0.059372
0.04733	-0.059412
0.04701	-0.059431
0.04695	-0.059431
0.04721	-0.059431
0.04581	-0.059609
0.04321	-0.060003
0.04248	-0.060181
0.04073	-0.060497
0.03931	-0.060812
0.03853	-0.061049
0.03687	-0.061364
0.03653	-0.061641
0.03564	-0.061818
0.03497	-0.062134
0.03499	-0.062213
0.03394	-0.06239
0.03307	-0.062765
0.03273	-0.062942
0.03172	-0.063258
0.03154	-0.063416
0.03143	-0.063416
0.03148	-0.063396
0.03113	-0.063376
0.03156	-0.063357
0.0311	-0.063376
0.03117	-0.063376
0.03117	-0.063376
0.03114	-0.063376
0.03162	-0.063376
0.03113	-0.063376
0.03131	-0.063396
0.03105	-0.063396
0.03154	-0.063416
0.03148	-0.063613
0.03145	-0.064185
0.03139	-0.064442
0.03255	-0.064639
0.03357	-0.064915
0.03558	-0.065309
0.03719	-0.065586
0.03835	-0.065704
0.04056	-0.06598
0.04239	-0.066276
0.04413	-0.066473
0.04637	-0.066651
0.04718	-0.066789
0.04929	-0.067065
0.05176	-0.067282
0.05258	-0.067302
0.05235	-0.067302
0.05183	-0.067302
0.05199	-0.067302
0.0513	-0.067302
0.05231	-0.067302
0.05225	-0.067302
0.05217	-0.067302
0.0519	-0.067302
0.05211	-0.067302
0.05266	-0.067302
0.05269	-0.067302
0.05284	-0.067302
0.05255	-0.067321
0.05501	-0.067558
0.05734	-0.067795
0.05756	-0.067854
0.05998	-0.06811
0.06107	-0.068308
0.06332	-0.068544
0.06868	-0.068998
0.07249	-0.069333
0.07784	-0.069787
0.0797	-0.069827
0.08174	-0.070004
0.08568	-0.07032
0.0869	-0.070379
0.08888	-0.070556
0.09248	-0.070832
0.09402	-0.070892
0.09608	-0.071049
0.09511	-0.071049
0.09476	-0.07103
0.09453	-0.07103
0.09418	-0.07101
0.09233	-0.07101
0.09341	-0.07101
0.0937	-0.07101
0.09421	-0.07101
0.09442	-0.07101
0.09491	-0.07101
0.0943	-0.07101
0.0936	-0.07103
0.09373	-0.07103
0.09375	-0.071049
0.09583	-0.071227
0.09975	-0.071582
0.10094	-0.071602
0.10269	-0.07172
0.10669	-0.071957
0.11023	-0.072233
0.1181	-0.072766
0.12341	-0.073101
0.12541	-0.073199
0.12872	-0.073535
0.13029	-0.073633
0.13074	-0.073831
0.13162	-0.074205
