Light Intensity (% of scale max) Alessio_0.16_0.5_lampadina	Position (m) Alessio_0.16_0.5_lampadina
0.0000000000	-0.0238000000
0.0000000000	-0.0240000000
0.0000000000	-0.0244000000
0.0000000000	-0.0247000000
0.0000000000	-0.0248000000
0.0000000000	-0.0251000000
0.0000000000	-0.0255000000
0.0000000000	-0.0256000000
0.0000000000	-0.0259000000
0.0000000000	-0.0261000000
0.0000000000	-0.0262000000
0.0000000000	-0.0264000000
0.0000000000	-0.0266000000
0.0000000000	-0.0266000000
0.0000000000	-0.0266000000
0.0000000000	-0.0268000000
0.0000000000	-0.0271000000
0.0000000000	-0.0271000000
0.0000000000	-0.0273000000
0.0000000000	-0.0275000000
0.0000000000	-0.0277000000
0.0000000000	-0.0281000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0282000000
0.0000000000	-0.0283000000
0.0000000000	-0.0289000000
0.0000000000	-0.0293000000
0.0000000000	-0.0294000000
0.0000000000	-0.0297000000
0.0000000000	-0.0298000000
0.0000000000	-0.0299000000
0.0000000000	-0.0301000000
0.0000000000	-0.0302000000
0.0000000000	-0.0305000000
0.0000000000	-0.0308000000
0.0000000000	-0.0311000000
0.0000000000	-0.0312000000
0.0000000000	-0.0315000000
0.0000000000	-0.0318000000
0.0000000000	-0.0322000000
0.0000000000	-0.0323000000
0.0000000000	-0.0325000000
0.0000000000	-0.0328000000
0.0000000000	-0.0328000000
0.0000000000	-0.0331000000
0.0000000000	-0.0332000000
0.0000000000	-0.0332000000
0.0000000000	-0.0332000000
0.0000000000	-0.0331000000
0.0000000000	-0.0331000000
0.0000000000	-0.0331000000
0.0000000000	-0.0331000000
0.0000000000	-0.0331000000
0.0000000000	-0.0331000000
0.0000000000	-0.0331000000
0.0000000000	-0.0331000000
0.0000000000	-0.0332000000
0.0000000000	-0.0332000000
