Light Intensity (% of scale max) Alessio_doubleslit_0.08_0.5_1.5_lampadina	Position (m) Alessio_doubleslit_0.08_0.5_1.5_lampadina
0.08328	-0.036038
0.08281	-0.036018
0.08302	-0.036018
0.08325	-0.036018
0.08339	-0.036018
0.08295	-0.036018
0.08319	-0.036018
0.08325	-0.036077
0.08371	-0.036077
0.08211	-0.036255
0.08214	-0.036984
0.08176	-0.03732
0.07172	-0.037773
0.06998	-0.037852
0.06862	-0.03805
0.05312	-0.038523
0.04535	-0.038779
0.04237	-0.039154
0.04073	-0.039391
0.0406	-0.039391
0.04033	-0.039351
0.04044	-0.039351
0.04063	-0.039351
0.04054	-0.039351
0.04028	-0.039351
0.04044	-0.039351
0.04031	-0.039351
0.04048	-0.039371
0.04016	-0.039391
0.04077	-0.039391
0.04013	-0.03943
0.04131	-0.039844
0.04623	-0.040456
0.06189	-0.040791
0.08147	-0.041127
0.08298	-0.041324
0.08534	-0.041659
0.10689	-0.042073
0.11356	-0.042211
0.11441	-0.042251
0.11453	-0.042251
0.11441	-0.042211
0.11433	-0.042192
0.11447	-0.042192
0.11552	-0.042192
0.11598	-0.042192
0.11517	-0.042192
0.11493	-0.042211
0.11444	-0.042251
0.1147	-0.042251
0.11516	-0.04229
0.11201	-0.042645
0.10669	-0.04306
0.10873	-0.043454
0.09848	-0.043809
0.08994	-0.044125
0.0914	-0.044519
0.0891	-0.044934
0.07719	-0.045289
0.0735	-0.045486
0.07396	-0.045486
0.07384	-0.045486
0.07376	-0.045407
0.07382	-0.045407
0.07364	-0.045407
0.07356	-0.045407
0.07359	-0.045407
0.0737	-0.045407
0.07361	-0.045486
0.07382	-0.045486
0.07388	-0.045584
0.05875	-0.046235
0.04959	-0.046433
0.04695	-0.046827
0.04521	-0.047202
0.04367	-0.047636
0.04468	-0.048149
0.0598	-0.048543
0.06462	-0.048602
0.06497	-0.048602
0.06516	-0.048523
0.06477	-0.048523
0.06468	-0.048523
0.06485	-0.048523
0.06532	-0.048523
0.06497	-0.048523
0.06526	-0.048523
0.0641	-0.048602
0.06398	-0.048602
0.06488	-0.048622
0.07202	-0.049194
0.11322	-0.049806
0.13937	-0.050042
0.13908	-0.050279
0.13611	-0.050318
0.13811	-0.050457
0.1524	-0.050674
0.15848	-0.050733
0.1617	-0.050752
0.16255	-0.050752
0.16171	-0.050713
0.15984	-0.050674
0.16078	-0.050674
0.16069	-0.050674
0.16116	-0.050674
0.16135	-0.050674
0.15997	-0.050752
0.15955	-0.050752
0.15892	-0.050752
0.18307	-0.051127
0.15794	-0.05162
0.15952	-0.051956
0.11714	-0.052547
0.09486	-0.052863
0.09026	-0.053257
0.07777	-0.053553
0.07713	-0.053573
0.07738	-0.053573
0.07751	-0.053494
0.07768	-0.053494
0.07756	-0.053494
0.07741	-0.053494
0.07729	-0.053494
0.07742	-0.053494
0.0775	-0.053494
0.07806	-0.053494
0.07834	-0.053494
0.07797	-0.053514
0.07834	-0.053553
0.07816	-0.053573
0.07817	-0.053573
0.06151	-0.05379
0.04994	-0.054185
0.04927	-0.054342
