Light Intensity (% of scale max) Alessio_0.02_1.5_lampadina	Position (m) Alessio_0.02_1.5_lampadina
0.03751	0.0
0.03798	0.0
0.03821	0.0
0.03796	0.0
0.03819	0.0
0.03815	0.0
0.03786	0.0
0.03809	0.0
0.03816	0.0
0.03802	0.0
0.03798	0.0
0.03851	0.0
0.03812	0.0
0.03795	0.0
0.03763	0.0
0.03777	-1.9725e-05
0.03758	-1.9725e-05
0.03757	-1.9725e-05
0.03717	-1.9725e-05
0.03709	-1.9725e-05
0.03671	-1.9725e-05
0.03696	-1.9725e-05
0.03683	-1.9725e-05
0.03648	-3.945e-05
0.03667	-3.945e-05
0.03609	-3.945e-05
0.0363	-3.945e-05
0.03632	-3.945e-05
0.0358	-3.945e-05
0.03571	-3.945e-05
0.03513	-5.9175e-05
0.03543	-0.0001578
0.0352	-0.0009468
0.03561	-0.001026
0.03514	-0.001026
0.03535	-0.001144
0.03488	-0.001479
0.03529	-0.001992
0.0358	-0.002446
0.03581	-0.002485
0.03592	-0.002584
0.03589	-0.002702
0.03555	-0.002722
0.03575	-0.002978
0.03589	-0.003373
0.03581	-0.003807
0.03676	-0.004142
0.03685	-0.004339
0.03752	-0.004635
0.03816	-0.004931
0.0381	-0.005227
0.03772	-0.00574
0.03754	-0.005799
0.03773	-0.005779
0.03741	-0.00572
0.0378	-0.00572
0.03761	-0.00572
0.03793	-0.00572
0.0378	-0.00572
0.03772	-0.00572
0.03781	-0.00572
0.03741	-0.00572
0.03735	-0.00574
0.0372	-0.005779
0.03748	-0.005858
0.03732	-0.006115
0.03752	-0.006351
0.03778	-0.006746
0.0385	-0.007121
0.03958	-0.007456
0.04056	-0.007811
0.04066	-0.007831
0.04033	-0.007851
0.04077	-0.008028
0.04047	-0.008127
0.04053	-0.008324
0.04013	-0.008659
0.03998	-0.009093
0.03979	-0.009271
0.04013	-0.009488
0.04062	-0.009626
0.04253	-0.01006
0.04419	-0.01075
0.04329	-0.011105
0.04346	-0.011204
0.04335	-0.011184
0.04309	-0.011184
0.04378	-0.010947
0.04381	-0.010928
0.04375	-0.010928
0.04324	-0.010928
0.04338	-0.010928
0.04338	-0.010928
0.04367	-0.010928
0.04332	-0.010928
0.04385	-0.010947
0.04356	-0.010967
0.04305	-0.011184
0.04201	-0.011717
0.04185	-0.01219
0.04181	-0.012229
0.04208	-0.012387
0.04428	-0.012841
0.04671	-0.013235
0.04712	-0.013492
0.04671	-0.013886
0.0459	-0.014182
0.04504	-0.01434
0.04388	-0.014656
0.04453	-0.014833
0.04411	-0.014912
0.04416	-0.015188
0.04547	-0.015543
0.0459	-0.015602
0.04665	-0.015741
0.04747	-0.015918
0.04823	-0.016253
0.04878	-0.016766
0.04762	-0.017003
0.04752	-0.017003
0.04755	-0.016983
0.04811	-0.016806
0.04895	-0.016806
0.04871	-0.016806
0.04845	-0.016806
0.04861	-0.016806
0.04883	-0.016806
0.04848	-0.016806
0.04846	-0.016806
0.049	-0.016806
0.04903	-0.016806
0.04886	-0.016865
0.04883	-0.017003
0.04855	-0.017082
0.04695	-0.017476
0.04555	-0.017969
0.04555	-0.018147
0.04573	-0.018344
0.04727	-0.018877
0.04781	-0.019074
0.04802	-0.019192
0.04851	-0.019449
0.04872	-0.019607
0.04828	-0.019863
0.04672	-0.020179
0.04597	-0.020376
0.04462	-0.020731
0.04388	-0.021066
0.04398	-0.021283
0.04387	-0.021481
0.04382	-0.021678
0.04399	-0.021697
0.04396	-0.021697
0.04419	-0.021697
0.04395	-0.021678
0.04404	-0.021638
0.0442	-0.021658
0.04362	-0.021658
0.04353	-0.021658
0.04404	-0.021658
0.04385	-0.021638
0.04422	-0.021658
0.04379	-0.021658
0.04399	-0.021678
0.04453	-0.022072
0.04568	-0.022546
0.04538	-0.022565
0.04553	-0.022802
0.04466	-0.023137
0.04315	-0.023453
0.04185	-0.023867
0.04187	-0.024183
0.04091	-0.024498
0.04024	-0.024775
0.04024	-0.025051
0.04036	-0.025445
0.04027	-0.025781
0.04091	-0.025958
0.03999	-0.026136
0.04024	-0.026195
0.04002	-0.026215
0.03986	-0.026234
0.03944	-0.026471
0.03918	-0.026767
0.03908	-0.027004
0.03873	-0.027161
0.0383	-0.027398
0.03769	-0.027753
0.03769	-0.027891
0.03777	-0.027891
0.0376	-0.027871
0.0374	-0.027595
0.03757	-0.02724
0.03758	-0.02724
0.03784	-0.027299
0.03772	-0.027299
0.03767	-0.02728
0.03725	-0.02728
0.03725	-0.02728
0.03719	-0.027319
0.0369	-0.027418
0.03671	-0.027812
0.03635	-0.028562
0.0363	-0.028877
0.03615	-0.029075
0.03586	-0.029351
0.03606	-0.029528
0.03622	-0.029706
0.03603	-0.029903
0.03607	-0.03014
0.03613	-0.030357
0.03609	-0.030574
0.0359	-0.030751
0.03609	-0.031047
0.03621	-0.031481
0.03641	-0.031777
0.0365	-0.031836
0.03659	-0.032014
0.03682	-0.03231
0.03743	-0.032369
0.03714	-0.032388
0.03748	-0.032487
0.03775	-0.032586
0.03769	-0.032625
0.03766	-0.032625
0.03767	-0.032586
0.03755	-0.032388
0.03738	-0.03231
0.03777	-0.03231
0.03761	-0.032349
0.03755	-0.032329
0.03738	-0.03231
0.03732	-0.03231
0.03755	-0.03231
0.03738	-0.032349
0.03732	-0.032369
0.03775	-0.032467
0.03793	-0.032744
0.039	-0.033316
0.03979	-0.033592
0.04005	-0.033611
0.04018	-0.03373
0.04086	-0.034085
0.04112	-0.034243
0.04121	-0.03442
0.04155	-0.034815
0.04166	-0.034992
0.04187	-0.03517
0.04236	-0.035347
0.04218	-0.035406
0.04236	-0.035525
0.04225	-0.035643
0.04266	-0.035702
0.04314	-0.03588
0.04343	-0.035939
0.04384	-0.036018
0.04572	-0.036373
0.04575	-0.036412
0.04646	-0.036491
0.0482	-0.036767
0.04959	-0.036925
0.05058	-0.037044
0.05118	-0.037182
0.05331	-0.037399
0.05444	-0.037596
0.05521	-0.037694
0.0554	-0.037675
0.05507	-0.037596
0.05429	-0.0373
0.0535	-0.037261
0.05392	-0.037261
0.05365	-0.0373
0.05345	-0.037261
0.05284	-0.037261
0.05354	-0.037122
0.05446	-0.037122
0.05453	-0.037201
0.05446	-0.037221
0.05212	-0.037359
0.05377	-0.037616
0.05569	-0.038227
0.05539	-0.038641
0.05486	-0.03874
0.05443	-0.038996
0.05394	-0.039391
0.05377	-0.03945
0.05354	-0.039588
0.05461	-0.039845
0.05466	-0.039943
0.05556	-0.04018
0.05826	-0.040634
0.06073	-0.040811
0.06133	-0.04085
0.0631	-0.041048
0.06587	-0.041186
0.0676	-0.041304
0.06961	-0.041403
0.06949	-0.041442
0.07242	-0.041699
0.07605	-0.042054
0.07741	-0.042192
0.07767	-0.042428
0.07695	-0.042645
0.07671	-0.042665
0.07668	-0.042705
0.07642	-0.042705
0.07629	-0.042645
0.07623	-0.042586
0.07608	-0.04235
0.07668	-0.04235
0.07683	-0.04235
0.07709	-0.04235
0.07684	-0.04235
0.07677	-0.04235
0.07657	-0.04235
0.07675	-0.042389
0.07635	-0.042409
0.07607	-0.042488
0.07571	-0.042744
0.07301	-0.043277
0.07059	-0.043553
0.07048	-0.043612
0.06969	-0.043829
0.06857	-0.043967
0.06833	-0.044145
0.06841	-0.044559
0.06969	-0.044815
0.07103	-0.045072
0.07265	-0.045249
0.07469	-0.045387
0.0775	-0.045584
0.08206	-0.045841
0.08516	-0.045979
0.08913	-0.046235
0.09523	-0.046531
0.09695	-0.046709
0.09848	-0.046847
0.09846	-0.046946
0.09891	-0.047123
0.09863	-0.047261
0.09772	-0.047478
0.09616	-0.047675
0.09375	-0.047873
0.09189	-0.047971
0.09166	-0.047971
0.09102	-0.047892
0.09032	-0.047873
0.09102	-0.047774
0.09126	-0.047754
0.09174	-0.047754
0.09178	-0.047754
0.09174	-0.047754
0.09129	-0.047754
0.09171	-0.047754
0.0916	-0.047774
0.09169	-0.047853
0.09189	-0.047892
0.09039	-0.04809
0.0817	-0.048721
0.0777	-0.049096
0.07687	-0.049155
0.07614	-0.049431
0.07538	-0.04951
0.07555	-0.049628
0.07494	-0.049924
0.07558	-0.05022
0.07773	-0.050516
0.07973	-0.050733
0.08185	-0.050969
0.08434	-0.051167
0.0872	-0.051423
0.08934	-0.05164
0.09105	-0.051818
0.09164	-0.051995
0.09245	-0.052113
0.09224	-0.052252
0.09184	-0.05239
0.09151	-0.052469
0.09122	-0.052587
0.08972	-0.052745
0.08783	-0.052883
0.08522	-0.053119
0.08366	-0.053238
0.08255	-0.053277
0.08244	-0.053277
0.08092	-0.053218
0.08316	-0.053001
0.08621	-0.052764
0.08641	-0.052784
0.08623	-0.052824
0.08669	-0.052824
0.08612	-0.052784
0.08614	-0.052764
0.08675	-0.052764
0.0865	-0.052784
0.08708	-0.052824
0.08589	-0.052962
0.0827	-0.053258
0.07309	-0.053869
0.06836	-0.054244
0.06682	-0.054382
0.06253	-0.054737
0.06232	-0.054816
0.06119	-0.054934
0.05946	-0.05523
0.05907	-0.055329
0.05763	-0.055546
0.05634	-0.055841
0.05594	-0.05596
0.05606	-0.056177
0.05524	-0.056374
0.05522	-0.056512
0.05515	-0.056552
0.05466	-0.05665
0.05486	-0.056867
0.05476	-0.057025
0.05396	-0.057163
0.05373	-0.05738
0.0536	-0.057518
0.05327	-0.057794
0.05357	-0.05811
0.05196	-0.058169
0.05161	-0.058169
0.05183	-0.05811
0.05182	-0.058011
0.05209	-0.057676
0.05258	-0.057558
0.05246	-0.057636
0.05252	-0.057636
0.0524	-0.057617
0.05246	-0.057577
0.05264	-0.057558
0.0526	-0.057577
0.05254	-0.057558
0.05273	-0.057558
0.05238	-0.057597
0.05266	-0.057656
0.05281	-0.057676
0.05258	-0.057853
0.05112	-0.058169
0.04948	-0.058603
0.04662	-0.059057
0.04497	-0.059293
0.04332	-0.059609
0.04105	-0.059944
0.04001	-0.060082
0.03923	-0.06026
0.03757	-0.060615
0.03648	-0.060832
0.03627	-0.061049
0.03583	-0.061266
0.03589	-0.061483
0.03592	-0.061621
0.03607	-0.0617
0.03636	-0.061917
0.03658	-0.062351
0.03694	-0.062528
0.03732	-0.062587
0.03722	-0.062765
0.03772	-0.062903
0.03818	-0.063002
0.03871	-0.063159
0.03947	-0.063337
0.03934	-0.063396
0.04065	-0.063574
0.04097	-0.063771
0.0419	-0.06387
0.04225	-0.063948
0.04326	-0.064146
0.04431	-0.064284
0.04524	-0.064323
0.04514	-0.064323
0.04541	-0.064304
0.04433	-0.064067
0.04282	-0.06385
0.04254	-0.06385
0.04257	-0.06387
0.04216	-0.06387
0.04265	-0.06387
0.04338	-0.06387
0.04321	-0.06383
0.04358	-0.06387
0.04419	-0.06385
0.04443	-0.06385
0.0444	-0.06387
0.04457	-0.063909
0.04596	-0.064047
0.04858	-0.064422
0.05367	-0.064895
0.05713	-0.065171
0.06149	-0.065487
0.06599	-0.065763
0.06758	-0.065822
0.06976	-0.06596
0.0744	-0.066217
0.07855	-0.066434
0.08333	-0.06673
0.0894	-0.067045
0.09586	-0.06742
0.09909	-0.067598
0.10048	-0.067716
0.10246	-0.067854
0.10449	-0.068012
0.105	-0.068071
0.10605	-0.068189
0.1082	-0.068406
0.11018	-0.068584
0.11098	-0.068663
0.11263	-0.068821
0.1144	-0.068919
0.11456	-0.068919
0.11481	-0.068919
0.11717	-0.069116
0.11951	-0.069333
0.12039	-0.069412
0.12035	-0.069412
0.1205	-0.069412
0.12086	-0.069393
0.1203	-0.069333
0.11755	-0.069136
0.11772	-0.069116
0.1176	-0.069116
0.11746	-0.069116
0.11749	-0.069116
0.11752	-0.069116
0.117	-0.069116
0.11682	-0.069116
0.11684	-0.069116
0.11624	-0.069116
0.11618	-0.069116
0.11632	-0.069136
0.11534	-0.069195
0.11699	-0.069333
0.11742	-0.069412
0.12047	-0.069688
0.1216	-0.069748
0.1218	-0.069787
0.12474	-0.070004
0.12793	-0.070241
0.1304	-0.070359
0.13283	-0.070556
0.14174	-0.070892
0.1476	-0.071148
0.15073	-0.071306
0.15167	-0.071345
0.15399	-0.071405
0.15836	-0.071562
0.16212	-0.071681
0.16487	-0.071779
0.16803	-0.071858
0.17505	-0.072036
0.18658	-0.072332
0.19093	-0.07245
0.19272	-0.07247
0.19884	-0.072608
0.20213	-0.072687
0.20154	-0.072706
0.21182	-0.072943
0.23102	-0.073338
0.24072	-0.073495
0.24649	-0.073614
0.24918	-0.073633
0.25391	-0.073772
0.27338	-0.074067
0.2887	-0.074265
0.30623	-0.074501
0.32806	-0.074679
0.32857	-0.074679
0.32817	-0.074679
0.32896	-0.074659
0.3223	-0.074442
0.30905	-0.074186
0.29489	-0.073969
0.29111	-0.073949
0.29176	-0.073988
0.2921	-0.073988
0.29193	-0.073988
0.29008	-0.073969
0.29024	-0.073969
0.28983	-0.073949
0.28926	-0.073949
0.28882	-0.073969
0.28871	-0.073988
0.28912	-0.074225
0.29242	-0.074383
0.3295	-0.074975
0.4325	-0.075744
0.43623	-0.075823
0.43703	-0.075823
0.43709	-0.075843
0.43619	-0.075843
0.45309	-0.076
0.47112	-0.076139
0.47388	-0.076158
0.48918	-0.076296
0.51614	-0.076494
0.52971	-0.076572
0.54306	-0.076651
0.56628	-0.076809
0.59148	-0.077026
0.60588	-0.077184
0.60982	-0.077223
0.61461	-0.077283
0.64452	-0.077657
0.66351	-0.077874
0.66869	-0.077953
0.68094	-0.07817
0.7009	-0.078427
0.71458	-0.078624
0.72713	-0.078801
0.73328	-0.078861
0.73349	-0.078861
0.73466	-0.078861
0.73581	-0.078861
0.73521	-0.078841
0.72469	-0.078663
0.7173	-0.078506
0.71758	-0.078506
0.71724	-0.078525
0.718	-0.078525
0.71718	-0.078506
0.71744	-0.078506
0.71646	-0.078506
0.71616	-0.078506
0.71545	-0.078545
0.71758	-0.078624
0.73207	-0.078801
0.75069	-0.079137
0.75516	-0.079255
0.75731	-0.079275
0.7717	-0.079571
0.78252	-0.079867
0.78874	-0.080064
0.79445	-0.0803
0.79897	-0.080537
