Time (s) rumore_ambientale_candela	Light Intensity (% of scale max) rumore_ambientale_candela
12.24	3.78319
12.28	3.82396
12.32	3.87622
12.36	3.8744
12.4	3.82654
12.44	3.76009
12.48	3.78754
12.52	3.83649
12.56	3.85684
12.6	3.81982
12.64	3.73398
12.68	3.74605
12.72	3.78975
12.76	3.83975
12.8	3.81371
12.84	3.72916
12.88	3.72214
12.92	3.75925
12.96	3.81026
13.0	3.81241
13.04	3.76682
13.08	3.7074
13.12	3.7394
13.16	3.7942
13.2	3.8237
13.24	3.79266
13.28	3.72092
13.32	3.74025
13.36	3.78851
13.4	3.84763
13.44	3.82703
13.48	3.75499
13.52	3.75581
13.56	3.8004
13.6	3.85966
13.64	3.86391
13.68	3.82503
13.72	3.76744
13.76	3.80305
13.8	3.85297
13.84	3.88879
13.88	3.85251
13.92	3.77599
13.96	3.79579
14.0	3.84503
14.04	3.89647
14.08	3.87492
14.12	3.79649
14.16	3.78876
14.2	3.82584
14.24	3.88268
14.28	3.8837
14.32	3.84494
14.36	3.77969
14.4	3.81403
14.44	3.86624
14.48	3.89581
14.52	3.86821
14.56	3.79272
14.6	3.80521
14.64	3.85094
14.68	3.90643
14.72	3.88852
14.76	3.84827
14.8	3.8076
14.84	3.84869
14.88	3.90236
14.92	3.90845
14.96	3.86664
15.0	3.80383
15.04	3.83209
15.08	3.88345
15.12	3.92751
15.16	3.89455
15.2	3.81334
15.24	3.82594
15.28	3.87378
15.32	3.92577
15.36	3.9146
15.4	3.86934
15.44	3.81824
15.48	3.8541
15.52	3.90411
15.56	3.91966
15.6	3.87628
15.64	3.79102
15.68	3.81133
15.72	3.85544
15.76	3.89261
15.8	3.85844
15.84	3.7692
15.88	3.77095
15.92	3.81035
15.96	3.86139
16.0	3.84879
16.04	3.80388
16.08	3.74245
16.12	3.78043
16.16	3.82739
16.2	3.84576
16.24	3.80185
16.28	3.71873
16.32	3.74182
16.36	3.78819
16.4	3.82469
16.44	3.79556
16.48	3.74684
16.52	3.70667
16.56	3.75078
16.6	3.79857
16.64	3.78716
16.68	3.74002
16.72	3.67917
16.76	3.71259
16.8	3.76366
16.84	3.77562
16.88	3.73251
16.92	3.65689
16.96	3.68684
17.0	3.72961
17.04	3.77374
17.08	3.74263
17.12	3.6577
17.16	3.66139
17.2	3.70851
17.24	3.76299
17.28	3.75032
17.32	3.70305
17.36	3.65305
17.4	3.6915
17.44	3.7428
17.48	3.75677
17.52	3.71571
17.56	3.64578
17.6	3.67738
17.64	3.72997
17.68	3.76588
17.72	3.73503
17.76	3.65511
17.8	3.6691
17.84	3.71542
17.88	3.77141
17.92	3.75235
17.96	3.70773
18.0	3.66263
18.04	3.71048
18.08	3.76518
18.12	3.76904
18.16	3.72639
18.2	3.66052
18.24	3.69606
18.28	3.74396
18.32	3.77451
18.36	3.74088
18.4	3.66351
18.44	3.68144
18.48	3.72684
