Time (s) intensità_laser_sole	Light Intensity (% of scale max) intensità_laser_sole
61.4	35.26888
61.44	35.26424
61.48	35.26436
61.52	35.26395
61.56	35.26784
61.6	35.26155
61.64	35.26402
61.68	35.26646
61.72	35.26195
61.76	35.26245
61.8	35.2627
61.84	35.26743
61.88	35.26303
61.92	35.26198
61.96	35.26405
62.0	35.2677
62.04	35.26248
62.08	35.26431
62.12	35.26213
62.16	35.2648
62.2	35.26692
62.24	35.26433
62.28	35.26131
62.32	35.26427
62.36	35.26535
62.4	35.26347
62.44	35.26103
62.48	35.26738
62.52	35.26698
62.56	35.2619
62.6	35.26056
62.64	35.26115
62.68	35.26642
62.72	35.25781
62.76	35.26349
62.8	35.26468
62.84	35.26611
62.88	35.26096
62.92	35.26007
62.96	35.26521
63.0	35.2618
63.04	35.26144
63.08	35.25975
63.12	35.26585
63.16	35.26308
63.2	35.26042
63.24	35.26212
63.28	35.26608
63.32	35.26135
63.36	35.26068
63.4	35.25835
63.44	35.26393
63.48	35.26065
63.52	35.26086
63.56	35.25832
63.6	35.26315
63.64	35.26265
63.68	35.26224
63.72	35.25858
63.76	35.2603
63.8	35.26308
63.84	35.25916
63.88	35.25943
63.92	35.25748
63.96	35.2644
64.0	35.26015
64.04	35.25906
64.08	35.25932
64.12	35.2645
64.16	35.25993
64.2	35.26202
64.24	35.25948
64.28	35.26158
64.32	35.26068
64.36	35.26094
64.4	35.25793
64.44	35.26341
64.48	35.26471
64.52	35.25853
64.56	35.26306
64.6	35.25856
64.64	35.25735
64.68	35.26427
64.72	35.25946
64.76	35.26015
64.8	35.26006
64.84	35.25993
64.88	35.2574
64.92	35.25891
64.96	35.26169
65.0	35.25868
65.04	35.26137
65.08	35.26118
65.12	35.25813
65.16	35.25719
65.2	35.25719
65.24	35.26266
65.28	35.25754
65.32	35.25723
65.36	35.2583
65.4	35.26155
65.44	35.25575
65.48	35.25714
65.52	35.25969
65.56	35.25711
65.6	35.25581
65.64	35.25771
65.68	35.25919
65.72	35.25485
65.76	35.25398
65.8	35.25679
65.84	35.2545
65.88	35.25549
65.92	35.25667
65.96	35.2545
66.0	35.25192
66.04	35.25464
66.08	35.25487
66.12	35.25171
66.16	35.25397
66.2	35.25652
66.24	35.25581
66.28	35.25336
66.32	35.25108
66.36	35.25578
66.4	35.25711
66.44	35.25018
66.48	35.25197
66.52	35.24362
66.56	35.25717
66.6	35.25224
66.64	35.25131
66.68	35.25174
66.72	35.25221
66.76	35.25006
66.8	35.25317
66.84	35.25513
66.88	35.24979
66.92	35.2516
66.96	35.24895
67.0	35.25177
67.04	35.25082
67.08	35.25247
67.12	35.2562
67.16	35.24968
67.2	35.24997
67.24	35.25328
67.28	35.25507
67.32	35.25601
67.36	35.2507
67.4	35.25156
67.44	35.25484
67.48	35.25436
67.52	35.25098
67.56	35.24869
67.6	35.25029
67.64	35.25482
67.68	35.25175
67.72	35.25174
67.76	35.25098
67.8	35.25267
67.84	35.25409
67.88	35.25089
67.92	35.24852
67.96	35.24747
68.0	35.25246
68.04	35.25194
68.08	35.25323
68.12	35.25153
68.16	35.24852
68.2	35.2485
68.24	35.24722
68.28	35.25043
68.32	35.24698
68.36	35.24788
68.4	35.25243
68.44	35.24834
68.48	35.24866
68.52	35.24696
68.56	35.24757
68.6	35.24641
68.64	35.24829
68.68	35.2515
68.72	35.25189
68.76	35.25214
68.8	35.24847
68.84	35.24623
68.88	35.24689
68.92	35.24826
68.96	35.25218
69.0	35.25037
69.04	35.25217
69.08	35.24982
69.12	35.24713
69.16	35.24719
69.2	35.24736
69.24	35.24707
69.28	35.25043
69.32	35.24718
69.36	35.24718
69.4	35.24263
69.44	35.24503
69.48	35.24532
69.52	35.24446
69.56	35.24808
69.6	35.24698
69.64	35.2469
69.68	35.24829
69.72	35.24544
69.76	35.24567
69.8	35.24429
69.84	35.24828
69.88	35.2473
69.92	35.2493
69.96	35.24881
70.0	35.24527
70.04	35.24612
70.08	35.24684
70.12	35.25026
70.16	35.24738
70.2	35.25104
70.24	35.25177
70.28	35.24681
70.32	35.24942
70.36	35.24651
70.4	35.24455
70.44	35.24913
70.48	35.24619
70.52	35.24925
70.56	35.24745
70.6	35.24808
70.64	35.24568
70.68	35.24469
70.72	35.24797
70.76	35.24574
70.8	35.24954
70.84	35.2469
70.88	35.25092
70.92	35.2464
70.96	35.246
71.0	35.24875
71.04	35.24725
71.08	35.24995
71.12	35.24677
71.16	35.2469
71.2	35.24669
71.24	35.24249
71.28	35.24594
71.32	35.24654
71.36	35.24594
71.4	35.23425
71.44	35.24304
71.48	35.24133
71.52	35.24431
71.56	35.2473
71.6	35.24574
71.64	35.24673
71.68	35.24274
71.72	35.24187
71.76	35.24002
71.8	35.24261
71.84	35.24506
71.88	35.24391
71.92	35.24149
71.96	35.23962
72.0	35.24286
72.04	35.2415
72.08	35.24586
72.12	35.24336
72.16	35.24521
72.2	35.24207
72.24	35.241
72.28	35.24431
72.32	35.24063
72.36	35.24457
72.4	35.24165
72.44	35.24463
72.48	35.24294
72.52	35.23964
72.56	35.24342
72.6	35.24283
72.64	35.24466
72.68	35.24098
72.72	35.24062
72.76	35.24033
72.8	35.24223
72.84	35.24416
72.88	35.24445
72.92	35.24243
72.96	35.2412
73.0	35.24017
73.04	35.24374
73.08	35.24445
73.12	35.2408
73.16	35.24174
73.2	35.23987
73.24	35.24107
73.28	35.2429
73.32	35.24405
73.36	35.23878
73.4	35.23718
73.44	35.23648
73.48	35.24135
73.52	35.24066
73.56	35.23599
73.6	35.23451
73.64	35.23695
73.68	35.2403
73.72	35.24162
73.76	35.2426
73.8	35.23814
73.84	35.23698
73.88	35.23599
73.92	35.23973
73.96	35.24217
74.0	35.24164
74.04	35.23875
74.08	35.23746
74.12	35.24332
74.16	35.24135
74.2	35.24257
74.24	35.23923
74.28	35.23732
74.32	35.23769
74.36	35.24234
74.4	35.24252
74.44	35.24202
74.48	35.23917
74.52	35.24008
74.56	35.24321
74.6	35.24208
74.64	35.2412
74.68	35.23946
74.72	35.23964
74.76	35.23915
74.8	35.24229
74.84	35.23924
74.88	35.24257
74.92	35.2374
74.96	35.23775
75.0	35.23859
75.04	35.24115
75.08	35.24307
75.12	35.23711
75.16	35.2428
75.2	35.23947
75.24	35.23929
75.28	35.23785
75.32	35.24016
75.36	35.24098
75.4	35.23892
75.44	35.243
75.48	35.23717
75.52	35.239
75.56	35.23978
75.6	35.24037
75.64	35.23846
75.68	35.2373
75.72	35.23692
75.76	35.23521
75.8	35.24051
75.84	35.2356
75.88	35.23389
75.92	35.23422
75.96	35.24016
76.0	35.23502
76.04	35.23715
76.08	35.23463
76.12	35.23312
76.16	35.23134
76.2	35.23637
76.24	35.235
76.28	35.23683
76.32	35.23254
76.36	35.23647
76.4	35.2326
76.44	35.2341
76.48	35.23672
76.52	35.23679
76.56	35.23851
76.6	35.23679
76.64	35.23357
76.68	35.23688
76.72	35.2365
76.76	35.24123
76.8	35.23656
76.84	35.23537
76.88	35.23427
76.92	35.24001
76.96	35.23772
77.0	35.2382
77.04	35.2366
77.08	35.2381
77.12	35.23891
77.16	35.23993
77.2	35.23471
77.24	35.23431
77.28	35.23389
77.32	35.23645
77.36	35.23975
77.4	35.23531
77.44	35.23523
77.48	35.2328
77.52	35.23784
77.56	35.23665
77.6	35.23518
77.64	35.23354
77.68	35.2357
77.72	35.23444
77.76	35.23576
77.8	35.23099
77.84	35.23447
77.88	35.23074
77.92	35.2328
77.96	35.23483
78.0	35.23222
78.04	35.23155
78.08	35.23618
78.12	35.23404
78.16	35.23666
78.2	35.23007
78.24	35.23068
78.28	35.22932
78.32	35.23421
78.36	35.23318
78.4	35.23459
78.44	35.22957
78.48	35.23192
78.52	35.23087
78.56	35.23166
78.6	35.22763
78.64	35.22807
78.68	35.23216
78.72	35.23337
78.76	35.22977
78.8	35.22691
78.84	35.22809
78.88	35.23125
78.92	35.23058
78.96	35.22896
79.0	35.23021
79.04	35.23235
79.08	35.23514
79.12	35.23561
79.16	35.22882
79.2	35.22844
79.24	35.23334
79.28	35.23405
79.32	35.23309
79.36	35.22829
79.4	35.23
79.44	35.23102
79.48	35.2305
79.52	35.22949
79.56	35.2326
79.6	35.22963
79.64	35.22905
79.68	35.22704
79.72	35.23068
79.76	35.22966
79.8	35.22664
79.84	35.22665
79.88	35.23277
79.92	35.23009
79.96	35.22813
80.0	35.22884
80.04	35.23134
80.08	35.23199
80.12	35.2337
80.16	35.22946
80.2	35.22974
80.24	35.2355
80.28	35.23557
80.32	35.23392
80.36	35.2287
80.4	35.23152
80.44	35.23151
80.48	35.23505
80.52	35.23042
80.56	35.23058
80.6	35.23
80.64	35.23448
80.68	35.23343
80.72	35.23026
80.76	35.2352
80.8	35.22978
80.84	35.23036
80.88	35.23116
80.92	35.23366
80.96	35.23318
81.0	35.23042
81.04	35.22792
81.08	35.2325
81.12	35.23164
81.16	35.23404
81.2	35.22987
81.24	35.2285
81.28	35.23096
81.32	35.23222
81.36	35.2305
81.4	35.22878
81.44	35.22937
81.48	35.23256
81.52	35.23476
81.56	35.23128
81.6	35.22963
81.64	35.23514
81.68	35.2343
81.72	35.23106
81.76	35.23053
81.8	35.23395
81.84	35.23158
81.88	35.23184
81.92	35.228
81.96	35.22801
82.0	35.2328
82.04	35.22827
82.08	35.22774
82.12	35.22829
82.16	35.23093
82.2	35.23326
82.24	35.23132
82.28	35.22701
82.32	35.23079
82.36	35.2316
82.4	35.23251
82.44	35.22885
82.48	35.22728
82.52	35.22537
82.56	35.22896
82.6	35.23245
82.64	35.22884
82.68	35.23035
82.72	35.2282
82.76	35.22974
82.8	35.23074
82.84	35.2319
82.88	35.21286
82.92	35.22017
82.96	35.22711
83.0	35.23012
83.04	35.22789
83.08	35.22678
83.12	35.21091
83.16	35.20746
83.2	35.22942
83.24	35.229
83.28	35.23212
83.32	35.23079
83.36	35.22768
83.4	35.22685
83.44	35.22781
83.48	35.23
83.52	35.23099
83.56	35.22775
83.6	35.22594
83.64	35.22905
83.68	35.22478
83.72	35.23094
83.76	35.23027
83.8	35.22707
83.84	35.22569
83.88	35.22894
83.92	35.22987
83.96	35.2285
84.0	35.22614
84.04	35.2234
84.08	35.22552
84.12	35.22684
84.16	35.22131
84.2	35.22513
84.24	35.22453
84.28	35.22812
84.32	35.2233
84.36	35.22452
84.4	35.22389
84.44	35.22523
84.48	35.22125
84.52	35.22589
84.56	35.22261
84.6	35.22363
84.64	35.22893
84.68	35.22868
84.72	35.22662
84.76	35.22443
84.8	35.22522
84.84	35.22667
84.88	35.23036
84.92	35.2252
84.96	35.22665
85.0	35.22646
85.04	35.23135
85.08	35.23141
85.12	35.22565
85.16	35.22511
85.2	35.23163
85.24	35.23146
85.28	35.22615
85.32	35.2258
85.36	35.22426
85.4	35.22455
85.44	35.22668
85.48	35.22704
85.52	35.22476
85.56	35.2276
85.6	35.22665
85.64	35.22644
85.68	35.22604
85.72	35.22925
85.76	35.22673
85.8	35.22739
85.84	35.22545
85.88	35.22273
85.92	35.22311
85.96	35.22408
86.0	35.22821
86.04	35.22525
86.08	35.22765
86.12	35.22319
86.16	35.22638
86.2	35.22865
86.24	35.22635
86.28	35.22922
86.32	35.22675
86.36	35.22725
86.4	35.22441
86.44	35.22688
86.48	35.22604
86.52	35.23067
86.56	35.22456
86.6	35.22421
86.64	35.22632
86.68	35.22807
86.72	35.22668
86.76	35.2242
86.8	35.22394
86.84	35.22751
86.88	35.22629
86.92	35.22734
86.96	35.22322
87.0	35.22296
87.04	35.22858
87.08	35.22609
87.12	35.22789
87.16	35.2247
87.2	35.22499
87.24	35.22279
87.28	35.22681
87.32	35.22946
87.36	35.22543
87.4	35.22711
87.44	35.22392
87.48	35.22519
87.52	35.22374
87.56	35.22729
87.6	35.2292
87.64	35.22971
87.68	35.22466
87.72	35.22701
87.76	35.2294
87.8	35.22812
87.84	35.2247
87.88	35.22385
87.92	35.22418
87.96	35.22885
88.0	35.22742
88.04	35.22272
88.08	35.22345
88.12	35.226
88.16	35.22729
88.2	35.22697
88.24	35.22745
88.28	35.22321
88.32	35.22238
88.36	35.2234
88.4	35.22874
88.44	35.22322
88.48	35.2236
88.52	35.22221
88.56	35.22734
88.6	35.22449
88.64	35.22415
88.68	35.22389
88.72	35.22794
88.76	35.22641
88.8	35.22635
88.84	35.22134
88.88	35.22366
88.92	35.22211
88.96	35.22636
89.0	35.22151
89.04	35.22275
89.08	35.22299
89.12	35.2247
89.16	35.22775
89.2	35.22647
89.24	35.2224
89.28	35.21852
89.32	35.22508
89.36	35.22583
89.4	35.22295
89.44	35.22235
89.48	35.2215
89.52	35.22391
89.56	35.22597
89.6	35.22087
89.64	35.22253
89.68	35.2222
89.72	35.22572
89.76	35.22664
89.8	35.22188
89.84	35.22452
89.88	35.22569
89.92	35.22646
89.96	35.2215
90.0	35.22479
90.04	35.22444
90.08	35.2267
90.12	35.22203
90.16	35.22408
90.2	35.22339
90.24	35.22124
90.28	35.2207
90.32	35.22485
90.36	35.22313
90.4	35.22607
90.44	35.21841
90.48	35.22185
90.52	35.22072
90.56	35.2242
90.6	35.22231
90.64	35.22128
90.68	35.21909
90.72	35.22325
90.76	35.22145
90.8	35.22417
90.84	35.21902
90.88	35.22206
90.92	35.22377
90.96	35.22052
91.0	35.218
91.04	35.2182
91.08	35.22403
91.12	35.22279
91.16	35.21887
91.2	35.21909
91.24	35.2213
91.28	35.22479
91.32	35.22504
91.36	35.22092
91.4	35.21928
91.44	35.22505
91.48	35.22379
91.52	35.21989
91.56	35.2191
91.6	35.2205
91.64	35.22566
91.68	35.2247
91.72	35.22063
91.76	35.22197
91.8	35.2226
91.84	35.22452
91.88	35.22549
91.92	35.22716
91.96	35.22141
92.0	35.22032
92.04	35.22105
92.08	35.22337
92.12	35.22231
92.16	35.22188
92.2	35.22192
92.24	35.22166
92.28	35.22542
92.32	35.22467
92.36	35.2226
92.4	35.21849
92.44	35.22424
92.48	35.22287
92.52	35.22513
92.56	35.21983
92.6	35.22121
92.64	35.22028
92.68	35.22429
92.72	35.2247
92.76	35.22527
92.8	35.22021
92.84	35.21951
92.88	35.21758
92.92	35.21912
92.96	35.22134
93.0	35.21967
93.04	35.21806
93.08	35.22342
93.12	35.21944
93.16	35.22273
93.2	35.21802
93.24	35.22116
93.28	35.22501
93.32	35.22594
93.36	35.22124
93.4	35.21854
93.44	35.22189
93.48	35.22258
93.52	35.22235
93.56	35.21873
93.6	35.21857
93.64	35.22021
93.68	35.2213
93.72	35.21825
93.76	35.22055
93.8	35.2205
93.84	35.22523
93.88	35.22359
93.92	35.2198
93.96	35.21858
94.0	35.2211
94.04	35.22049
94.08	35.21808
94.12	35.21883
94.16	35.22141
94.2	35.2234
94.24	35.21858
94.28	35.22154
94.32	35.22186
94.36	35.21921
94.4	35.22095
94.44	35.21904
94.48	35.22441
94.52	35.22
94.56	35.21729
94.6	35.22281
94.64	35.22229
94.68	35.21823
94.72	35.21863
94.76	35.21907
94.8	35.2252
94.84	35.22083
94.88	35.21988
94.92	35.2173
94.96	35.22168
95.0	35.21736
95.04	35.2184
95.08	35.21935
95.12	35.22203
95.16	35.20996
95.2	35.21719
95.24	35.21646
95.28	35.21869
95.32	35.21756
95.36	35.2226
95.4	35.22009
95.44	35.22185
95.48	35.21799
95.52	35.21617
95.56	35.21931
95.6	35.21851
95.64	35.21811
95.68	35.21352
95.72	35.21445
95.76	35.21893
95.8	35.21561
95.84	35.21034
95.88	35.21396
95.92	35.21837
95.96	35.21738
96.0	35.21841
96.04	35.21571
96.08	35.21841
96.12	35.22205
96.16	35.22037
96.2	35.21581
96.24	35.2146
96.28	35.2132
96.32	35.21655
96.36	35.21451
96.4	35.21289
96.44	35.21339
96.48	35.21686
96.52	35.21835
96.56	35.21483
96.6	35.21339
96.64	35.2148
96.68	35.21756
96.72	35.218
96.76	35.21233
96.8	35.21669
96.84	35.21436
96.88	35.21278
96.92	35.21281
96.96	35.21846
97.0	35.21803
97.04	35.21371
97.08	35.21298
97.12	35.21783
97.16	35.21599
97.2	35.21515
97.24	35.21231
97.28	35.213
97.32	35.21263
97.36	35.21858
97.4	35.21599
97.44	35.21889
97.48	35.21449
97.52	35.21883
97.56	35.2209
97.6	35.21658
97.64	35.21547
97.68	35.22035
97.72	35.21996
97.76	35.2157
97.8	35.21498
97.84	35.21478
97.88	35.21727
97.92	35.21977
97.96	35.21892
98.0	35.21933
98.04	35.21606
98.08	35.21976
98.12	35.22186
98.16	35.21808
98.2	35.21574
98.24	35.21896
98.28	35.21921
98.32	35.21831
98.36	35.21552
98.4	35.21857
98.44	35.21941
98.48	35.21764
98.52	35.21429
98.56	35.21375
98.6	35.21809
98.64	35.21582
98.68	35.21376
98.72	35.21341
98.76	35.21883
98.8	35.2142
98.84	35.21901
98.88	35.2132
98.92	35.21678
98.96	35.21976
99.0	35.21793
99.04	35.21759
99.08	35.21306
99.12	35.21349
99.16	35.21884
99.2	35.21523
99.24	35.21394
99.28	35.21472
99.32	35.21831
99.36	35.21559
99.4	35.21973
99.44	35.21455
99.48	35.21584
99.52	35.21935
99.56	35.21925
99.6	35.21608
99.64	35.21227
99.68	35.21687
99.72	35.21507
99.76	35.21918
99.8	35.2159
99.84	35.21828
99.88	35.21539
99.92	35.21614
99.96	35.21956
100.0	35.21742
100.04	35.21599
100.08	35.21516
100.12	35.21439
100.16	35.2144
100.2	35.21869
100.24	35.21463
100.28	35.21501
100.32	35.21562
100.36	35.2182
100.4	35.21938
100.44	35.21603
100.48	35.21515
100.52	35.21863
100.56	35.21684
100.6	35.22014
100.64	35.21545
100.68	35.21652
100.72	35.21443
100.76	35.21931
100.8	35.21503
100.84	35.21585
100.88	35.21533
100.92	35.21994
100.96	35.21962
101.0	35.21758
101.04	35.21416
101.08	35.21788
101.12	35.21967
101.16	35.21979
101.2	35.21652
101.24	35.21997
101.28	35.21994
101.32	35.22076
101.36	35.21576
101.4	35.21625
101.44	35.21844
101.48	35.21623
101.52	35.21545
101.56	35.21382
101.6	35.21661
101.64	35.22006
101.68	35.21877
101.72	35.22058
101.76	35.21492
101.8	35.21831
101.84	35.21693
101.88	35.21985
101.92	35.21716
101.96	35.2209
102.0	35.21516
102.04	35.21471
102.08	35.22028
102.12	35.21739
102.16	35.2175
102.2	35.21429
102.24	35.21341
102.28	35.21414
102.32	35.21994
102.36	35.21638
102.4	35.21869
102.44	35.21477
102.48	35.21426
102.52	35.21709
102.56	35.21921
102.6	35.21495
102.64	35.21457
102.68	35.21307
102.72	35.21819
102.76	35.21584
102.8	35.21327
102.84	35.21338
102.88	35.21838
102.92	35.21594
102.96	35.21921
103.0	35.21405
103.04	35.21613
103.08	35.21877
103.12	35.21822
103.16	35.2164
103.2	35.21324
103.24	35.21376
103.28	35.21248
103.32	35.21503
103.36	35.2135
103.4	35.21382
103.44	35.21199
103.48	35.21783
103.52	35.2175
103.56	35.21266
103.6	35.214
103.64	35.21692
103.68	35.21736
103.72	35.21426
103.76	35.2133
103.8	35.21536
103.84	35.21942
103.88	35.21764
103.92	35.21257
103.96	35.21436
104.0	35.21773
104.04	35.21582
104.08	35.21613
104.12	35.21469
104.16	35.21443
104.2	35.21858
104.24	35.22017
104.28	35.21593
104.32	35.21275
104.36	35.21895
104.4	35.21831
104.44	35.21405
104.48	35.21249
104.52	35.2133
104.56	35.21555
104.6	35.21695
104.64	35.21204
104.68	35.21466
104.72	35.21172
104.76	35.21553
104.8	35.21245
104.84	35.2159
104.88	35.21133
104.92	35.21223
104.96	35.21143
105.0	35.21529
105.04	35.20064
105.08	35.18953
105.12	35.1902
105.16	35.20915
105.2	35.20663
105.24	35.20476
105.28	35.20782
105.32	35.21078
105.36	35.21028
105.4	35.20386
105.44	35.20746
105.48	35.21161
105.52	35.20876
105.56	35.20425
105.6	35.20715
105.64	35.20982
105.68	35.21399
105.72	35.21033
105.76	35.21008
105.8	35.20929
105.84	35.21165
105.88	35.20764
105.92	35.21014
105.96	35.20981
106.0	35.20651
106.04	35.20737
106.08	35.21123
106.12	35.20732
106.16	35.20984
106.2	35.21201
106.24	35.21132
106.28	35.20522
106.32	35.20593
106.36	35.20874
106.4	35.20686
106.44	35.2034
106.48	35.20619
106.52	35.20677
106.56	35.20636
106.6	35.20424
106.64	35.20602
106.68	35.20705
106.72	35.20677
106.76	35.20361
106.8	35.20511
106.84	35.21019
106.88	35.20457
106.92	35.20676
106.96	35.20326
107.0	35.2088
107.04	35.20512
107.08	35.20695
107.12	35.21315
107.16	35.20833
107.2	35.20982
107.24	35.21333
107.28	35.21628
107.32	35.21133
107.36	35.20915
107.4	35.20871
107.44	35.20718
107.48	35.21028
107.52	35.20613
107.56	35.20972
107.6	35.21254
107.64	35.20782
107.68	35.20874
107.72	35.2169
107.76	35.21886
107.8	35.21611
107.84	35.21451
107.88	35.21738
107.92	35.21698
107.96	35.21915
108.0	35.21846
108.04	35.21518
108.08	35.21654
108.12	35.21965
108.16	35.22307
108.2	35.22101
108.24	35.21909
108.28	35.21619
108.32	35.21907
108.36	35.21996
108.4	35.21834
108.44	35.21466
108.48	35.21736
108.52	35.22223
108.56	35.22067
108.6	35.21701
108.64	35.22115
108.68	35.21587
108.72	35.21989
108.76	35.22185
108.8	35.22356
108.84	35.21896
108.88	35.21988
108.92	35.21817
108.96	35.22438
109.0	35.2211
109.04	35.21606
109.08	35.22182
109.12	35.22263
109.16	35.2191
109.2	35.217
109.24	35.22148
109.28	35.21869
109.32	35.21487
109.36	35.21671
109.4	35.21584
109.44	35.22134
109.48	35.22186
109.52	35.21796
109.56	35.21931
109.6	35.2207
109.64	35.22218
109.68	35.2178
109.72	35.21759
109.76	35.2195
109.8	35.22293
109.84	35.21884
109.88	35.21814
109.92	35.21658
109.96	35.22037
110.0	35.21671
110.04	35.21898
110.08	35.19427
110.12	35.21461
110.16	35.21823
110.2	35.21916
110.24	35.2141
110.28	35.21396
110.32	35.21632
110.36	35.22052
110.4	35.22275
110.44	35.21733
110.48	35.2168
110.52	35.21864
110.56	35.22177
110.6	35.22256
110.64	35.21962
110.68	35.21759
110.72	35.22241
110.76	35.22197
110.8	35.21713
110.84	35.21651
110.88	35.21771
110.92	35.21904
110.96	35.22156
111.0	35.21744
111.04	35.21605
111.08	35.21622
111.12	35.21976
111.16	35.22037
111.2	35.21786
111.24	35.21523
111.28	35.21877
111.32	35.21788
111.36	35.21617
111.4	35.21443
111.44	35.21851
111.48	35.217
111.52	35.21858
111.56	35.21504
111.6	35.21391
111.64	35.21405
111.68	35.21561
111.72	35.21222
111.76	35.21324
111.8	35.21169
111.84	35.21483
111.88	35.21404
111.92	35.21561
111.96	35.21227
112.0	35.21457
112.04	35.21518
112.08	35.21864
112.12	35.21771
112.16	35.21777
112.2	35.21562
112.24	35.21826
112.28	35.21954
112.32	35.22083
112.36	35.21646
112.4	35.21432
112.44	35.21733
112.48	35.22148
112.52	35.21587
112.56	35.21634
112.6	35.21419
112.64	35.21939
112.68	35.21739
112.72	35.21388
112.76	35.2142
112.8	35.2159
112.84	35.22049
112.88	35.22035
112.92	35.21587
112.96	35.21808
113.0	35.22069
113.04	35.22049
113.08	35.21712
113.12	35.21988
113.16	35.21854
113.2	35.22136
113.24	35.21689
113.28	35.21587
113.32	35.21547
113.36	35.21832
113.4	35.22005
113.44	35.22037
113.48	35.21509
113.52	35.21799
113.56	35.22034
113.6	35.21609
113.64	35.21432
113.68	35.2179
113.72	35.21725
113.76	35.22061
113.8	35.21567
113.84	35.21597
113.88	35.21667
113.92	35.21724
113.96	35.21552
114.0	35.21419
114.04	35.21417
114.08	35.21864
114.12	35.21715
114.16	35.22064
114.2	35.21385
114.24	35.21506
114.28	35.21918
114.32	35.21835
114.36	35.21361
114.4	35.21103
114.44	35.21208
114.48	35.21567
114.52	35.21738
114.56	35.21265
114.6	35.21307
114.64	35.21204
114.68	35.21684
114.72	35.21606
114.76	35.21675
114.8	35.21216
114.84	35.2103
114.88	35.20744
114.92	35.21066
114.96	35.21045
115.0	35.21115
115.04	35.21025
115.08	35.21362
115.12	35.21275
115.16	35.21272
115.2	35.21317
115.24	35.21674
115.28	35.20938
115.32	35.20522
115.36	35.21216
115.4	35.21812
115.44	35.21684
115.48	35.21368
115.52	35.21216
115.56	35.21652
115.6	35.21854
115.64	35.21442
115.68	35.21347
115.72	35.21751
115.76	35.21712
115.8	35.21483
115.84	35.21727
115.88	35.21388
115.92	35.21785
115.96	35.21782
116.0	35.2186
116.04	35.21484
116.08	35.21741
116.12	35.21797
116.16	35.21863
116.2	35.21436
116.24	35.21756
116.28	35.21869
116.32	35.2205
116.36	35.2153
116.4	35.21658
116.44	35.2162
116.48	35.22148
116.52	35.21507
116.56	35.2153
116.6	35.21597
116.64	35.21989
116.68	35.21619
116.72	35.21466
116.76	35.21521
116.8	35.21997
116.84	35.21945
116.88	35.21465
116.92	35.21518
116.96	35.21881
117.0	35.22089
117.04	35.21701
117.08	35.21571
117.12	35.22052
117.16	35.21872
117.2	35.22197
117.24	35.21597
117.28	35.21468
117.32	35.21812
117.36	35.21585
117.4	35.21175
117.44	35.21092
117.48	35.2133
117.52	35.20618
117.56	35.19557
117.6	35.20242
117.64	35.21468
117.68	35.21553
117.72	35.21884
117.76	35.21227
117.8	35.21483
117.84	35.21474
117.88	35.21773
117.92	35.21153
117.96	35.21353
118.0	35.21436
118.04	35.21822
118.08	35.21362
118.12	35.21405
118.16	35.21121
118.2	35.2159
118.24	35.21397
118.28	35.21674
118.32	35.21153
118.36	35.21237
118.4	35.21219
118.44	35.21504
118.48	35.2121
118.52	35.21429
118.56	35.21294
118.6	35.21687
118.64	35.21364
118.68	35.21132
118.72	35.21149
118.76	35.21692
118.8	35.21233
118.84	35.21239
118.88	35.21115
118.92	35.21358
118.96	35.21281
119.0	35.21346
119.04	35.21202
119.08	35.21239
119.12	35.21379
119.16	35.21574
119.2	35.21509
119.24	35.21175
119.28	35.21217
119.32	35.21246
119.36	35.21562
119.4	35.21461
119.44	35.21185
119.48	35.21289
119.52	35.21442
119.56	35.21509
119.6	35.21695
119.64	35.21053
119.68	35.21092
119.72	35.20937
119.76	35.21558
119.8	35.21408
119.84	35.21616
119.88	35.21129
119.92	35.21251
119.96	35.21394
120.0	35.21103
120.04	35.20781
120.08	35.21257
120.12	35.21111
120.16	35.21263
120.2	35.20659
120.24	35.20718
120.28	35.20882
120.32	35.21417
120.36	35.21187
120.4	35.21135
120.44	35.20889
120.48	35.21233
120.52	35.20921
120.56	35.20708
120.6	35.21222
120.64	35.21008
120.68	35.20963
120.72	35.20874
120.76	35.21457
120.8	35.21017
120.84	35.21007
120.88	35.20917
120.92	35.21117
120.96	35.20744
121.0	35.21223
121.04	35.20888
121.08	35.21037
121.12	35.20915
121.16	35.21365
121.2	35.20979
121.24	35.21132
121.28	35.20958
121.32	35.21149
121.36	35.21165
121.4	35.20859
121.44	35.20836
121.48	35.21275
121.52	35.21233
121.56	35.20808
121.6	35.21422
121.64	35.21375
121.68	35.21446
121.72	35.20862
121.76	35.20909
121.8	35.2119
121.84	35.2094
121.88	35.20782
121.92	35.21207
121.96	35.21225
122.0	35.20973
122.04	35.20914
122.08	35.21436
122.12	35.21434
122.16	35.20868
122.2	35.21051
122.24	35.20889
122.28	35.20898
122.32	35.20688
122.36	35.21071
122.4	35.20837
122.44	35.20618
122.48	35.20477
122.52	35.20447
122.56	35.20583
122.6	35.21077
122.64	35.20477
122.68	35.20288
122.72	35.20018
122.76	35.20543
122.8	35.20631
122.84	35.20699
122.88	35.20474
122.92	35.20883
122.96	35.20859
123.0	35.20821
123.04	35.20439
123.08	35.20479
123.12	35.20729
123.16	35.21082
123.2	35.20557
123.24	35.20525
123.28	35.20937
123.32	35.20772
123.36	35.20607
123.4	35.20393
123.44	35.20891
123.48	35.20638
