Time (s) intensità_laser_sole	Light Intensity (% of scale max) intensità_laser_sole
12.28	35.31297
12.32	35.31142
12.36	35.30971
12.4	35.31035
12.44	35.31342
12.48	35.31567
12.52	35.31572
12.56	35.31096
12.6	35.31639
12.64	35.31378
12.68	35.31732
12.72	35.31461
12.76	35.31265
12.8	35.31538
12.84	35.3179
12.88	35.31389
12.92	35.31282
12.96	35.3114
13.0	35.31554
13.04	35.31528
13.08	35.31607
13.12	35.31293
13.16	35.31403
13.2	35.31236
13.24	35.31685
13.28	35.31342
13.32	35.3172
13.36	35.31525
13.4	35.32378
13.44	35.31784
13.48	35.31854
13.52	35.31989
13.56	35.32266
13.6	35.32591
13.64	35.32449
13.68	35.32579
13.72	35.32123
13.76	35.32063
13.8	35.31818
13.84	35.31905
13.88	35.31931
13.92	35.31549
13.96	35.31714
14.0	35.31584
14.04	35.3221
14.08	35.31813
14.12	35.32176
14.16	35.31804
14.2	35.31731
14.24	35.32182
14.28	35.32274
14.32	35.32182
14.36	35.32091
14.4	35.32217
14.44	35.32587
14.48	35.32542
14.52	35.32819
14.56	35.32358
14.6	35.32335
14.64	35.32272
14.68	35.32503
14.72	35.32698
14.76	35.3259
14.8	35.32454
14.84	35.32082
14.88	35.32065
14.92	35.32112
14.96	35.32285
15.0	35.32402
15.04	35.32309
15.08	35.32172
15.12	35.31883
15.16	35.32089
15.2	35.3215
15.24	35.32471
15.28	35.32166
15.32	35.32019
15.36	35.3208
15.4	35.32379
15.44	35.32439
15.48	35.32259
15.52	35.32155
15.56	35.31888
15.6	35.32288
15.64	35.32062
15.68	35.32413
15.72	35.32112
15.76	35.32155
15.8	35.32141
15.84	35.3252
15.88	35.32896
15.92	35.32777
15.96	35.32431
16.0	35.32417
16.04	35.32265
16.08	35.32533
16.12	35.32565
16.16	35.32248
16.2	35.32164
16.24	35.32498
16.28	35.32845
16.32	35.32634
16.36	35.32451
16.4	35.32076
16.44	35.32465
16.48	35.32504
16.52	35.32793
16.56	35.32777
16.6	35.32419
16.64	35.32637
16.68	35.32458
16.72	35.32686
16.76	35.32416
16.8	35.32695
16.84	35.3243
16.88	35.3214
16.92	35.32167
16.96	35.32611
17.0	35.32529
17.04	35.31776
17.08	35.32779
17.12	35.32574
17.16	35.32549
17.2	35.32309
17.24	35.32669
17.28	35.3289
17.32	35.32822
17.36	35.32532
17.4	35.32538
17.44	35.32669
17.48	35.32405
17.52	35.3282
17.56	35.32976
17.6	35.33142
17.64	35.32835
17.68	35.32515
17.72	35.32835
17.76	35.32826
17.8	35.32742
17.84	35.32234
17.88	35.32402
17.92	35.32268
17.96	35.3268
18.0	35.32939
18.04	35.32883
18.08	35.32462
18.12	35.32465
18.16	35.32686
18.2	35.32213
18.24	35.3252
18.28	35.32768
18.32	35.32957
18.36	35.32468
18.4	35.32404
18.44	35.32425
18.48	35.32646
18.52	35.32709
18.56	35.32744
18.6	35.32878
18.64	35.32764
18.68	35.32533
18.72	35.32745
18.76	35.32643
18.8	35.32646
18.84	35.32426
18.88	35.32451
18.92	35.32263
18.96	35.32524
19.0	35.32794
19.04	35.32768
19.08	35.32573
19.12	35.3237
19.16	35.32681
19.2	35.32535
19.24	35.32904
19.28	35.33171
19.32	35.32877
19.36	35.32874
19.4	35.32445
19.44	35.3277
19.48	35.32681
19.52	35.32903
19.56	35.32541
19.6	35.32782
19.64	35.32436
19.68	35.32901
19.72	35.33018
19.76	35.32921
19.8	35.32982
19.84	35.32521
19.88	35.32657
19.92	35.32695
19.96	35.32477
20.0	35.32802
20.04	35.32922
20.08	35.32809
20.12	35.32576
20.16	35.32625
20.2	35.32362
20.24	35.32809
20.28	35.3306
20.32	35.32887
20.36	35.32011
20.4	35.3213
20.44	35.32726
20.48	35.32779
20.52	35.32307
20.56	35.32167
20.6	35.32237
20.64	35.32635
20.68	35.32936
20.72	35.32394
20.76	35.33148
20.8	35.32469
20.84	35.32549
20.88	35.32324
20.92	35.3241
20.96	35.32663
21.0	35.32439
21.04	35.32526
21.08	35.32637
21.12	35.32333
21.16	35.32364
21.2	35.32539
21.24	35.32356
21.28	35.32344
21.32	35.3239
21.36	35.32523
21.4	35.32764
21.44	35.32828
21.48	35.33032
21.52	35.32823
21.56	35.32828
21.6	35.32669
21.64	35.32776
21.68	35.32729
21.72	35.32512
21.76	35.32512
21.8	35.32487
21.84	35.32913
21.88	35.33014
21.92	35.33043
21.96	35.32524
22.0	35.32294
22.04	35.32513
22.08	35.3269
22.12	35.32819
22.16	35.32736
22.2	35.32773
22.24	35.31645
22.28	35.32483
22.32	35.32513
22.36	35.32808
22.4	35.32997
22.44	35.33122
22.48	35.3279
22.52	35.32538
22.56	35.32756
22.6	35.3289
22.64	35.33206
22.68	35.328
22.72	35.32768
22.76	35.32515
22.8	35.32973
22.84	35.33171
22.88	35.32951
22.92	35.32764
22.96	35.3264
23.0	35.33032
23.04	35.3297
23.08	35.33044
23.12	35.32587
23.16	35.32567
23.2	35.32831
23.24	35.32764
23.28	35.32426
23.32	35.32639
23.36	35.32959
23.4	35.33102
23.44	35.33188
23.48	35.32509
23.52	35.32726
23.56	35.33235
23.6	35.33235
23.64	35.33115
23.68	35.32613
23.72	35.32755
23.76	35.32729
23.8	35.33078
23.84	35.32657
23.88	35.32755
23.92	35.32596
23.96	35.32761
24.0	35.32954
24.04	35.33047
24.08	35.32616
24.12	35.32582
24.16	35.32701
24.2	35.32806
24.24	35.33211
24.28	35.32797
24.32	35.32571
24.36	35.32736
24.4	35.33389
24.44	35.32837
24.48	35.32947
24.52	35.32483
24.56	35.3266
24.6	35.32469
24.64	35.32964
24.68	35.32936
24.72	35.32968
24.76	35.32558
24.8	35.32486
24.84	35.33102
24.88	35.33173
24.92	35.32536
24.96	35.32597
25.0	35.32327
25.04	35.32733
25.08	35.33035
25.12	35.32489
25.16	35.32559
25.2	35.32281
25.24	35.32529
25.28	35.32605
25.32	35.32845
25.36	35.32634
25.4	35.32253
25.44	35.32393
25.48	35.32219
25.52	35.32576
25.56	35.32785
25.6	35.32895
25.64	35.32561
25.68	35.32326
25.72	35.32329
25.76	35.32188
25.8	35.32523
25.84	35.32632
25.88	35.32275
25.92	35.32504
25.96	35.32657
26.0	35.32195
26.04	35.32434
26.08	35.31801
26.12	35.31573
26.16	35.31171
