Light Intensity (% of scale max) Antonio_0.16_1.5_lampadina	Position (m) Antonio_0.16_1.5_lampadina
0.0000000000	0.0000000000
0.0000000000	0.0000000000
0.0000000000	-0.0000197000
0.0000000000	-0.0000395000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0001180000
0.0000000000	-0.0001180000
0.0000000000	-0.0001180000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0000986000
0.0000000000	-0.0001180000
0.0000000000	-0.0001180000
0.0000000000	-0.0001180000
0.0000000000	-0.0001180000
0.0000000000	-0.0001180000
0.0000000000	-0.0001180000
0.0000000000	-0.0001180000
0.0000000000	-0.0001180000
0.0000000000	-0.0001180000
0.0000000000	-0.0001180000
0.0000000000	-0.0001180000
0.0000000000	-0.0001380000
0.0000000000	-0.0001380000
0.0000000000	-0.0001380000
0.0000000000	-0.0001380000
0.0000000000	-0.0001380000
0.0000000000	-0.0001380000
0.0000000000	-0.0002560000
0.0000000000	-0.0002760000
0.0000000000	-0.0002760000
0.0000000000	-0.0002760000
0.0000000000	-0.0006110000
0.0000000000	-0.0011000000
0.0000000000	-0.0013000000
0.0000000000	-0.0016000000
0.0000000000	-0.0024000000
0.0000000000	-0.0030000000
0.0000000000	-0.0033000000
0.0000000000	-0.0040000000
0.0000000000	-0.0050000000
0.0000000000	-0.0051000000
0.0000000000	-0.0055000000
0.0000000000	-0.0066000000
0.0000000000	-0.0074000000
0.0000000000	-0.0081000000
0.0000000000	-0.0084000000
0.0000000000	-0.0085000000
0.0000000000	-0.0088000000
0.0000000000	-0.0094000000
0.0000000000	-0.0097000000
0.0000000000	-0.0098000000
0.0000000000	-0.0098000000
0.0000000000	-0.0097000000
0.0000000000	-0.0097000000
0.0000000000	-0.0097000000
0.0000000000	-0.0097000000
0.0000000000	-0.0097000000
0.0000000000	-0.0097000000
0.0000000000	-0.0097000000
0.0000000000	-0.0097000000
0.0000000000	-0.0097000000
0.0000000000	-0.0097000000
0.0000000000	-0.0097000000
0.0000000000	-0.0097000000
0.0000000000	-0.0098000000
0.0000000000	-0.0109000000
0.0000000000	-0.0119000000
0.0000000000	-0.0119000000
0.0000000000	-0.0120000000
0.0000000000	-0.0124000000
0.0000000000	-0.0130000000
0.0000000000	-0.0142000000
0.0000000000	-0.0154000000
0.0000000000	-0.0160000000
0.0000000000	-0.0165000000
0.0000000000	-0.0176000000
0.0000000000	-0.0184000000
0.0000000000	-0.0192000000
0.0000000000	-0.0194000000
0.0000000000	-0.0196000000
0.0000000000	-0.0204000000
